Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Elastic Modulus in Dataset,Stopping Reason
1,69,110.69482106635698,403.62006,79.74177,296.35081017123304,Continuing
2,53,228.310761552046,209.96547,29.21474,296.35081017123304,Continuing
3,58,211.5086541241532,177.07341,16.669073,296.35081017123304,Continuing
4,59,219.61643412334288,206.26363,25.826773,296.35081017123304,Continuing
5,8,242.7128680778461,260.78568,49.732685,296.35081017123304,Continuing
6,9,233.7243724057668,234.66095,55.09265,296.35081017123304,Continuing
7,0,81.74085575257114,208.24263,55.805374,296.35081017123304,Continuing
8,60,272.2240045816517,195.56866,32.315838,296.35081017123304,Continuing
9,52,231.07458974395303,207.90378,32.913784,296.35081017123304,Continuing
10,61,201.80400290446065,254.77681,38.464886,296.35081017123304,Continuing
11,45,224.5706110108938,224.74918,34.09389,296.35081017123304,Continuing
12,46,242.41091008794928,239.44905,34.33086,296.35081017123304,Continuing
13,49,242.91509227554656,230.41461,32.638172,296.35081017123304,Continuing
14,55,168.33383829683325,211.34984,32.23012,296.35081017123304,Continuing
15,56,175.8319549576918,219.59496,32.571785,296.35081017123304,Continuing
16,6,204.17680289774336,187.69005,38.83792,296.35081017123304,Continuing
17,7,117.40631603510326,189.88466,32.774998,296.35081017123304,Continuing
18,43,178.97379271834268,177.40816,65.61927,296.35081017123304,Continuing
19,54,197.8404462303588,173.49335,26.896086,296.35081017123304,Continuing
20,62,277.3861208337041,179.28569,26.614838,296.35081017123304,Continuing
21,44,159.30709474405634,193.83998,28.062653,296.35081017123304,Continuing
22,63,228.4671903908735,175.80829,27.808056,296.35081017123304,Continuing
23,42,179.2410423946837,178.10019,37.659256,296.35081017123304,Continuing
24,50,174.66437205644556,179.93774,23.608818,296.35081017123304,Continuing
25,51,181.925661105008,165.87144,23.567966,296.35081017123304,Continuing
26,47,188.5569729101656,170.75543,24.19444,296.35081017123304,Continuing
27,57,296.35081017123304,160.30772,26.342497,296.35081017123304,Max Elastic Modulus reached
