Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Elastic Modulus_mean in Dataset,Phase,Stopping Reason
0,5,95.3466236160471,,,296.35081017123304,WarmStart,WarmStart
1,8,242.7128680778461,,,296.35081017123304,WarmStart,WarmStart
2,16,28.08588319590436,,,296.35081017123304,WarmStart,WarmStart
3,17,106.8193434000782,,,296.35081017123304,WarmStart,WarmStart
4,22,73.67122147772203,,,296.35081017123304,WarmStart,WarmStart
5,26,42.736240369816734,,,296.35081017123304,WarmStart,WarmStart
6,32,106.70108583654164,,,296.35081017123304,WarmStart,WarmStart
7,34,88.47667256854467,,,296.35081017123304,WarmStart,WarmStart
8,38,182.9546167355371,,,296.35081017123304,WarmStart,WarmStart
9,39,140.76871335709305,,,296.35081017123304,WarmStart,WarmStart
10,42,179.2410423946837,,,296.35081017123304,WarmStart,WarmStart
11,46,242.41091008794928,,,296.35081017123304,WarmStart,WarmStart
12,48,171.00469374345903,,,296.35081017123304,WarmStart,WarmStart
13,63,228.4671903908735,,,296.35081017123304,WarmStart,WarmStart
14,68,65.48719407925006,,,296.35081017123304,WarmStart,WarmStart
15,61,201.80400290446065,254.5480499267578,6.187617778778076,296.35081017123304,ActiveLearning,Continuing
16,62,277.3861208337041,243.80691528320312,5.909970283508301,296.35081017123304,ActiveLearning,Continuing
17,52,231.07458974395303,259.787841796875,10.77373218536377,296.35081017123304,ActiveLearning,Continuing
18,9,233.7243724057668,247.6495361328125,17.59142303466797,296.35081017123304,ActiveLearning,Continuing
19,45,224.5706110108938,231.072265625,19.38196563720703,296.35081017123304,ActiveLearning,Continuing
20,44,159.30709474405634,228.6912841796875,21.435321807861328,296.35081017123304,ActiveLearning,Continuing
21,49,242.91509227554656,232.73898315429688,27.287992477416992,296.35081017123304,ActiveLearning,Continuing
22,54,197.8404462303588,231.90548706054688,48.27339553833008,296.35081017123304,ActiveLearning,Continuing
23,55,168.33383829683325,204.90811157226562,79.36811065673828,296.35081017123304,ActiveLearning,Continuing
24,41,220.5104016857166,214.6342315673828,33.0833854675293,296.35081017123304,ActiveLearning,Continuing
25,37,152.72295816440803,200.21385192871094,28.446428298950195,296.35081017123304,ActiveLearning,Continuing
26,60,272.2240045816517,191.9481658935547,70.853515625,296.35081017123304,ActiveLearning,Continuing
27,56,175.8319549576918,230.89341735839844,33.98985290527344,296.35081017123304,ActiveLearning,Continuing
28,58,211.5086541241532,202.60943603515625,55.53438949584961,296.35081017123304,ActiveLearning,Continuing
29,59,219.61643412334288,195.34507751464844,53.56474685668945,296.35081017123304,ActiveLearning,Continuing
30,72,189.441220061326,184.69503784179688,75.0694580078125,296.35081017123304,ActiveLearning,Continuing
31,43,178.97379271834268,197.3318328857422,40.27099609375,296.35081017123304,ActiveLearning,Continuing
32,53,228.310761552046,166.6807098388672,41.09430694580078,296.35081017123304,ActiveLearning,Continuing
33,70,172.0732296612731,159.32643127441406,40.01093292236328,296.35081017123304,ActiveLearning,Continuing
34,47,188.5569729101656,167.9954833984375,27.237285614013672,296.35081017123304,ActiveLearning,Continuing
35,50,174.66437205644556,172.86578369140625,27.8116512298584,296.35081017123304,ActiveLearning,Continuing
36,40,162.77817832797786,180.1143798828125,30.91010093688965,296.35081017123304,ActiveLearning,Continuing
37,51,181.925661105008,179.36595153808594,28.38031005859375,296.35081017123304,ActiveLearning,Continuing
38,6,204.17680289774336,161.18002319335938,33.21506118774414,296.35081017123304,ActiveLearning,Continuing
39,7,117.40631603510326,179.70687866210938,35.059513092041016,296.35081017123304,ActiveLearning,Continuing
40,57,296.35081017123304,155.7518310546875,31.65659523010254,296.35081017123304,ActiveLearning,Max Elastic Modulus_mean in Dataset reached
