Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Elastic Modulus_mean in Dataset,Phase,Stopping Reason
0,2,66.30151481091211,,,296.35081017123304,WarmStart,WarmStart
1,25,39.13465426900338,,,296.35081017123304,WarmStart,WarmStart
2,39,140.76871335709305,,,296.35081017123304,WarmStart,WarmStart
3,40,162.77817832797786,,,296.35081017123304,WarmStart,WarmStart
4,47,188.5569729101656,,,296.35081017123304,WarmStart,WarmStart
5,54,197.8404462303588,,,296.35081017123304,WarmStart,WarmStart
6,55,168.33383829683325,,,296.35081017123304,WarmStart,WarmStart
7,61,201.80400290446065,,,296.35081017123304,WarmStart,WarmStart
8,67,55.10215022969636,,,296.35081017123304,WarmStart,WarmStart
9,68,65.48719407925006,,,296.35081017123304,WarmStart,WarmStart
10,43,178.97379271834268,281.9167785644531,6.2769389152526855,296.35081017123304,ActiveLearning,Continuing
11,57,296.35081017123304,240.1311492919922,8.471440315246582,296.35081017123304,ActiveLearning,Max Elastic Modulus_mean in Dataset reached
