Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Elastic Modulus_mean in Dataset,Phase,Stopping Reason
0,0,81.74085575257114,,,296.35081017123304,WarmStart,WarmStart
1,4,109.60733027971378,,,296.35081017123304,WarmStart,WarmStart
2,5,95.3466236160471,,,296.35081017123304,WarmStart,WarmStart
3,9,233.7243724057668,,,296.35081017123304,WarmStart,WarmStart
4,10,95.58773206251,,,296.35081017123304,WarmStart,WarmStart
5,12,51.16844398555743,,,296.35081017123304,WarmStart,WarmStart
6,18,74.82276309333224,,,296.35081017123304,WarmStart,WarmStart
7,28,147.00005295683096,,,296.35081017123304,WarmStart,WarmStart
8,31,119.79704241922371,,,296.35081017123304,WarmStart,WarmStart
9,34,88.47667256854467,,,296.35081017123304,WarmStart,WarmStart
10,45,224.5706110108938,,,296.35081017123304,WarmStart,WarmStart
11,55,168.33383829683325,,,296.35081017123304,WarmStart,WarmStart
12,63,228.4671903908735,,,296.35081017123304,WarmStart,WarmStart
13,65,90.99870959544364,,,296.35081017123304,WarmStart,WarmStart
14,72,189.441220061326,,,296.35081017123304,WarmStart,WarmStart
15,53,228.310761552046,867.816162109375,23.464441299438477,296.35081017123304,ActiveLearning,Continuing
16,8,242.7128680778461,238.35804748535156,6.035654544830322,296.35081017123304,ActiveLearning,Continuing
17,41,220.5104016857166,224.72879028320312,9.154966354370117,296.35081017123304,ActiveLearning,Continuing
18,43,178.97379271834268,224.7873077392578,16.47470474243164,296.35081017123304,ActiveLearning,Continuing
19,62,277.3861208337041,244.03419494628906,18.446880340576172,296.35081017123304,ActiveLearning,Continuing
20,44,159.30709474405634,253.91871643066406,25.366851806640625,296.35081017123304,ActiveLearning,Continuing
21,61,201.80400290446065,225.2629852294922,28.162771224975586,296.35081017123304,ActiveLearning,Continuing
22,52,231.07458974395303,223.34854125976562,29.26994514465332,296.35081017123304,ActiveLearning,Continuing
23,46,242.41091008794928,220.86849975585938,30.35807991027832,296.35081017123304,ActiveLearning,Continuing
24,49,242.91509227554656,228.55072021484375,32.2027702331543,296.35081017123304,ActiveLearning,Continuing
25,6,204.17680289774336,196.9921112060547,29.47846794128418,296.35081017123304,ActiveLearning,Continuing
26,37,152.72295816440803,192.1478729248047,30.707929611206055,296.35081017123304,ActiveLearning,Continuing
27,60,272.2240045816517,177.36537170410156,47.385807037353516,296.35081017123304,ActiveLearning,Continuing
28,58,211.5086541241532,239.70965576171875,52.75114440917969,296.35081017123304,ActiveLearning,Continuing
29,59,219.61643412334288,219.2891387939453,44.925148010253906,296.35081017123304,ActiveLearning,Continuing
30,56,175.8319549576918,204.5216064453125,31.702045440673828,296.35081017123304,ActiveLearning,Continuing
31,7,117.40631603510326,179.5514678955078,31.273941040039062,296.35081017123304,ActiveLearning,Continuing
32,70,172.0732296612731,196.3520050048828,46.62294006347656,296.35081017123304,ActiveLearning,Continuing
33,35,207.09310351510177,168.8911895751953,31.752731323242188,296.35081017123304,ActiveLearning,Continuing
34,54,197.8404462303588,160.04168701171875,32.596405029296875,296.35081017123304,ActiveLearning,Continuing
35,42,179.2410423946837,167.1593780517578,35.57794189453125,296.35081017123304,ActiveLearning,Continuing
36,47,188.5569729101656,166.5563507080078,27.822620391845703,296.35081017123304,ActiveLearning,Continuing
37,48,171.00469374345903,168.7524871826172,27.662668228149414,296.35081017123304,ActiveLearning,Continuing
38,50,174.66437205644556,158.4261932373047,24.24090003967285,296.35081017123304,ActiveLearning,Continuing
39,51,181.925661105008,171.16624450683594,25.19426727294922,296.35081017123304,ActiveLearning,Continuing
40,71,270.69323356331364,171.8660125732422,37.374900817871094,296.35081017123304,ActiveLearning,Continuing
41,38,182.9546167355371,154.84715270996094,24.378870010375977,296.35081017123304,ActiveLearning,Continuing
42,68,65.48719407925006,177.4492645263672,42.375797271728516,296.35081017123304,ActiveLearning,Continuing
43,57,296.35081017123304,150.7429656982422,29.414751052856445,296.35081017123304,ActiveLearning,Max Elastic Modulus_mean in Dataset reached
