Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Elastic Modulus_mean in Dataset,Phase,Stopping Reason
0,0,81.74085575257114,,,296.35081017123304,WarmStart,WarmStart
1,4,109.60733027971378,,,296.35081017123304,WarmStart,WarmStart
2,5,95.3466236160471,,,296.35081017123304,WarmStart,WarmStart
3,7,117.40631603510326,,,296.35081017123304,WarmStart,WarmStart
4,9,233.7243724057668,,,296.35081017123304,WarmStart,WarmStart
5,10,95.58773206251,,,296.35081017123304,WarmStart,WarmStart
6,12,51.16844398555743,,,296.35081017123304,WarmStart,WarmStart
7,16,28.08588319590436,,,296.35081017123304,WarmStart,WarmStart
8,18,74.82276309333224,,,296.35081017123304,WarmStart,WarmStart
9,19,56.88500845389184,,,296.35081017123304,WarmStart,WarmStart
10,22,73.67122147772203,,,296.35081017123304,WarmStart,WarmStart
11,28,147.00005295683096,,,296.35081017123304,WarmStart,WarmStart
12,30,42.124759091300646,,,296.35081017123304,WarmStart,WarmStart
13,31,119.79704241922371,,,296.35081017123304,WarmStart,WarmStart
14,33,72.06868568538891,,,296.35081017123304,WarmStart,WarmStart
15,34,88.47667256854467,,,296.35081017123304,WarmStart,WarmStart
16,35,207.09310351510177,,,296.35081017123304,WarmStart,WarmStart
17,39,140.76871335709305,,,296.35081017123304,WarmStart,WarmStart
18,42,179.2410423946837,,,296.35081017123304,WarmStart,WarmStart
19,44,159.30709474405634,,,296.35081017123304,WarmStart,WarmStart
20,45,224.5706110108938,,,296.35081017123304,WarmStart,WarmStart
21,47,188.5569729101656,,,296.35081017123304,WarmStart,WarmStart
22,49,242.91509227554656,,,296.35081017123304,WarmStart,WarmStart
23,50,174.66437205644556,,,296.35081017123304,WarmStart,WarmStart
24,55,168.33383829683325,,,296.35081017123304,WarmStart,WarmStart
25,56,175.8319549576918,,,296.35081017123304,WarmStart,WarmStart
26,57,296.35081017123304,,,296.35081017123304,WarmStart,WarmStart
27,59,219.61643412334288,,,296.35081017123304,WarmStart,WarmStart
28,61,201.80400290446065,,,296.35081017123304,WarmStart,WarmStart
29,63,228.4671903908735,,,296.35081017123304,WarmStart,WarmStart
30,65,90.99870959544364,,,296.35081017123304,WarmStart,WarmStart
31,70,172.0732296612731,,,296.35081017123304,WarmStart,WarmStart
32,72,189.441220061326,,,296.35081017123304,WarmStart,WarmStart
33,53,228.310761552046,385.5067138671875,7.2067131996154785,296.35081017123304,ActiveLearning,Continuing
34,41,220.5104016857166,265.4976806640625,7.419878959655762,296.35081017123304,ActiveLearning,Continuing
35,52,231.07458974395303,220.21253967285156,8.956099510192871,296.35081017123304,ActiveLearning,Continuing
36,8,242.7128680778461,227.56236267089844,15.884988784790039,296.35081017123304,ActiveLearning,Continuing
37,46,242.41091008794928,230.5195770263672,19.67718505859375,296.35081017123304,ActiveLearning,Continuing
38,60,272.2240045816517,223.57032775878906,31.365694046020508,296.35081017123304,ActiveLearning,Continuing
39,58,211.5086541241532,235.09547424316406,34.04829025268555,296.35081017123304,ActiveLearning,Continuing
40,62,277.3861208337041,202.6512908935547,26.796716690063477,296.35081017123304,ActiveLearning,Continuing
41,37,152.72295816440803,183.83258056640625,25.889673233032227,296.35081017123304,ActiveLearning,Continuing
42,43,178.97379271834268,197.44525146484375,32.922271728515625,296.35081017123304,ActiveLearning,Continuing
43,48,171.00469374345903,184.67823791503906,28.697349548339844,296.35081017123304,ActiveLearning,Continuing
44,54,197.8404462303588,173.2042999267578,33.029808044433594,296.35081017123304,ActiveLearning,Continuing
45,71,270.69323356331364,156.37353515625,37.11286163330078,296.35081017123304,ActiveLearning,Continuing
46,51,181.925661105008,173.80078125,25.062034606933594,296.35081017123304,ActiveLearning,Continuing
47,68,65.48719407925006,181.9584503173828,37.07830047607422,296.35081017123304,ActiveLearning,Continuing
48,38,182.9546167355371,161.09652709960938,27.36554527282715,296.35081017123304,ActiveLearning,Continuing
49,40,162.77817832797786,153.50384521484375,27.12105941772461,296.35081017123304,ActiveLearning,Continuing
50,6,204.17680289774336,139.4604034423828,30.09395408630371,296.35081017123304,ActiveLearning,Continuing
51,69,110.69482106635698,120.41968536376953,41.908355712890625,296.35081017123304,ActiveLearning,Continuing
52,36,120.1628705347832,116.10951232910156,28.0212345123291,296.35081017123304,ActiveLearning,Continuing
53,32,106.70108583654164,92.64595031738281,18.128204345703125,296.35081017123304,ActiveLearning,Continuing
54,24,98.05789122606568,96.13441467285156,24.704587936401367,296.35081017123304,ActiveLearning,Continuing
55,67,55.10215022969636,92.44046783447266,29.274858474731445,296.35081017123304,ActiveLearning,Continuing
56,21,50.104313602035774,88.12039947509766,19.851625442504883,296.35081017123304,ActiveLearning,Continuing
57,1,71.68894182884907,82.8024673461914,22.818368911743164,296.35081017123304,ActiveLearning,Continuing
58,2,66.30151481091211,81.97728729248047,22.128461837768555,296.35081017123304,ActiveLearning,Continuing
59,3,79.49162278991126,71.20880126953125,18.836427688598633,296.35081017123304,ActiveLearning,Continuing
60,15,48.22854697312115,75.34416198730469,22.777721405029297,296.35081017123304,ActiveLearning,Continuing
61,27,141.45379911190125,64.18209838867188,18.318037033081055,296.35081017123304,ActiveLearning,Continuing
62,17,106.8193434000782,66.32213592529297,20.857030868530273,296.35081017123304,ActiveLearning,Continuing
63,26,42.736240369816734,66.34260559082031,15.584815979003906,296.35081017123304,ActiveLearning,Continuing
64,64,95.81586876001889,64.09664916992188,20.277610778808594,296.35081017123304,ActiveLearning,Continuing
65,66,64.29918271351211,66.84609985351562,21.027090072631836,296.35081017123304,ActiveLearning,Continuing
66,29,51.50598562924656,51.1036262512207,12.459692001342773,296.35081017123304,ActiveLearning,Continuing
67,14,39.58562154046682,49.34886169433594,12.963360786437988,296.35081017123304,ActiveLearning,Continuing
68,20,45.87195384392433,46.15083312988281,10.27652359008789,296.35081017123304,ActiveLearning,Continuing
69,25,39.13465426900338,41.69156265258789,8.258211135864258,296.35081017123304,ActiveLearning,Continuing
70,23,53.46447392343188,40.41073226928711,12.301898002624512,296.35081017123304,ActiveLearning,Continuing
71,13,35.102261317001975,39.70603942871094,9.172224998474121,296.35081017123304,ActiveLearning,Continuing
72,11,24.71538796928362,37.490421295166016,10.094942092895508,296.35081017123304,ActiveLearning,Continuing
