Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Elastic Modulus_mean in Dataset,Phase,Stopping Reason
0,0,81.74085575257114,,,296.35081017123304,WarmStart,WarmStart
1,4,109.60733027971378,,,296.35081017123304,WarmStart,WarmStart
2,10,95.58773206251,,,296.35081017123304,WarmStart,WarmStart
3,12,51.16844398555743,,,296.35081017123304,WarmStart,WarmStart
4,18,74.82276309333224,,,296.35081017123304,WarmStart,WarmStart
5,28,147.00005295683096,,,296.35081017123304,WarmStart,WarmStart
6,34,88.47667256854467,,,296.35081017123304,WarmStart,WarmStart
7,63,228.4671903908735,,,296.35081017123304,WarmStart,WarmStart
8,72,189.441220061326,,,296.35081017123304,WarmStart,WarmStart
9,53,228.310761552046,315.5377197265625,10.308040618896484,296.35081017123304,ActiveLearning,Continuing
10,52,231.07458974395303,278.2378234863281,6.848290920257568,296.35081017123304,ActiveLearning,Continuing
11,43,178.97379271834268,242.2935333251953,10.843493461608887,296.35081017123304,ActiveLearning,Continuing
12,61,201.80400290446065,240.95919799804688,15.046778678894043,296.35081017123304,ActiveLearning,Continuing
13,62,277.3861208337041,242.4773406982422,19.818653106689453,296.35081017123304,ActiveLearning,Continuing
14,45,224.5706110108938,237.72003173828125,23.200849533081055,296.35081017123304,ActiveLearning,Continuing
15,41,220.5104016857166,224.94091796875,28.85993194580078,296.35081017123304,ActiveLearning,Continuing
16,54,197.8404462303588,247.51333618164062,46.10744857788086,296.35081017123304,ActiveLearning,Continuing
17,46,242.41091008794928,220.0057373046875,29.604389190673828,296.35081017123304,ActiveLearning,Continuing
18,49,242.91509227554656,226.5814666748047,29.09654998779297,296.35081017123304,ActiveLearning,Continuing
19,37,152.72295816440803,219.69705200195312,30.049135208129883,296.35081017123304,ActiveLearning,Continuing
20,60,272.2240045816517,201.34536743164062,64.88224029541016,296.35081017123304,ActiveLearning,Continuing
21,58,211.5086541241532,207.22109985351562,62.268531799316406,296.35081017123304,ActiveLearning,Continuing
22,59,219.61643412334288,232.3671112060547,64.20396423339844,296.35081017123304,ActiveLearning,Continuing
23,56,175.8319549576918,219.45782470703125,32.11894607543945,296.35081017123304,ActiveLearning,Continuing
24,55,168.33383829683325,199.17359924316406,47.4896240234375,296.35081017123304,ActiveLearning,Continuing
25,44,159.30709474405634,187.8447265625,28.719959259033203,296.35081017123304,ActiveLearning,Continuing
26,70,172.0732296612731,182.5595703125,42.46225357055664,296.35081017123304,ActiveLearning,Continuing
27,35,207.09310351510177,162.66615295410156,29.464786529541016,296.35081017123304,ActiveLearning,Continuing
28,42,179.2410423946837,158.1233673095703,32.716087341308594,296.35081017123304,ActiveLearning,Continuing
29,57,296.35081017123304,158.6639862060547,28.344301223754883,296.35081017123304,ActiveLearning,Max Elastic Modulus_mean in Dataset reached
