Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Elastic Modulus_mean in Dataset,Phase,Stopping Reason
0,0,81.74085575257114,,,296.35081017123304,WarmStart,WarmStart
1,4,109.60733027971378,,,296.35081017123304,WarmStart,WarmStart
2,21,50.104313602035774,,,296.35081017123304,WarmStart,WarmStart
3,26,42.736240369816734,,,296.35081017123304,WarmStart,WarmStart
4,45,224.5706110108938,,,296.35081017123304,WarmStart,WarmStart
5,62,277.3861208337041,,,296.35081017123304,WarmStart,WarmStart
6,64,95.81586876001889,,,296.35081017123304,WarmStart,WarmStart
7,61,201.80400290446065,278.59503173828125,6.309093952178955,296.35081017123304,ActiveLearning,Continuing
8,44,159.30709474405634,265.4721374511719,6.3158674240112305,296.35081017123304,ActiveLearning,Continuing
9,37,152.72295816440803,229.0962371826172,8.58289623260498,296.35081017123304,ActiveLearning,Continuing
10,72,189.441220061326,337.0792236328125,42.53056716918945,296.35081017123304,ActiveLearning,Continuing
11,52,231.07458974395303,223.38365173339844,19.73375129699707,296.35081017123304,ActiveLearning,Continuing
12,6,204.17680289774336,228.6263885498047,25.979211807250977,296.35081017123304,ActiveLearning,Continuing
13,46,242.41091008794928,211.82650756835938,22.884899139404297,296.35081017123304,ActiveLearning,Continuing
14,54,197.8404462303588,206.27642822265625,49.10165786743164,296.35081017123304,ActiveLearning,Continuing
15,55,168.33383829683325,207.6035919189453,71.77176666259766,296.35081017123304,ActiveLearning,Continuing
16,49,242.91509227554656,219.09645080566406,36.40239334106445,296.35081017123304,ActiveLearning,Continuing
17,60,272.2240045816517,177.6846466064453,54.869258880615234,296.35081017123304,ActiveLearning,Continuing
18,58,211.5086541241532,200.5067138671875,54.34824752807617,296.35081017123304,ActiveLearning,Continuing
19,59,219.61643412334288,204.42929077148438,48.45778274536133,296.35081017123304,ActiveLearning,Continuing
20,56,175.8319549576918,203.4970703125,33.229190826416016,296.35081017123304,ActiveLearning,Continuing
21,7,117.40631603510326,189.27691650390625,31.69137191772461,296.35081017123304,ActiveLearning,Continuing
22,70,172.0732296612731,161.45718383789062,37.5849494934082,296.35081017123304,ActiveLearning,Continuing
23,63,228.4671903908735,190.87026977539062,32.22664260864258,296.35081017123304,ActiveLearning,Continuing
24,43,178.97379271834268,196.5138702392578,45.87904357910156,296.35081017123304,ActiveLearning,Continuing
25,41,220.5104016857166,154.32354736328125,33.43411636352539,296.35081017123304,ActiveLearning,Continuing
26,69,110.69482106635698,140.92527770996094,42.407596588134766,296.35081017123304,ActiveLearning,Continuing
27,53,228.310761552046,139.35928344726562,40.65824508666992,296.35081017123304,ActiveLearning,Continuing
28,42,179.2410423946837,152.04461669921875,32.64344787597656,296.35081017123304,ActiveLearning,Continuing
29,40,162.77817832797786,143.4456024169922,30.21722412109375,296.35081017123304,ActiveLearning,Continuing
30,57,296.35081017123304,147.6336669921875,29.97260284423828,296.35081017123304,ActiveLearning,Max Elastic Modulus_mean in Dataset reached
