Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Elastic Modulus_mean in Dataset,Phase,Stopping Reason
0,0,81.74085575257114,,,296.35081017123304,WarmStart,WarmStart
1,4,109.60733027971378,,,296.35081017123304,WarmStart,WarmStart
2,10,95.58773206251,,,296.35081017123304,WarmStart,WarmStart
3,12,51.16844398555743,,,296.35081017123304,WarmStart,WarmStart
4,18,74.82276309333224,,,296.35081017123304,WarmStart,WarmStart
5,28,147.00005295683096,,,296.35081017123304,WarmStart,WarmStart
6,34,88.47667256854467,,,296.35081017123304,WarmStart,WarmStart
7,55,168.33383829683325,,,296.35081017123304,WarmStart,WarmStart
8,63,228.4671903908735,,,296.35081017123304,WarmStart,WarmStart
9,72,189.441220061326,,,296.35081017123304,WarmStart,WarmStart
10,53,228.310761552046,769.6339721679688,20.783353805541992,296.35081017123304,ActiveLearning,Continuing
11,52,231.07458974395303,330.9019775390625,7.897240161895752,296.35081017123304,ActiveLearning,Continuing
12,41,220.5104016857166,246.13059997558594,9.017934799194336,296.35081017123304,ActiveLearning,Continuing
13,43,178.97379271834268,227.05348205566406,15.145244598388672,296.35081017123304,ActiveLearning,Continuing
14,62,277.3861208337041,240.0584716796875,19.45940399169922,296.35081017123304,ActiveLearning,Continuing
15,61,201.80400290446065,266.15972900390625,30.058860778808594,296.35081017123304,ActiveLearning,Continuing
16,45,224.5706110108938,228.24700927734375,28.063819885253906,296.35081017123304,ActiveLearning,Continuing
17,46,242.41091008794928,222.19508361816406,27.192825317382812,296.35081017123304,ActiveLearning,Continuing
18,49,242.91509227554656,222.41708374023438,29.237825393676758,296.35081017123304,ActiveLearning,Continuing
19,44,159.30709474405634,227.81312561035156,30.239633560180664,296.35081017123304,ActiveLearning,Continuing
20,60,272.2240045816517,195.9452362060547,42.43320083618164,296.35081017123304,ActiveLearning,Continuing
21,58,211.5086541241532,238.92431640625,41.590301513671875,296.35081017123304,ActiveLearning,Continuing
22,59,219.61643412334288,214.76254272460938,37.26176071166992,296.35081017123304,ActiveLearning,Continuing
23,37,152.72295816440803,225.30642700195312,32.84708786010742,296.35081017123304,ActiveLearning,Continuing
24,56,175.8319549576918,194.84620666503906,28.729923248291016,296.35081017123304,ActiveLearning,Continuing
25,70,172.0732296612731,177.85812377929688,38.357704162597656,296.35081017123304,ActiveLearning,Continuing
26,35,207.09310351510177,162.36566162109375,27.48003578186035,296.35081017123304,ActiveLearning,Continuing
27,54,197.8404462303588,176.62779235839844,32.33456802368164,296.35081017123304,ActiveLearning,Continuing
28,42,179.2410423946837,154.2886962890625,30.485292434692383,296.35081017123304,ActiveLearning,Continuing
29,57,296.35081017123304,152.55419921875,28.720598220825195,296.35081017123304,ActiveLearning,Max Elastic Modulus_mean in Dataset reached
