Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Elastic Modulus_mean in Dataset,Phase,Stopping Reason
0,0,81.74085575257114,,,296.35081017123304,WarmStart,WarmStart
1,4,109.60733027971378,,,296.35081017123304,WarmStart,WarmStart
2,10,95.58773206251,,,296.35081017123304,WarmStart,WarmStart
3,12,51.16844398555743,,,296.35081017123304,WarmStart,WarmStart
4,18,74.82276309333224,,,296.35081017123304,WarmStart,WarmStart
5,28,147.00005295683096,,,296.35081017123304,WarmStart,WarmStart
6,34,88.47667256854467,,,296.35081017123304,WarmStart,WarmStart
7,63,228.4671903908735,,,296.35081017123304,WarmStart,WarmStart
8,72,189.441220061326,,,296.35081017123304,WarmStart,WarmStart
9,53,228.310761552046,315.5377197265625,10.308040618896484,296.35081017123304,ActiveLearning,Continuing
10,52,231.07458974395303,278.2378234863281,6.848290920257568,296.35081017123304,ActiveLearning,Continuing
11,43,178.97379271834268,242.2935333251953,10.843493461608887,296.35081017123304,ActiveLearning,Continuing
12,61,201.80400290446065,240.95919799804688,15.046778678894043,296.35081017123304,ActiveLearning,Continuing
13,62,277.3861208337041,242.4773406982422,19.818653106689453,296.35081017123304,ActiveLearning,Continuing
14,44,159.30709474405634,237.5625457763672,23.375757217407227,296.35081017123304,ActiveLearning,Continuing
15,41,220.5104016857166,235.0741424560547,30.20433807373047,296.35081017123304,ActiveLearning,Continuing
16,37,152.72295816440803,229.63064575195312,29.133363723754883,296.35081017123304,ActiveLearning,Continuing
17,60,272.2240045816517,233.40594482421875,52.268863677978516,296.35081017123304,ActiveLearning,Continuing
18,54,197.8404462303588,304.9987487792969,91.62548828125,296.35081017123304,ActiveLearning,Continuing
19,55,168.33383829683325,219.1239471435547,74.65699005126953,296.35081017123304,ActiveLearning,Continuing
20,58,211.5086541241532,213.48348999023438,55.905357360839844,296.35081017123304,ActiveLearning,Continuing
21,59,219.61643412334288,197.4569549560547,52.83966827392578,296.35081017123304,ActiveLearning,Continuing
22,45,224.5706110108938,247.1767120361328,40.267887115478516,296.35081017123304,ActiveLearning,Continuing
23,46,242.41091008794928,235.6453094482422,36.8060417175293,296.35081017123304,ActiveLearning,Continuing
24,49,242.91509227554656,228.68734741210938,33.71107864379883,296.35081017123304,ActiveLearning,Continuing
25,56,175.8319549576918,202.77574157714844,30.075037002563477,296.35081017123304,ActiveLearning,Continuing
26,70,172.0732296612731,186.24063110351562,43.00392150878906,296.35081017123304,ActiveLearning,Continuing
27,35,207.09310351510177,160.48394775390625,28.84988784790039,296.35081017123304,ActiveLearning,Continuing
28,42,179.2410423946837,154.99378967285156,32.49355697631836,296.35081017123304,ActiveLearning,Continuing
29,6,204.17680289774336,141.59512329101562,33.78895950317383,296.35081017123304,ActiveLearning,Continuing
30,7,117.40631603510326,168.99537658691406,36.235450744628906,296.35081017123304,ActiveLearning,Continuing
31,69,110.69482106635698,142.66049194335938,48.10982894897461,296.35081017123304,ActiveLearning,Continuing
32,57,296.35081017123304,147.07713317871094,28.014427185058594,296.35081017123304,ActiveLearning,Max Elastic Modulus_mean in Dataset reached
