Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Elastic Modulus_mean in Dataset,Phase,Stopping Reason
0,8,242.7128680778461,,,296.35081017123304,WarmStart,WarmStart
1,26,42.736240369816734,,,296.35081017123304,WarmStart,WarmStart
2,38,182.9546167355371,,,296.35081017123304,WarmStart,WarmStart
3,39,140.76871335709305,,,296.35081017123304,WarmStart,WarmStart
4,68,65.48719407925006,,,296.35081017123304,WarmStart,WarmStart
5,9,233.7243724057668,235.76777192226305,36.81740172123038,296.35081017123304,ActiveLearning,Continuing
6,47,188.5569729101656,233.29616791547323,39.60353054491555,296.35081017123304,ActiveLearning,Continuing
7,6,204.17680289774336,226.75898571572043,36.7000489094758,296.35081017123304,ActiveLearning,Continuing
8,62,277.3861208337041,209.4868687151195,23.48448873975011,296.35081017123304,ActiveLearning,Continuing
9,63,228.4671903908735,238.51276026430554,65.2231992629732,296.35081017123304,ActiveLearning,Continuing
10,61,201.80400290446065,197.01022900837597,117.31918346091027,296.35081017123304,ActiveLearning,Continuing
11,44,159.30709474405634,232.88598229706804,28.3003270701456,296.35081017123304,ActiveLearning,Continuing
12,52,231.07458974395303,209.26452327106495,44.81260262577973,296.35081017123304,ActiveLearning,Continuing
13,45,224.5706110108938,221.18452050046633,49.05614428454151,296.35081017123304,ActiveLearning,Continuing
14,46,242.41091008794928,222.1294429801714,41.11463912973671,296.35081017123304,ActiveLearning,Continuing
15,49,242.91509227554656,227.3912466125568,37.12055725794944,296.35081017123304,ActiveLearning,Continuing
16,54,197.8404462303588,212.1540630399952,37.203331890460056,296.35081017123304,ActiveLearning,Continuing
17,50,174.66437205644556,213.75168955112883,33.65245837256174,296.35081017123304,ActiveLearning,Continuing
18,7,117.40631603510326,207.01053367771192,37.82054518171086,296.35081017123304,ActiveLearning,Continuing
19,53,228.310761552046,191.81193978587794,80.5781655300246,296.35081017123304,ActiveLearning,Continuing
20,48,171.00469374345903,209.84765615585127,39.74466342555021,296.35081017123304,ActiveLearning,Continuing
21,57,296.35081017123304,202.94668872174282,47.00134435889916,296.35081017123304,ActiveLearning,Max Elastic Modulus_mean in Dataset reached
