Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Elastic Modulus_mean in Dataset,Phase,Stopping Reason
0,0,81.74085575257114,,,296.35081017123304,WarmStart,WarmStart
1,4,109.60733027971378,,,296.35081017123304,WarmStart,WarmStart
2,10,95.58773206251,,,296.35081017123304,WarmStart,WarmStart
3,12,51.16844398555743,,,296.35081017123304,WarmStart,WarmStart
4,18,74.82276309333224,,,296.35081017123304,WarmStart,WarmStart
5,28,147.00005295683096,,,296.35081017123304,WarmStart,WarmStart
6,34,88.47667256854467,,,296.35081017123304,WarmStart,WarmStart
7,63,228.4671903908735,,,296.35081017123304,WarmStart,WarmStart
8,72,189.441220061326,,,296.35081017123304,WarmStart,WarmStart
9,70,172.0732296612731,115.29499047515205,61.42029661756643,296.35081017123304,ActiveLearning,Continuing
10,60,272.2240045816517,121.16184979381478,60.321420342438074,296.35081017123304,ActiveLearning,Continuing
11,58,211.5086541241532,134.04499484934047,73.66012123025982,296.35081017123304,ActiveLearning,Continuing
12,59,219.61643412334288,191.08717695080676,81.20997153013083,296.35081017123304,ActiveLearning,Continuing
13,53,228.310761552046,183.173062040853,67.87748582365597,296.35081017123304,ActiveLearning,Continuing
14,43,178.97379271834268,210.47062446833328,45.06598313227303,296.35081017123304,ActiveLearning,Continuing
15,57,296.35081017123304,210.71155647042718,39.10860053035803,296.35081017123304,ActiveLearning,Max Elastic Modulus_mean in Dataset reached
