Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Elastic Modulus_mean in Dataset,Phase,Stopping Reason
0,0,81.74085575257114,,,296.35081017123304,WarmStart,WarmStart
1,4,109.60733027971378,,,296.35081017123304,WarmStart,WarmStart
2,10,95.58773206251,,,296.35081017123304,WarmStart,WarmStart
3,12,51.16844398555743,,,296.35081017123304,WarmStart,WarmStart
4,18,74.82276309333224,,,296.35081017123304,WarmStart,WarmStart
5,28,147.00005295683096,,,296.35081017123304,WarmStart,WarmStart
6,34,88.47667256854467,,,296.35081017123304,WarmStart,WarmStart
7,55,168.33383829683325,,,296.35081017123304,WarmStart,WarmStart
8,63,228.4671903908735,,,296.35081017123304,WarmStart,WarmStart
9,65,90.99870959544364,,,296.35081017123304,WarmStart,WarmStart
10,72,189.441220061326,,,296.35081017123304,WarmStart,WarmStart
11,70,172.0732296612731,198.68094448219173,139.99051782232883,296.35081017123304,ActiveLearning,Continuing
12,62,277.3861208337041,199.44641986555797,139.99051782232883,296.35081017123304,ActiveLearning,Continuing
13,61,201.80400290446065,249.38298111307907,109.05228253687088,296.35081017123304,ActiveLearning,Continuing
14,56,175.8319549576918,238.28389355604705,105.31289117243102,296.35081017123304,ActiveLearning,Continuing
15,40,162.77817832797786,222.12284930723217,188.90944826515945,296.35081017123304,ActiveLearning,Continuing
16,44,159.30709474405634,213.60341316719482,109.05228253687088,296.35081017123304,ActiveLearning,Continuing
17,54,197.8404462303588,181.0920812901713,118.07902608964778,296.35081017123304,ActiveLearning,Continuing
18,7,117.40631603510326,197.12964832172017,188.90944826515945,296.35081017123304,ActiveLearning,Continuing
19,8,242.7128680778461,186.10650285308725,118.07902608964778,296.35081017123304,ActiveLearning,Continuing
20,9,233.7243724057668,222.67233886755272,83.40577333378977,296.35081017123304,ActiveLearning,Continuing
21,47,188.5569729101656,210.2491712332637,118.07902608964778,296.35081017123304,ActiveLearning,Continuing
22,71,270.69323356331364,206.248293793073,74.37902978101286,296.35081017123304,ActiveLearning,Continuing
23,53,228.310761552046,229.71265695830454,102.35939526648039,296.35081017123304,ActiveLearning,Continuing
24,48,171.00469374345903,204.73166446363135,54.15589516768051,296.35081017123304,ActiveLearning,Continuing
25,43,178.97379271834268,181.61749344441054,69.16009564681715,296.35081017123304,ActiveLearning,Continuing
26,60,272.2240045816517,177.86596088786294,42.4969081604043,296.35081017123304,ActiveLearning,Continuing
27,58,211.5086541241532,225.4025823334304,103.89016628481843,296.35081017123304,ActiveLearning,Continuing
28,59,219.61643412334288,215.84761048658362,103.89016628481843,296.35081017123304,ActiveLearning,Continuing
29,57,296.35081017123304,214.31841673176544,60.247603797898535,296.35081017123304,ActiveLearning,Max Elastic Modulus_mean in Dataset reached
