Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Elastic Modulus_mean in Dataset,Phase,Stopping Reason
0,0,81.74085575257114,,,296.35081017123304,WarmStart,WarmStart
1,4,109.60733027971378,,,296.35081017123304,WarmStart,WarmStart
2,5,95.3466236160471,,,296.35081017123304,WarmStart,WarmStart
3,7,117.40631603510326,,,296.35081017123304,WarmStart,WarmStart
4,9,233.7243724057668,,,296.35081017123304,WarmStart,WarmStart
5,10,95.58773206251,,,296.35081017123304,WarmStart,WarmStart
6,12,51.16844398555743,,,296.35081017123304,WarmStart,WarmStart
7,16,28.08588319590436,,,296.35081017123304,WarmStart,WarmStart
8,18,74.82276309333224,,,296.35081017123304,WarmStart,WarmStart
9,19,56.88500845389184,,,296.35081017123304,WarmStart,WarmStart
10,22,73.67122147772203,,,296.35081017123304,WarmStart,WarmStart
11,28,147.00005295683096,,,296.35081017123304,WarmStart,WarmStart
12,30,42.124759091300646,,,296.35081017123304,WarmStart,WarmStart
13,31,119.79704241922371,,,296.35081017123304,WarmStart,WarmStart
14,33,72.06868568538891,,,296.35081017123304,WarmStart,WarmStart
15,34,88.47667256854467,,,296.35081017123304,WarmStart,WarmStart
16,35,207.09310351510177,,,296.35081017123304,WarmStart,WarmStart
17,39,140.76871335709305,,,296.35081017123304,WarmStart,WarmStart
18,42,179.2410423946837,,,296.35081017123304,WarmStart,WarmStart
19,44,159.30709474405634,,,296.35081017123304,WarmStart,WarmStart
20,45,224.5706110108938,,,296.35081017123304,WarmStart,WarmStart
21,47,188.5569729101656,,,296.35081017123304,WarmStart,WarmStart
22,49,242.91509227554656,,,296.35081017123304,WarmStart,WarmStart
23,50,174.66437205644556,,,296.35081017123304,WarmStart,WarmStart
24,55,168.33383829683325,,,296.35081017123304,WarmStart,WarmStart
25,56,175.8319549576918,,,296.35081017123304,WarmStart,WarmStart
26,57,296.35081017123304,,,296.35081017123304,WarmStart,WarmStart
27,61,201.80400290446065,,,296.35081017123304,WarmStart,WarmStart
28,63,228.4671903908735,,,296.35081017123304,WarmStart,WarmStart
29,65,90.99870959544364,,,296.35081017123304,WarmStart,WarmStart
30,70,172.0732296612731,,,296.35081017123304,WarmStart,WarmStart
31,72,189.441220061326,,,296.35081017123304,WarmStart,WarmStart
32,53,228.310761552046,271.8929547877747,107.79383726106744,296.35081017123304,ActiveLearning,Continuing
33,58,211.5086541241532,251.10704870240087,128.0169718743998,296.35081017123304,ActiveLearning,Continuing
34,59,219.61643412334288,230.12621192601222,128.0169718743998,296.35081017123304,ActiveLearning,Continuing
35,46,242.41091008794928,223.55830162211413,68.250720219101,296.35081017123304,ActiveLearning,Continuing
36,52,231.07458974395303,232.12840679285972,18.592190109030298,296.35081017123304,ActiveLearning,Continuing
37,8,242.7128680778461,215.94218821952833,65.39053410893354,296.35081017123304,ActiveLearning,Continuing
38,71,270.69323356331364,214.1008702859196,70.639638416573,296.35081017123304,ActiveLearning,Continuing
39,48,171.00469374345903,204.30726092866752,96.02886150686808,296.35081017123304,ActiveLearning,Continuing
40,41,220.5104016857166,211.2816724421945,83.10381534389293,296.35081017123304,ActiveLearning,Continuing
41,60,272.2240045816517,201.73067562334788,137.0437154271767,296.35081017123304,ActiveLearning,Continuing
42,62,277.3861208337041,194.68642616728042,69.16009564681715,296.35081017123304,ActiveLearning,Continuing
43,40,162.77817832797786,187.94178893949075,188.90944826515945,296.35081017123304,ActiveLearning,Continuing
44,51,181.925661105008,187.41961175384623,118.07902608964778,296.35081017123304,ActiveLearning,Continuing
45,43,178.97379271834268,179.65477177678736,69.16009564681715,296.35081017123304,ActiveLearning,Continuing
46,54,197.8404462303588,177.97528701541182,47.22870582691479,296.35081017123304,ActiveLearning,Continuing
47,38,182.9546167355371,143.48002378609263,188.90944826515945,296.35081017123304,ActiveLearning,Continuing
48,37,152.72295816440803,163.8127125370133,113.32733033591597,296.35081017123304,ActiveLearning,Continuing
49,69,110.69482106635698,154.39420431935574,164.9683444238011,296.35081017123304,ActiveLearning,Continuing
50,6,204.17680289774336,135.11303664223772,74.06032178900661,296.35081017123304,ActiveLearning,Continuing
51,36,120.1628705347832,112.56652328173965,179.00722031919742,296.35081017123304,ActiveLearning,Continuing
52,68,65.48719407925006,108.78938552311645,228.568474472013,296.35081017123304,ActiveLearning,Continuing
53,21,50.104313602035774,89.06302932860791,68.62859843366628,296.35081017123304,ActiveLearning,Continuing
54,27,141.45379911190125,90.61197895720113,118.9141697609266,296.35081017123304,ActiveLearning,Continuing
55,32,106.70108583654164,91.09988535674934,68.62859843366628,296.35081017123304,ActiveLearning,Continuing
56,24,98.05789122606568,85.95884004573132,92.07698733887884,296.35081017123304,ActiveLearning,Continuing
57,26,42.736240369816734,87.68361956095015,47.7283567338348,296.35081017123304,ActiveLearning,Continuing
58,17,106.8193434000782,86.42116243528307,118.9141697609266,296.35081017123304,ActiveLearning,Continuing
59,64,95.81586876001889,82.44053065849025,64.57632674524098,296.35081017123304,ActiveLearning,Continuing
60,1,71.68894182884907,78.0056948569707,55.650899414520765,296.35081017123304,ActiveLearning,Continuing
61,66,64.29918271351211,76.43198666999375,55.321650856248944,296.35081017123304,ActiveLearning,Continuing
62,3,79.49162278991126,74.1757380877451,45.24231001401132,296.35081017123304,ActiveLearning,Continuing
63,2,66.30151481091211,79.5259199768355,59.503016677678005,296.35081017123304,ActiveLearning,Continuing
64,15,48.22854697312115,70.90232110270873,69.97200803016132,296.35081017123304,ActiveLearning,Continuing
65,67,55.10215022969636,71.07157577396595,64.57632674524099,296.35081017123304,ActiveLearning,Continuing
66,25,39.13465426900338,61.16692485212446,69.97200803016132,296.35081017123304,ActiveLearning,Continuing
67,20,45.87195384392433,62.45578275701301,53.46297297120935,296.35081017123304,ActiveLearning,Continuing
68,23,53.46447392343188,58.80249432994581,46.73687989742788,296.35081017123304,ActiveLearning,Continuing
69,29,51.50598562924656,54.99754274558605,64.57632674524099,296.35081017123304,ActiveLearning,Continuing
70,13,35.102261317001975,48.8894494338142,78.73346020417384,296.35081017123304,ActiveLearning,Continuing
71,14,39.58562154046682,43.01809801697745,36.60177466620124,296.35081017123304,ActiveLearning,Continuing
72,11,24.71538796928362,36.81792791748786,23.08256078965308,296.35081017123304,ActiveLearning,Continuing
