Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Elastic Modulus_mean in Dataset,Phase,Stopping Reason
0,0,81.74085575257114,,,296.35081017123304,WarmStart,WarmStart
1,4,109.60733027971378,,,296.35081017123304,WarmStart,WarmStart
2,21,50.104313602035774,,,296.35081017123304,WarmStart,WarmStart
3,26,42.736240369816734,,,296.35081017123304,WarmStart,WarmStart
4,45,224.5706110108938,,,296.35081017123304,WarmStart,WarmStart
5,62,277.3861208337041,,,296.35081017123304,WarmStart,WarmStart
6,64,95.81586876001889,,,296.35081017123304,WarmStart,WarmStart
7,41,220.5104016857166,235.8955453742545,234.6498804638874,296.35081017123304,ActiveLearning,Continuing
8,63,228.4671903908735,231.36809047793628,234.6498804638874,296.35081017123304,ActiveLearning,Continuing
9,61,201.80400290446065,244.26475444068817,227.28180723166835,296.35081017123304,ActiveLearning,Continuing
10,6,204.17680289774336,234.20048596573125,167.77879055399035,296.35081017123304,ActiveLearning,Continuing
11,36,120.1628705347832,205.3572464125435,234.6498804638874,296.35081017123304,ActiveLearning,Continuing
12,38,182.9546167355371,208.14959254122553,234.6498804638874,296.35081017123304,ActiveLearning,Continuing
13,44,159.30709474405634,244.8785213820069,94.43150409816704,296.35081017123304,ActiveLearning,Continuing
14,56,175.8319549576918,241.95779726442598,94.43150409816704,296.35081017123304,ActiveLearning,Continuing
15,70,172.0732296612731,229.5576297582655,118.07902608964778,296.35081017123304,ActiveLearning,Continuing
16,7,117.40631603510326,190.9159987966012,167.77879055399035,296.35081017123304,ActiveLearning,Continuing
17,40,162.77817832797786,230.75062191450488,94.43150409816704,296.35081017123304,ActiveLearning,Continuing
18,8,242.7128680778461,177.20412422879664,159.97980479860087,296.35081017123304,ActiveLearning,Continuing
19,9,233.7243724057668,219.54668427021375,159.97980479860087,296.35081017123304,ActiveLearning,Continuing
20,47,188.5569729101656,227.26355663622314,118.07902608964778,296.35081017123304,ActiveLearning,Continuing
21,52,231.07458974395303,213.65364215281778,81.27100561167083,296.35081017123304,ActiveLearning,Continuing
22,46,242.41091008794928,220.75001011643337,71.76749499989668,296.35081017123304,ActiveLearning,Continuing
23,53,228.310761552046,216.54032900948576,66.8809131201543,296.35081017123304,ActiveLearning,Continuing
24,71,270.69323356331364,209.75886871437964,70.639638416573,296.35081017123304,ActiveLearning,Continuing
25,42,179.2410423946837,204.1773841271811,111.3861388192573,296.35081017123304,ActiveLearning,Continuing
26,50,174.66437205644556,203.13905417359535,83.40577333378977,296.35081017123304,ActiveLearning,Continuing
27,49,242.91509227554656,223.3191197262313,67.74653803150372,296.35081017123304,ActiveLearning,Continuing
28,37,152.72295816440803,184.65642229737352,154.0724892957076,296.35081017123304,ActiveLearning,Continuing
29,72,189.441220061326,178.3141375096128,111.3861388192573,296.35081017123304,ActiveLearning,Continuing
30,48,171.00469374345903,198.14081279034468,68.04849602140055,296.35081017123304,ActiveLearning,Continuing
31,35,207.09310351510177,141.51728752966613,177.77416131589987,296.35081017123304,ActiveLearning,Continuing
32,43,178.97379271834268,176.62824159185638,108.3043198560903,296.35081017123304,ActiveLearning,Continuing
33,39,140.76871335709305,173.69284130942012,111.06087435577024,296.35081017123304,ActiveLearning,Continuing
34,68,65.48719407925006,156.3181032539007,227.9569931934969,296.35081017123304,ActiveLearning,Continuing
35,51,181.925661105008,180.00599969344495,83.12902445327276,296.35081017123304,ActiveLearning,Continuing
36,34,88.47667256854467,134.111417580868,164.35686314528505,296.35081017123304,ActiveLearning,Continuing
37,69,110.69482106635698,152.43332653755863,86.93023298031858,296.35081017123304,ActiveLearning,Continuing
38,60,272.2240045816517,173.49549508891997,42.4969081604043,296.35081017123304,ActiveLearning,Continuing
39,58,211.5086541241532,230.54369843188348,97.55963252520613,296.35081017123304,ActiveLearning,Continuing
40,59,219.61643412334288,218.5826064230055,95.13920284235198,296.35081017123304,ActiveLearning,Continuing
41,54,197.8404462303588,199.89324250491646,97.55963252520613,296.35081017123304,ActiveLearning,Continuing
42,57,296.35081017123304,206.80896747392867,54.35139692239494,296.35081017123304,ActiveLearning,Max Elastic Modulus_mean in Dataset reached
