Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Elastic Modulus_mean in Dataset,Phase,Stopping Reason
0,40,162.77817832797786,,,296.35081017123304,WarmStart,WarmStart
1,47,188.5569729101656,,,296.35081017123304,WarmStart,WarmStart
2,54,197.8404462303588,,,296.35081017123304,WarmStart,WarmStart
3,55,168.33383829683325,,,296.35081017123304,WarmStart,WarmStart
4,61,201.80400290446065,,,296.35081017123304,WarmStart,WarmStart
5,68,65.48719407925006,,,296.35081017123304,WarmStart,WarmStart
6,8,242.7128680778461,175.71041894040138,132.55142998481364,296.35081017123304,ActiveLearning,Continuing
7,0,81.74085575257114,187.1155537895415,177.22567399859605,296.35081017123304,ActiveLearning,Continuing
8,9,233.7243724057668,210.64670475681802,160.972012325275,296.35081017123304,ActiveLearning,Continuing
9,53,228.310761552046,198.98524213469113,177.22567399859605,296.35081017123304,ActiveLearning,Continuing
10,71,270.69323356331364,192.25139748653336,177.22567399859605,296.35081017123304,ActiveLearning,Continuing
11,69,110.69482106635698,168.13666250084896,163.09424801548172,296.35081017123304,ActiveLearning,Continuing
12,70,172.0732296612731,183.9703218993662,159.99841249695666,296.35081017123304,ActiveLearning,Continuing
13,48,171.00469374345903,201.3211423432316,54.15589516768051,296.35081017123304,ActiveLearning,Continuing
14,41,220.5104016857166,149.51967529984677,132.35325215110873,296.35081017123304,ActiveLearning,Continuing
15,72,189.441220061326,173.29227117093643,109.81558061935962,296.35081017123304,ActiveLearning,Continuing
16,49,242.91509227554656,199.80862101486412,49.50570794225757,296.35081017123304,ActiveLearning,Continuing
17,45,224.5706110108938,228.2782784064165,71.91039853208753,296.35081017123304,ActiveLearning,Continuing
18,46,242.41091008794928,225.90033485873988,54.35811936538096,296.35081017123304,ActiveLearning,Continuing
19,52,231.07458974395303,233.71552125332005,18.344481264652757,296.35081017123304,ActiveLearning,Continuing
20,50,174.66437205644556,188.22650457968498,74.5812539787133,296.35081017123304,ActiveLearning,Continuing
21,6,204.17680289774336,131.1818698546116,168.23717832651673,296.35081017123304,ActiveLearning,Continuing
22,7,117.40631603510326,169.22761933933202,122.43594714517225,296.35081017123304,ActiveLearning,Continuing
23,37,152.72295816440803,168.43765591519863,122.43594714517222,296.35081017123304,ActiveLearning,Continuing
24,42,179.2410423946837,182.4876317515262,68.29641141597514,296.35081017123304,ActiveLearning,Continuing
25,35,207.09310351510177,148.45028252104072,149.3337339913819,296.35081017123304,ActiveLearning,Continuing
26,62,277.3861208337041,174.54496869618694,84.39768686935739,296.35081017123304,ActiveLearning,Continuing
27,56,175.8319549576918,234.6777940108485,114.60794250572627,296.35081017123304,ActiveLearning,Continuing
28,63,228.4671903908735,224.08256551165084,114.60794250572627,296.35081017123304,ActiveLearning,Continuing
29,44,159.30709474405634,190.92752289167288,105.31289117243102,296.35081017123304,ActiveLearning,Continuing
30,38,182.9546167355371,156.45933682041698,166.69129976734715,296.35081017123304,ActiveLearning,Continuing
31,39,140.76871335709305,164.99633904862668,117.77236932451652,296.35081017123304,ActiveLearning,Continuing
32,51,181.925661105008,179.82498357355962,83.10381534389293,296.35081017123304,ActiveLearning,Continuing
33,34,88.47667256854467,149.85515037203945,141.60590943585171,296.35081017123304,ActiveLearning,Continuing
34,18,74.82276309333224,141.5014429277008,141.60590943585171,296.35081017123304,ActiveLearning,Continuing
35,43,178.97379271834268,176.59826176305302,61.40631740791895,296.35081017123304,ActiveLearning,Continuing
36,60,272.2240045816517,174.17746625905372,42.4969081604043,296.35081017123304,ActiveLearning,Continuing
37,58,211.5086541241532,229.43950397555847,103.89016628481843,296.35081017123304,ActiveLearning,Continuing
38,59,219.61643412334288,218.4810355475186,103.89016628481843,296.35081017123304,ActiveLearning,Continuing
39,57,296.35081017123304,213.61195099344786,97.55963252520613,296.35081017123304,ActiveLearning,Max Elastic Modulus_mean in Dataset reached
