Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Elastic Modulus_mean in Dataset,Phase,Stopping Reason
0,0,81.74085575257114,,,296.35081017123304,WarmStart,WarmStart
1,4,109.60733027971378,,,296.35081017123304,WarmStart,WarmStart
2,10,95.58773206251,,,296.35081017123304,WarmStart,WarmStart
3,12,51.16844398555743,,,296.35081017123304,WarmStart,WarmStart
4,18,74.82276309333224,,,296.35081017123304,WarmStart,WarmStart
5,28,147.00005295683096,,,296.35081017123304,WarmStart,WarmStart
6,34,88.47667256854467,,,296.35081017123304,WarmStart,WarmStart
7,55,168.33383829683325,,,296.35081017123304,WarmStart,WarmStart
8,63,228.4671903908735,,,296.35081017123304,WarmStart,WarmStart
9,72,189.441220061326,,,296.35081017123304,WarmStart,WarmStart
10,62,277.3861208337041,195.5618699702259,139.99051782232883,296.35081017123304,ActiveLearning,Continuing
11,40,162.77817832797786,222.24272453929677,188.90944826515945,296.35081017123304,ActiveLearning,Continuing
12,56,175.8319549576918,245.11771849580148,114.60794250572627,296.35081017123304,ActiveLearning,Continuing
13,38,182.9546167355371,190.37955976207053,226.21767684814668,296.35081017123304,ActiveLearning,Continuing
14,44,159.30709474405634,227.0407187856506,109.05228253687088,296.35081017123304,ActiveLearning,Continuing
15,70,172.0732296612731,223.57524235125618,114.60794250572627,296.35081017123304,ActiveLearning,Continuing
16,7,117.40631603510326,166.73876107927902,195.645265081133,296.35081017123304,ActiveLearning,Continuing
17,61,201.80400290446065,197.4779326330545,114.60794250572627,296.35081017123304,ActiveLearning,Continuing
18,8,242.7128680778461,166.7268651986893,159.97980479860087,296.35081017123304,ActiveLearning,Continuing
19,9,233.7243724057668,216.2557398503193,125.30655204274285,296.35081017123304,ActiveLearning,Continuing
20,47,188.5569729101656,209.59138486364546,118.07902608964778,296.35081017123304,ActiveLearning,Continuing
21,71,270.69323356331364,206.65600133235628,74.37902978101286,296.35081017123304,ActiveLearning,Continuing
22,53,228.310761552046,227.76008448775667,102.35939526648039,296.35081017123304,ActiveLearning,Continuing
23,48,171.00469374345903,203.96910970198525,74.37902978101286,296.35081017123304,ActiveLearning,Continuing
24,52,231.07458974395303,176.55053514932325,118.07902608964778,296.35081017123304,ActiveLearning,Continuing
25,49,242.91509227554656,209.99910843486293,71.76749499989668,296.35081017123304,ActiveLearning,Continuing
26,45,224.5706110108938,227.95301388942812,75.03259115635211,296.35081017123304,ActiveLearning,Continuing
27,46,242.41091008794928,225.60061213918615,18.344481264652757,296.35081017123304,ActiveLearning,Continuing
28,41,220.5104016857166,188.2200780153818,125.00459405284602,296.35081017123304,ActiveLearning,Continuing
29,50,174.66437205644556,186.15499141752375,83.60799753149021,296.35081017123304,ActiveLearning,Continuing
30,39,140.76871335709305,155.4356326306087,139.99051782232883,296.35081017123304,ActiveLearning,Continuing
31,51,181.925661105008,178.98670501599278,83.60799753149021,296.35081017123304,ActiveLearning,Continuing
32,43,178.97379271834268,182.86710730842128,69.16009564681715,296.35081017123304,ActiveLearning,Continuing
33,37,152.72295816440803,154.4880682099496,113.32733033591597,296.35081017123304,ActiveLearning,Continuing
34,69,110.69482106635698,142.93845377649046,138.27277607576855,296.35081017123304,ActiveLearning,Continuing
35,60,272.2240045816517,172.40112440402692,42.4969081604043,296.35081017123304,ActiveLearning,Continuing
36,58,211.5086541241532,227.5540481366307,103.89016628481843,296.35081017123304,ActiveLearning,Continuing
37,59,219.61643412334288,218.3507010630465,103.89016628481843,296.35081017123304,ActiveLearning,Continuing
38,57,296.35081017123304,211.05756534406643,97.55963252520613,296.35081017123304,ActiveLearning,Max Elastic Modulus_mean in Dataset reached
