Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Elastic Modulus_mean in Dataset,Phase,Stopping Reason
0,0,81.74085575257114,,,296.35081017123304,WarmStart,WarmStart
1,4,109.60733027971378,,,296.35081017123304,WarmStart,WarmStart
2,10,95.58773206251,,,296.35081017123304,WarmStart,WarmStart
3,12,51.16844398555743,,,296.35081017123304,WarmStart,WarmStart
4,18,74.82276309333224,,,296.35081017123304,WarmStart,WarmStart
5,28,147.00005295683096,,,296.35081017123304,WarmStart,WarmStart
6,34,88.47667256854467,,,296.35081017123304,WarmStart,WarmStart
7,55,168.33383829683325,,,296.35081017123304,WarmStart,WarmStart
8,63,228.4671903908735,,,296.35081017123304,WarmStart,WarmStart
9,65,90.99870959544364,,,296.35081017123304,WarmStart,WarmStart
10,72,189.441220061326,,,296.35081017123304,WarmStart,WarmStart
11,70,172.0732296612731,198.68094448219173,139.99051782232883,296.35081017123304,ActiveLearning,Continuing
12,62,277.3861208337041,199.44641986555797,139.99051782232883,296.35081017123304,ActiveLearning,Continuing
13,40,162.77817832797786,220.8817604242432,188.90944826515945,296.35081017123304,ActiveLearning,Continuing
14,56,175.8319549576918,247.09529474412776,109.05228253687088,296.35081017123304,ActiveLearning,Continuing
15,44,159.30709474405634,213.78093205661858,109.05228253687088,296.35081017123304,ActiveLearning,Continuing
16,61,201.80400290446065,199.21636788687397,114.60794250572627,296.35081017123304,ActiveLearning,Continuing
17,37,152.72295816440803,139.7219074430473,226.21767684814668,296.35081017123304,ActiveLearning,Continuing
18,7,117.40631603510326,156.78528345711922,195.645265081133,296.35081017123304,ActiveLearning,Continuing
19,45,224.5706110108938,180.21025215784033,118.07902608964778,296.35081017123304,ActiveLearning,Continuing
20,50,174.66437205644556,190.63089490355244,118.07902608964778,296.35081017123304,ActiveLearning,Continuing
21,46,242.41091008794928,207.4332706360566,65.26351626683746,296.35081017123304,ActiveLearning,Continuing
22,52,231.07458974395303,224.99084780961294,67.74653803150372,296.35081017123304,ActiveLearning,Continuing
23,49,242.91509227554656,222.3779377113087,67.74653803150372,296.35081017123304,ActiveLearning,Continuing
24,53,228.310761552046,223.30321223489122,74.5812539787133,296.35081017123304,ActiveLearning,Continuing
25,41,220.5104016857166,187.88006696725392,125.00459405284602,296.35081017123304,ActiveLearning,Continuing
26,51,181.925661105008,181.28548743754095,83.60799753149021,296.35081017123304,ActiveLearning,Continuing
27,43,178.97379271834268,182.5663331471667,69.16009564681715,296.35081017123304,ActiveLearning,Continuing
28,69,110.69482106635698,127.86998516576683,138.27277607576855,296.35081017123304,ActiveLearning,Continuing
29,60,272.2240045816517,172.00221485404458,42.4969081604043,296.35081017123304,ActiveLearning,Continuing
30,58,211.5086541241532,224.42452569200955,103.89016628481843,296.35081017123304,ActiveLearning,Continuing
31,59,219.61643412334288,216.88837050600435,103.89016628481843,296.35081017123304,ActiveLearning,Continuing
32,57,296.35081017123304,209.91300522610655,53.64638949560043,296.35081017123304,ActiveLearning,Max Elastic Modulus_mean in Dataset reached
