Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Elastic Modulus_mean in Dataset,Phase,Stopping Reason
0,0,81.74085575257114,,,296.35081017123304,WarmStart,WarmStart
1,4,109.60733027971378,,,296.35081017123304,WarmStart,WarmStart
2,5,95.3466236160471,,,296.35081017123304,WarmStart,WarmStart
3,9,233.7243724057668,,,296.35081017123304,WarmStart,WarmStart
4,10,95.58773206251,,,296.35081017123304,WarmStart,WarmStart
5,12,51.16844398555743,,,296.35081017123304,WarmStart,WarmStart
6,18,74.82276309333224,,,296.35081017123304,WarmStart,WarmStart
7,22,73.67122147772203,,,296.35081017123304,WarmStart,WarmStart
8,28,147.00005295683096,,,296.35081017123304,WarmStart,WarmStart
9,31,119.79704241922371,,,296.35081017123304,WarmStart,WarmStart
10,34,88.47667256854467,,,296.35081017123304,WarmStart,WarmStart
11,45,224.5706110108938,,,296.35081017123304,WarmStart,WarmStart
12,55,168.33383829683325,,,296.35081017123304,WarmStart,WarmStart
13,57,296.35081017123304,,,296.35081017123304,WarmStart,WarmStart
14,63,228.4671903908735,,,296.35081017123304,WarmStart,WarmStart
15,65,90.99870959544364,,,296.35081017123304,WarmStart,WarmStart
16,72,189.441220061326,,,296.35081017123304,WarmStart,WarmStart
17,53,228.310761552046,261.76174105894256,128.0169718743998,296.35081017123304,ActiveLearning,Continuing
18,58,211.5086541241532,244.29671709549694,128.0169718743998,296.35081017123304,ActiveLearning,Continuing
19,50,174.66437205644556,228.60255977569577,128.0169718743998,296.35081017123304,ActiveLearning,Continuing
20,60,272.2240045816517,224.210799350296,128.0169718743998,296.35081017123304,ActiveLearning,Continuing
21,59,219.61643412334288,229.04930586915418,121.68643811478748,296.35081017123304,ActiveLearning,Continuing
22,62,277.3861208337041,217.46729610376184,97.55963252520613,296.35081017123304,ActiveLearning,Continuing
23,56,175.8319549576918,256.0778650598069,102.72174877725857,296.35081017123304,ActiveLearning,Continuing
24,40,162.77817832797786,233.91125227944406,101.55416587601232,296.35081017123304,ActiveLearning,Continuing
25,70,172.0732296612731,222.8808167080782,114.60794250572627,296.35081017123304,ActiveLearning,Continuing
26,46,242.41091008794928,214.9314056826522,102.72174877725857,296.35081017123304,ActiveLearning,Continuing
27,7,117.40631603510326,190.6949762634107,188.90944826515945,296.35081017123304,ActiveLearning,Continuing
28,44,159.30709474405634,221.94978704988836,102.72174877725857,296.35081017123304,ActiveLearning,Continuing
29,52,231.07458974395303,228.0867563567858,67.74653803150372,296.35081017123304,ActiveLearning,Continuing
30,51,181.925661105008,192.3333465550797,137.0437154271767,296.35081017123304,ActiveLearning,Continuing
31,61,201.80400290446065,198.56403065909552,114.60794250572627,296.35081017123304,ActiveLearning,Continuing
32,49,242.91509227554656,219.8709343475437,67.74653803150372,296.35081017123304,ActiveLearning,Continuing
33,41,220.5104016857166,205.64205068197253,95.41085713111832,296.35081017123304,ActiveLearning,Continuing
34,8,242.7128680778461,210.67412679199543,65.39053410893354,296.35081017123304,ActiveLearning,Continuing
35,47,188.5569729101656,208.76706211357586,74.37902978101286,296.35081017123304,ActiveLearning,Continuing
36,71,270.69323356331364,203.20438400167794,70.639638416573,296.35081017123304,ActiveLearning,Continuing
37,38,182.9546167355371,152.15482034806567,182.03949721765701,296.35081017123304,ActiveLearning,Continuing
38,48,171.00469374345903,201.02239170385891,64.41785149711933,296.35081017123304,ActiveLearning,Continuing
39,39,140.76871335709305,155.10945769475728,139.99051782232883,296.35081017123304,ActiveLearning,Continuing
40,43,178.97379271834268,185.70774668393707,71.76749499989668,296.35081017123304,ActiveLearning,Continuing
41,42,179.2410423946837,179.2825592503411,71.76749499989668,296.35081017123304,ActiveLearning,Continuing
42,37,152.72295816440803,156.41914987359283,113.32733033591597,296.35081017123304,ActiveLearning,Continuing
43,35,207.09310351510177,136.502293963516,132.03372911717196,296.35081017123304,ActiveLearning,Continuing
44,69,110.69482106635698,159.79295107733836,118.6164309465571,296.35081017123304,ActiveLearning,Continuing
45,54,197.8404462303588,177.43647057145884,45.877409160383195,296.35081017123304,ActiveLearning,Continuing
46,27,141.45379911190125,135.9455740664064,118.6164309465571,296.35081017123304,ActiveLearning,Continuing
47,68,65.48719407925006,129.83613528369753,152.7888568207483,296.35081017123304,ActiveLearning,Continuing
48,36,120.1628705347832,122.40136530781547,118.61643094655712,296.35081017123304,ActiveLearning,Continuing
49,6,204.17680289774336,131.27154941050168,73.34728645582331,296.35081017123304,ActiveLearning,Continuing
50,29,51.50598562924656,101.81154577498722,90.28535512634382,296.35081017123304,ActiveLearning,Continuing
51,26,42.736240369816734,98.55370309242744,95.49406732758439,296.35081017123304,ActiveLearning,Continuing
52,17,106.8193434000782,100.01743945983546,95.83160897127352,296.35081017123304,ActiveLearning,Continuing
53,2,66.30151481091211,95.80001059434964,77.06080204940699,296.35081017123304,ActiveLearning,Continuing
54,32,106.70108583654164,86.88990223304968,77.06080204940699,296.35081017123304,ActiveLearning,Continuing
55,24,98.05789122606568,84.5839003866071,77.42663016496647,296.35081017123304,ActiveLearning,Continuing
56,21,50.104313602035774,86.1752411696216,53.495527608311605,296.35081017123304,ActiveLearning,Continuing
57,33,72.06868568538891,71.4104008748484,77.06080204940699,296.35081017123304,ActiveLearning,Continuing
58,64,95.81586876001889,81.97237396162159,46.55190559681912,296.35081017123304,ActiveLearning,Continuing
59,66,64.29918271351211,79.31881845043269,55.321650856248944,296.35081017123304,ActiveLearning,Continuing
60,19,56.88500845389184,76.5341811885026,56.71502979804242,296.35081017123304,ActiveLearning,Continuing
61,1,71.68894182884907,78.6831503523142,49.934334946186354,296.35081017123304,ActiveLearning,Continuing
62,15,48.22854697312115,78.34157281264787,46.88944724050825,296.35081017123304,ActiveLearning,Continuing
63,25,39.13465426900338,73.34676194562458,55.321650856248944,296.35081017123304,ActiveLearning,Continuing
64,67,55.10215022969636,73.99040296529166,55.19510020729508,296.35081017123304,ActiveLearning,Continuing
65,13,35.102261317001975,62.091585634700735,67.68468913107482,296.35081017123304,ActiveLearning,Continuing
66,3,79.49162278991126,71.46753420359651,45.24231001401132,296.35081017123304,ActiveLearning,Continuing
67,30,42.124759091300646,58.90980548848074,55.211977289479535,296.35081017123304,ActiveLearning,Continuing
68,23,53.46447392343188,61.85618408762015,35.889728471928926,296.35081017123304,ActiveLearning,Continuing
69,20,45.87195384392433,59.36731045194487,40.02108443578538,296.35081017123304,ActiveLearning,Continuing
70,11,24.71538796928362,49.18635150568669,40.5292991014351,296.35081017123304,ActiveLearning,Continuing
71,14,39.58562154046682,43.62471601682997,39.58379474422849,296.35081017123304,ActiveLearning,Continuing
72,16,28.08588319590436,35.796014283182984,28.749085954148267,296.35081017123304,ActiveLearning,Continuing
