Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Elastic Modulus_mean in Dataset,Phase,Stopping Reason
0,0,81.74085575257114,,,296.35081017123304,WarmStart,WarmStart
1,4,109.60733027971378,,,296.35081017123304,WarmStart,WarmStart
2,5,95.3466236160471,,,296.35081017123304,WarmStart,WarmStart
3,9,233.7243724057668,,,296.35081017123304,WarmStart,WarmStart
4,10,95.58773206251,,,296.35081017123304,WarmStart,WarmStart
5,12,51.16844398555743,,,296.35081017123304,WarmStart,WarmStart
6,18,74.82276309333224,,,296.35081017123304,WarmStart,WarmStart
7,28,147.00005295683096,,,296.35081017123304,WarmStart,WarmStart
8,31,119.79704241922371,,,296.35081017123304,WarmStart,WarmStart
9,34,88.47667256854467,,,296.35081017123304,WarmStart,WarmStart
10,45,224.5706110108938,,,296.35081017123304,WarmStart,WarmStart
11,55,168.33383829683325,,,296.35081017123304,WarmStart,WarmStart
12,63,228.4671903908735,,,296.35081017123304,WarmStart,WarmStart
13,65,90.99870959544364,,,296.35081017123304,WarmStart,WarmStart
14,72,189.441220061326,,,296.35081017123304,WarmStart,WarmStart
15,8,242.7128680778461,226.84414672851562,16.575481414794922,296.35081017123304,ActiveLearning,Continuing
16,71,270.69323356331364,222.0491180419922,19.639631271362305,296.35081017123304,ActiveLearning,Continuing
17,42,179.2410423946837,221.45501708984375,17.104825973510742,296.35081017123304,ActiveLearning,Continuing
18,46,242.41091008794928,215.1699676513672,18.377521514892578,296.35081017123304,ActiveLearning,Continuing
19,49,242.91509227554656,225.99131774902344,17.973838806152344,296.35081017123304,ActiveLearning,Continuing
20,50,174.66437205644556,232.6752471923828,13.469498634338379,296.35081017123304,ActiveLearning,Continuing
21,52,231.07458974395303,223.06895446777344,16.09200096130371,296.35081017123304,ActiveLearning,Continuing
22,47,188.5569729101656,213.8292999267578,24.77513885498047,296.35081017123304,ActiveLearning,Continuing
23,53,228.310761552046,218.48162841796875,24.98529624938965,296.35081017123304,ActiveLearning,Continuing
24,70,172.0732296612731,202.3968048095703,29.412275314331055,296.35081017123304,ActiveLearning,Continuing
25,51,181.925661105008,197.42762756347656,25.94628143310547,296.35081017123304,ActiveLearning,Continuing
26,62,277.3861208337041,193.5940399169922,29.103229522705078,296.35081017123304,ActiveLearning,Continuing
27,56,175.8319549576918,230.75244140625,51.49092102050781,296.35081017123304,ActiveLearning,Continuing
28,44,159.30709474405634,195.1548309326172,19.541288375854492,296.35081017123304,ActiveLearning,Continuing
29,48,171.00469374345903,191.0276336669922,8.057405471801758,296.35081017123304,ActiveLearning,Continuing
30,61,201.80400290446065,182.85020446777344,32.62638854980469,296.35081017123304,ActiveLearning,Continuing
31,43,178.97379271834268,182.5370635986328,21.261751174926758,296.35081017123304,ActiveLearning,Continuing
32,57,296.35081017123304,181.21063232421875,11.963406562805176,296.35081017123304,ActiveLearning,Max Elastic Modulus_mean in Dataset reached
