Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Elastic Modulus_mean in Dataset,Phase,Stopping Reason
0,0,81.74085575257114,,,296.35081017123304,WarmStart,WarmStart
1,4,109.60733027971378,,,296.35081017123304,WarmStart,WarmStart
2,5,95.3466236160471,,,296.35081017123304,WarmStart,WarmStart
3,9,233.7243724057668,,,296.35081017123304,WarmStart,WarmStart
4,10,95.58773206251,,,296.35081017123304,WarmStart,WarmStart
5,12,51.16844398555743,,,296.35081017123304,WarmStart,WarmStart
6,18,74.82276309333224,,,296.35081017123304,WarmStart,WarmStart
7,22,73.67122147772203,,,296.35081017123304,WarmStart,WarmStart
8,28,147.00005295683096,,,296.35081017123304,WarmStart,WarmStart
9,31,119.79704241922371,,,296.35081017123304,WarmStart,WarmStart
10,34,88.47667256854467,,,296.35081017123304,WarmStart,WarmStart
11,45,224.5706110108938,,,296.35081017123304,WarmStart,WarmStart
12,55,168.33383829683325,,,296.35081017123304,WarmStart,WarmStart
13,63,228.4671903908735,,,296.35081017123304,WarmStart,WarmStart
14,65,90.99870959544364,,,296.35081017123304,WarmStart,WarmStart
15,72,189.441220061326,,,296.35081017123304,WarmStart,WarmStart
16,8,242.7128680778461,226.21826171875,17.095365524291992,296.35081017123304,ActiveLearning,Continuing
17,42,179.2410423946837,224.91673278808594,12.492904663085938,296.35081017123304,ActiveLearning,Continuing
18,71,270.69323356331364,225.56256103515625,18.47097396850586,296.35081017123304,ActiveLearning,Continuing
19,46,242.41091008794928,221.60433959960938,11.02757453918457,296.35081017123304,ActiveLearning,Continuing
20,49,242.91509227554656,230.4363250732422,12.486994743347168,296.35081017123304,ActiveLearning,Continuing
21,50,174.66437205644556,231.36366271972656,15.234772682189941,296.35081017123304,ActiveLearning,Continuing
22,52,231.07458974395303,223.36654663085938,19.307205200195312,296.35081017123304,ActiveLearning,Continuing
23,53,228.310761552046,217.4743194580078,32.664024353027344,296.35081017123304,ActiveLearning,Continuing
24,70,172.0732296612731,213.41650390625,24.585235595703125,296.35081017123304,ActiveLearning,Continuing
25,47,188.5569729101656,207.8600311279297,27.682024002075195,296.35081017123304,ActiveLearning,Continuing
26,62,277.3861208337041,208.1069793701172,21.08172607421875,296.35081017123304,ActiveLearning,Continuing
27,56,175.8319549576918,242.49169921875,41.91353988647461,296.35081017123304,ActiveLearning,Continuing
28,44,159.30709474405634,209.17872619628906,26.811803817749023,296.35081017123304,ActiveLearning,Continuing
29,51,181.925661105008,196.51742553710938,23.983755111694336,296.35081017123304,ActiveLearning,Continuing
30,61,201.80400290446065,191.46810913085938,35.49209976196289,296.35081017123304,ActiveLearning,Continuing
31,48,171.00469374345903,192.12850952148438,12.38043212890625,296.35081017123304,ActiveLearning,Continuing
32,43,178.97379271834268,186.7681121826172,12.928062438964844,296.35081017123304,ActiveLearning,Continuing
33,57,296.35081017123304,182.57887268066406,9.88369083404541,296.35081017123304,ActiveLearning,Max Elastic Modulus_mean in Dataset reached
