Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Elastic Modulus_mean in Dataset,Phase,Stopping Reason
0,0,81.74085575257114,,,296.35081017123304,WarmStart,WarmStart
1,4,109.60733027971378,,,296.35081017123304,WarmStart,WarmStart
2,5,95.3466236160471,,,296.35081017123304,WarmStart,WarmStart
3,9,233.7243724057668,,,296.35081017123304,WarmStart,WarmStart
4,10,95.58773206251,,,296.35081017123304,WarmStart,WarmStart
5,12,51.16844398555743,,,296.35081017123304,WarmStart,WarmStart
6,18,74.82276309333224,,,296.35081017123304,WarmStart,WarmStart
7,22,73.67122147772203,,,296.35081017123304,WarmStart,WarmStart
8,28,147.00005295683096,,,296.35081017123304,WarmStart,WarmStart
9,31,119.79704241922371,,,296.35081017123304,WarmStart,WarmStart
10,34,88.47667256854467,,,296.35081017123304,WarmStart,WarmStart
11,45,224.5706110108938,,,296.35081017123304,WarmStart,WarmStart
12,55,168.33383829683325,,,296.35081017123304,WarmStart,WarmStart
13,57,296.35081017123304,,,296.35081017123304,WarmStart,WarmStart
14,63,228.4671903908735,,,296.35081017123304,WarmStart,WarmStart
15,65,90.99870959544364,,,296.35081017123304,WarmStart,WarmStart
16,72,189.441220061326,,,296.35081017123304,WarmStart,WarmStart
17,53,228.310761552046,268.2665100097656,44.09604263305664,296.35081017123304,ActiveLearning,Continuing
18,58,211.5086541241532,257.98040771484375,41.624427795410156,296.35081017123304,ActiveLearning,Continuing
19,59,219.61643412334288,236.09719848632812,34.769500732421875,296.35081017123304,ActiveLearning,Continuing
20,49,242.91509227554656,226.9784393310547,18.260581970214844,296.35081017123304,ActiveLearning,Continuing
21,50,174.66437205644556,234.35423278808594,16.729183197021484,296.35081017123304,ActiveLearning,Continuing
22,46,242.41091008794928,220.6117401123047,18.585237503051758,296.35081017123304,ActiveLearning,Continuing
23,52,231.07458974395303,227.83876037597656,16.364107131958008,296.35081017123304,ActiveLearning,Continuing
24,60,272.2240045816517,221.6484832763672,21.601078033447266,296.35081017123304,ActiveLearning,Continuing
25,43,178.97379271834268,220.79722595214844,20.916152954101562,296.35081017123304,ActiveLearning,Continuing
26,8,242.7128680778461,217.45384216308594,27.61475944519043,296.35081017123304,ActiveLearning,Continuing
27,71,270.69323356331364,218.0790252685547,19.01107406616211,296.35081017123304,ActiveLearning,Continuing
28,70,172.0732296612731,217.31175231933594,23.589582443237305,296.35081017123304,ActiveLearning,Continuing
29,47,188.5569729101656,216.63453674316406,28.088577270507812,296.35081017123304,ActiveLearning,Continuing
30,44,159.30709474405634,206.94711303710938,21.655733108520508,296.35081017123304,ActiveLearning,Continuing
31,51,181.925661105008,199.39483642578125,29.416011810302734,296.35081017123304,ActiveLearning,Continuing
32,48,171.00469374345903,194.1640625,14.576869010925293,296.35081017123304,ActiveLearning,Continuing
33,62,277.3861208337041,199.6710662841797,21.928985595703125,296.35081017123304,ActiveLearning,Continuing
34,56,175.8319549576918,239.03514099121094,42.56265640258789,296.35081017123304,ActiveLearning,Continuing
35,61,201.80400290446065,197.5636749267578,39.7857780456543,296.35081017123304,ActiveLearning,Continuing
36,42,179.2410423946837,183.31234741210938,18.6066951751709,296.35081017123304,ActiveLearning,Continuing
37,54,197.8404462303588,177.46292114257812,11.836525917053223,296.35081017123304,ActiveLearning,Continuing
38,68,65.48719407925006,156.84701538085938,30.7940731048584,296.35081017123304,ActiveLearning,Continuing
39,27,141.45379911190125,118.67908477783203,22.33895492553711,296.35081017123304,ActiveLearning,Continuing
40,35,207.09310351510177,125.76764678955078,16.785478591918945,296.35081017123304,ActiveLearning,Continuing
41,41,220.5104016857166,176.8173065185547,40.58018112182617,296.35081017123304,ActiveLearning,Continuing
42,40,162.77817832797786,167.77587890625,53.06520462036133,296.35081017123304,ActiveLearning,Continuing
43,38,182.9546167355371,139.0175018310547,49.576385498046875,296.35081017123304,ActiveLearning,Continuing
44,7,117.40631603510326,171.25816345214844,33.25749206542969,296.35081017123304,ActiveLearning,Continuing
45,39,140.76871335709305,160.54615783691406,26.21817398071289,296.35081017123304,ActiveLearning,Continuing
46,37,152.72295816440803,161.4438018798828,21.274681091308594,296.35081017123304,ActiveLearning,Continuing
47,6,204.17680289774336,144.66879272460938,23.391510009765625,296.35081017123304,ActiveLearning,Continuing
48,69,110.69482106635698,137.0668487548828,28.588510513305664,296.35081017123304,ActiveLearning,Continuing
49,36,120.1628705347832,123.98265838623047,28.146595001220703,296.35081017123304,ActiveLearning,Continuing
50,32,106.70108583654164,111.3589859008789,15.999229431152344,296.35081017123304,ActiveLearning,Continuing
51,29,51.50598562924656,100.1529769897461,16.050193786621094,296.35081017123304,ActiveLearning,Continuing
52,17,106.8193434000782,97.5912857055664,26.62746238708496,296.35081017123304,ActiveLearning,Continuing
53,33,72.06868568538891,94.40558624267578,14.853731155395508,296.35081017123304,ActiveLearning,Continuing
54,2,66.30151481091211,87.65230560302734,11.505263328552246,296.35081017123304,ActiveLearning,Continuing
55,24,98.05789122606568,85.4188003540039,18.426197052001953,296.35081017123304,ActiveLearning,Continuing
56,21,50.104313602035774,80.33865356445312,14.684061050415039,296.35081017123304,ActiveLearning,Continuing
57,64,95.81586876001889,78.48583221435547,20.78873062133789,296.35081017123304,ActiveLearning,Continuing
58,66,64.29918271351211,81.62206268310547,13.302229881286621,296.35081017123304,ActiveLearning,Continuing
59,26,42.736240369816734,76.87854766845703,13.66877555847168,296.35081017123304,ActiveLearning,Continuing
60,25,39.13465426900338,73.71356964111328,14.263507843017578,296.35081017123304,ActiveLearning,Continuing
61,1,71.68894182884907,76.51020050048828,10.357748031616211,296.35081017123304,ActiveLearning,Continuing
62,13,35.102261317001975,75.25252532958984,13.968043327331543,296.35081017123304,ActiveLearning,Continuing
63,67,55.10215022969636,71.2421875,17.055479049682617,296.35081017123304,ActiveLearning,Continuing
64,3,79.49162278991126,68.25433349609375,7.2076544761657715,296.35081017123304,ActiveLearning,Continuing
65,14,39.58562154046682,67.0696029663086,15.073514938354492,296.35081017123304,ActiveLearning,Continuing
66,19,56.88500845389184,63.82658386230469,10.078347206115723,296.35081017123304,ActiveLearning,Continuing
67,30,42.124759091300646,60.4920654296875,15.146484375,296.35081017123304,ActiveLearning,Continuing
68,20,45.87195384392433,59.89680099487305,6.322317600250244,296.35081017123304,ActiveLearning,Continuing
69,23,53.46447392343188,54.97150802612305,8.46079158782959,296.35081017123304,ActiveLearning,Continuing
70,15,48.22854697312115,46.4168701171875,9.383252143859863,296.35081017123304,ActiveLearning,Continuing
71,16,28.08588319590436,43.570777893066406,9.709835052490234,296.35081017123304,ActiveLearning,Continuing
72,11,24.71538796928362,37.179386138916016,12.046814918518066,296.35081017123304,ActiveLearning,Continuing
