Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Elastic Modulus_mean in Dataset,Phase,Stopping Reason
0,0,81.74085575257114,,,296.35081017123304,WarmStart,WarmStart
1,4,109.60733027971378,,,296.35081017123304,WarmStart,WarmStart
2,10,95.58773206251,,,296.35081017123304,WarmStart,WarmStart
3,12,51.16844398555743,,,296.35081017123304,WarmStart,WarmStart
4,18,74.82276309333224,,,296.35081017123304,WarmStart,WarmStart
5,28,147.00005295683096,,,296.35081017123304,WarmStart,WarmStart
6,34,88.47667256854467,,,296.35081017123304,WarmStart,WarmStart
7,55,168.33383829683325,,,296.35081017123304,WarmStart,WarmStart
8,63,228.4671903908735,,,296.35081017123304,WarmStart,WarmStart
9,65,90.99870959544364,,,296.35081017123304,WarmStart,WarmStart
10,72,189.441220061326,,,296.35081017123304,WarmStart,WarmStart
11,70,172.0732296612731,189.57882690429688,38.15843963623047,296.35081017123304,ActiveLearning,Continuing
12,43,178.97379271834268,189.23480224609375,24.377174377441406,296.35081017123304,ActiveLearning,Continuing
13,62,277.3861208337041,181.07171630859375,37.37895965576172,296.35081017123304,ActiveLearning,Continuing
14,56,175.8319549576918,241.4342498779297,40.90372085571289,296.35081017123304,ActiveLearning,Continuing
15,47,188.5569729101656,195.83656311035156,39.09566116333008,296.35081017123304,ActiveLearning,Continuing
16,61,201.80400290446065,202.23194885253906,41.9901123046875,296.35081017123304,ActiveLearning,Continuing
17,48,171.00469374345903,182.52597045898438,9.890250205993652,296.35081017123304,ActiveLearning,Continuing
18,60,272.2240045816517,179.3850860595703,16.587871551513672,296.35081017123304,ActiveLearning,Continuing
19,57,296.35081017123304,197.70286560058594,37.269500732421875,296.35081017123304,ActiveLearning,Max Elastic Modulus_mean in Dataset reached
