Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Elastic Modulus_mean in Dataset,Phase,Stopping Reason
0,0,81.74085575257114,,,296.35081017123304,WarmStart,WarmStart
1,4,109.60733027971378,,,296.35081017123304,WarmStart,WarmStart
2,5,95.3466236160471,,,296.35081017123304,WarmStart,WarmStart
3,9,233.7243724057668,,,296.35081017123304,WarmStart,WarmStart
4,10,95.58773206251,,,296.35081017123304,WarmStart,WarmStart
5,12,51.16844398555743,,,296.35081017123304,WarmStart,WarmStart
6,18,74.82276309333224,,,296.35081017123304,WarmStart,WarmStart
7,22,73.67122147772203,,,296.35081017123304,WarmStart,WarmStart
8,28,147.00005295683096,,,296.35081017123304,WarmStart,WarmStart
9,31,119.79704241922371,,,296.35081017123304,WarmStart,WarmStart
10,34,88.47667256854467,,,296.35081017123304,WarmStart,WarmStart
11,45,224.5706110108938,,,296.35081017123304,WarmStart,WarmStart
12,55,168.33383829683325,,,296.35081017123304,WarmStart,WarmStart
13,57,296.35081017123304,,,296.35081017123304,WarmStart,WarmStart
14,63,228.4671903908735,,,296.35081017123304,WarmStart,WarmStart
15,65,90.99870959544364,,,296.35081017123304,WarmStart,WarmStart
16,72,189.441220061326,,,296.35081017123304,WarmStart,WarmStart
17,53,228.310761552046,268.2665100097656,44.09604263305664,296.35081017123304,ActiveLearning,Continuing
18,58,211.5086541241532,257.98040771484375,41.624427795410156,296.35081017123304,ActiveLearning,Continuing
19,59,219.61643412334288,236.09719848632812,34.769500732421875,296.35081017123304,ActiveLearning,Continuing
20,49,242.91509227554656,226.9784393310547,18.260581970214844,296.35081017123304,ActiveLearning,Continuing
21,50,174.66437205644556,234.35423278808594,16.729183197021484,296.35081017123304,ActiveLearning,Continuing
22,46,242.41091008794928,220.6117401123047,18.585237503051758,296.35081017123304,ActiveLearning,Continuing
23,52,231.07458974395303,227.83876037597656,16.364107131958008,296.35081017123304,ActiveLearning,Continuing
24,60,272.2240045816517,221.6484832763672,21.601078033447266,296.35081017123304,ActiveLearning,Continuing
25,8,242.7128680778461,217.86473083496094,27.57099151611328,296.35081017123304,ActiveLearning,Continuing
26,43,178.97379271834268,219.50439453125,21.134666442871094,296.35081017123304,ActiveLearning,Continuing
27,44,159.30709474405634,215.5368194580078,21.952186584472656,296.35081017123304,ActiveLearning,Continuing
28,71,270.69323356331364,212.98416137695312,24.826021194458008,296.35081017123304,ActiveLearning,Continuing
29,47,188.5569729101656,217.55166625976562,29.049243927001953,296.35081017123304,ActiveLearning,Continuing
30,70,172.0732296612731,213.24476623535156,24.07502555847168,296.35081017123304,ActiveLearning,Continuing
31,51,181.925661105008,204.12611389160156,32.051856994628906,296.35081017123304,ActiveLearning,Continuing
32,48,171.00469374345903,193.09654235839844,13.23328685760498,296.35081017123304,ActiveLearning,Continuing
33,62,277.3861208337041,198.85214233398438,25.216402053833008,296.35081017123304,ActiveLearning,Continuing
34,56,175.8319549576918,239.683349609375,43.82123565673828,296.35081017123304,ActiveLearning,Continuing
35,61,201.80400290446065,195.49403381347656,36.873565673828125,296.35081017123304,ActiveLearning,Continuing
36,42,179.2410423946837,182.9570770263672,19.173837661743164,296.35081017123304,ActiveLearning,Continuing
37,54,197.8404462303588,178.9668426513672,12.667107582092285,296.35081017123304,ActiveLearning,Continuing
38,68,65.48719407925006,150.55178833007812,31.9554386138916,296.35081017123304,ActiveLearning,Continuing
39,27,141.45379911190125,120.10862731933594,23.540523529052734,296.35081017123304,ActiveLearning,Continuing
40,35,207.09310351510177,127.18953704833984,13.43945026397705,296.35081017123304,ActiveLearning,Continuing
41,41,220.5104016857166,179.05140686035156,37.94185256958008,296.35081017123304,ActiveLearning,Continuing
42,40,162.77817832797786,168.75514221191406,51.9151725769043,296.35081017123304,ActiveLearning,Continuing
43,38,182.9546167355371,138.3986358642578,53.41472244262695,296.35081017123304,ActiveLearning,Continuing
44,7,117.40631603510326,169.6488494873047,30.184951782226562,296.35081017123304,ActiveLearning,Continuing
45,39,140.76871335709305,161.62252807617188,25.920738220214844,296.35081017123304,ActiveLearning,Continuing
46,37,152.72295816440803,161.3167266845703,22.721723556518555,296.35081017123304,ActiveLearning,Continuing
47,6,204.17680289774336,143.1139678955078,22.978713989257812,296.35081017123304,ActiveLearning,Continuing
48,69,110.69482106635698,136.52462768554688,26.738929748535156,296.35081017123304,ActiveLearning,Continuing
49,36,120.1628705347832,119.95275115966797,25.52619171142578,296.35081017123304,ActiveLearning,Continuing
50,32,106.70108583654164,108.08891296386719,14.270956993103027,296.35081017123304,ActiveLearning,Continuing
51,29,51.50598562924656,101.53884887695312,15.31189250946045,296.35081017123304,ActiveLearning,Continuing
52,17,106.8193434000782,97.0970458984375,27.43055534362793,296.35081017123304,ActiveLearning,Continuing
53,33,72.06868568538891,95.2086181640625,14.286855697631836,296.35081017123304,ActiveLearning,Continuing
54,2,66.30151481091211,89.93266296386719,10.617437362670898,296.35081017123304,ActiveLearning,Continuing
55,24,98.05789122606568,85.11204528808594,17.207490921020508,296.35081017123304,ActiveLearning,Continuing
56,64,95.81586876001889,77.78062438964844,19.337377548217773,296.35081017123304,ActiveLearning,Continuing
57,66,64.29918271351211,82.24951934814453,13.07315444946289,296.35081017123304,ActiveLearning,Continuing
58,26,42.736240369816734,78.45046997070312,13.401910781860352,296.35081017123304,ActiveLearning,Continuing
59,21,50.104313602035774,79.70370483398438,16.0380802154541,296.35081017123304,ActiveLearning,Continuing
60,14,39.58562154046682,74.09566497802734,12.718545913696289,296.35081017123304,ActiveLearning,Continuing
61,25,39.13465426900338,72.55533599853516,14.54832935333252,296.35081017123304,ActiveLearning,Continuing
62,67,55.10215022969636,74.01570129394531,20.797279357910156,296.35081017123304,ActiveLearning,Continuing
63,1,71.68894182884907,75.61014556884766,10.668213844299316,296.35081017123304,ActiveLearning,Continuing
64,19,56.88500845389184,74.08002471923828,8.026372909545898,296.35081017123304,ActiveLearning,Continuing
65,30,42.124759091300646,62.67681121826172,17.6281681060791,296.35081017123304,ActiveLearning,Continuing
66,3,79.49162278991126,67.65049743652344,8.629461288452148,296.35081017123304,ActiveLearning,Continuing
67,20,45.87195384392433,60.661598205566406,7.204624176025391,296.35081017123304,ActiveLearning,Continuing
68,23,53.46447392343188,58.88825988769531,7.681273937225342,296.35081017123304,ActiveLearning,Continuing
69,13,35.102261317001975,52.00922775268555,10.755607604980469,296.35081017123304,ActiveLearning,Continuing
70,15,48.22854697312115,50.62181091308594,11.955791473388672,296.35081017123304,ActiveLearning,Continuing
71,16,28.08588319590436,45.302547454833984,7.0804009437561035,296.35081017123304,ActiveLearning,Continuing
72,11,24.71538796928362,36.443016052246094,9.7138032913208,296.35081017123304,ActiveLearning,Continuing
