Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Elastic Modulus_mean in Dataset,Phase,Stopping Reason
0,8,242.7128680778461,,,296.35081017123304,WarmStart,WarmStart
1,26,42.736240369816734,,,296.35081017123304,WarmStart,WarmStart
2,38,182.9546167355371,,,296.35081017123304,WarmStart,WarmStart
3,39,140.76871335709305,,,296.35081017123304,WarmStart,WarmStart
4,68,65.48719407925006,,,296.35081017123304,WarmStart,WarmStart
5,9,233.7243724057668,228.76841735839844,25.27495765686035,296.35081017123304,ActiveLearning,Continuing
6,6,204.17680289774336,235.63766479492188,10.131710052490234,296.35081017123304,ActiveLearning,Continuing
7,7,117.40631603510326,217.74612426757812,16.348995208740234,296.35081017123304,ActiveLearning,Continuing
8,61,201.80400290446065,214.35289001464844,29.810392379760742,296.35081017123304,ActiveLearning,Continuing
9,53,228.310761552046,212.92044067382812,29.649795532226562,296.35081017123304,ActiveLearning,Continuing
10,71,270.69323356331364,198.99620056152344,40.40604782104492,296.35081017123304,ActiveLearning,Continuing
11,70,172.0732296612731,231.7010040283203,39.2572021484375,296.35081017123304,ActiveLearning,Continuing
12,72,189.441220061326,198.17237854003906,36.56728744506836,296.35081017123304,ActiveLearning,Continuing
13,44,159.30709474405634,205.9773406982422,15.593880653381348,296.35081017123304,ActiveLearning,Continuing
14,60,272.2240045816517,188.65261840820312,19.16968536376953,296.35081017123304,ActiveLearning,Continuing
15,58,211.5086541241532,229.8246612548828,42.296783447265625,296.35081017123304,ActiveLearning,Continuing
16,59,219.61643412334288,218.38198852539062,25.567060470581055,296.35081017123304,ActiveLearning,Continuing
17,43,178.97379271834268,206.54881286621094,34.86170196533203,296.35081017123304,ActiveLearning,Continuing
18,47,188.5569729101656,207.79811096191406,16.326702117919922,296.35081017123304,ActiveLearning,Continuing
19,57,296.35081017123304,213.42596435546875,6.539571762084961,296.35081017123304,ActiveLearning,Max Elastic Modulus_mean in Dataset reached
