Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Elastic Modulus_mean in Dataset,Phase,Stopping Reason
0,0,81.74085575257114,,,296.35081017123304,WarmStart,WarmStart
1,4,109.60733027971378,,,296.35081017123304,WarmStart,WarmStart
2,5,95.3466236160471,,,296.35081017123304,WarmStart,WarmStart
3,9,233.7243724057668,,,296.35081017123304,WarmStart,WarmStart
4,10,95.58773206251,,,296.35081017123304,WarmStart,WarmStart
5,12,51.16844398555743,,,296.35081017123304,WarmStart,WarmStart
6,18,74.82276309333224,,,296.35081017123304,WarmStart,WarmStart
7,22,73.67122147772203,,,296.35081017123304,WarmStart,WarmStart
8,28,147.00005295683096,,,296.35081017123304,WarmStart,WarmStart
9,31,119.79704241922371,,,296.35081017123304,WarmStart,WarmStart
10,34,88.47667256854467,,,296.35081017123304,WarmStart,WarmStart
11,45,224.5706110108938,,,296.35081017123304,WarmStart,WarmStart
12,55,168.33383829683325,,,296.35081017123304,WarmStart,WarmStart
13,57,296.35081017123304,,,296.35081017123304,WarmStart,WarmStart
14,63,228.4671903908735,,,296.35081017123304,WarmStart,WarmStart
15,65,90.99870959544364,,,296.35081017123304,WarmStart,WarmStart
16,72,189.441220061326,,,296.35081017123304,WarmStart,WarmStart
17,53,228.310761552046,268.2665100097656,44.09604263305664,296.35081017123304,ActiveLearning,Continuing
18,58,211.5086541241532,257.98040771484375,41.624427795410156,296.35081017123304,ActiveLearning,Continuing
19,59,219.61643412334288,236.09719848632812,34.769500732421875,296.35081017123304,ActiveLearning,Continuing
20,50,174.66437205644556,225.16636657714844,21.526620864868164,296.35081017123304,ActiveLearning,Continuing
21,8,242.7128680778461,216.43710327148438,28.078107833862305,296.35081017123304,ActiveLearning,Continuing
22,49,242.91509227554656,213.1569061279297,32.7010498046875,296.35081017123304,ActiveLearning,Continuing
23,51,181.925661105008,208.84532165527344,36.07488250732422,296.35081017123304,ActiveLearning,Continuing
24,46,242.41091008794928,221.46807861328125,17.906282424926758,296.35081017123304,ActiveLearning,Continuing
25,52,231.07458974395303,230.03346252441406,13.192496299743652,296.35081017123304,ActiveLearning,Continuing
26,60,272.2240045816517,217.95823669433594,20.749475479125977,296.35081017123304,ActiveLearning,Continuing
27,43,178.97379271834268,213.50848388671875,19.7623291015625,296.35081017123304,ActiveLearning,Continuing
28,71,270.69323356331364,212.34939575195312,22.123212814331055,296.35081017123304,ActiveLearning,Continuing
29,70,172.0732296612731,217.33547973632812,25.03250503540039,296.35081017123304,ActiveLearning,Continuing
30,47,188.5569729101656,200.2606658935547,27.307558059692383,296.35081017123304,ActiveLearning,Continuing
31,62,277.3861208337041,197.91748046875,23.48210906982422,296.35081017123304,ActiveLearning,Continuing
32,56,175.8319549576918,254.718017578125,32.76243209838867,296.35081017123304,ActiveLearning,Continuing
33,61,201.80400290446065,203.91427612304688,43.25212860107422,296.35081017123304,ActiveLearning,Continuing
34,44,159.30709474405634,217.51222229003906,22.32561492919922,296.35081017123304,ActiveLearning,Continuing
35,42,179.2410423946837,184.11480712890625,24.444965362548828,296.35081017123304,ActiveLearning,Continuing
36,48,171.00469374345903,187.83071899414062,5.036044597625732,296.35081017123304,ActiveLearning,Continuing
37,54,197.8404462303588,177.92340087890625,8.007643699645996,296.35081017123304,ActiveLearning,Continuing
38,68,65.48719407925006,154.2393035888672,24.034515380859375,296.35081017123304,ActiveLearning,Continuing
39,27,141.45379911190125,124.66936492919922,24.737783432006836,296.35081017123304,ActiveLearning,Continuing
40,35,207.09310351510177,126.94970703125,14.91280460357666,296.35081017123304,ActiveLearning,Continuing
41,41,220.5104016857166,178.5763702392578,38.359344482421875,296.35081017123304,ActiveLearning,Continuing
42,40,162.77817832797786,163.6866912841797,53.450504302978516,296.35081017123304,ActiveLearning,Continuing
43,38,182.9546167355371,143.570068359375,46.018951416015625,296.35081017123304,ActiveLearning,Continuing
44,7,117.40631603510326,168.73098754882812,29.7296142578125,296.35081017123304,ActiveLearning,Continuing
45,39,140.76871335709305,161.1025848388672,27.390642166137695,296.35081017123304,ActiveLearning,Continuing
46,37,152.72295816440803,156.71310424804688,21.36406898498535,296.35081017123304,ActiveLearning,Continuing
47,6,204.17680289774336,140.78170776367188,24.412288665771484,296.35081017123304,ActiveLearning,Continuing
48,69,110.69482106635698,143.43124389648438,28.294939041137695,296.35081017123304,ActiveLearning,Continuing
49,36,120.1628705347832,121.64968872070312,28.5723819732666,296.35081017123304,ActiveLearning,Continuing
50,32,106.70108583654164,110.11941528320312,14.288079261779785,296.35081017123304,ActiveLearning,Continuing
51,33,72.06868568538891,102.18046569824219,12.183209419250488,296.35081017123304,ActiveLearning,Continuing
52,17,106.8193434000782,94.15501403808594,24.21268653869629,296.35081017123304,ActiveLearning,Continuing
53,29,51.50598562924656,92.65666961669922,13.186068534851074,296.35081017123304,ActiveLearning,Continuing
54,2,66.30151481091211,88.7914047241211,12.855865478515625,296.35081017123304,ActiveLearning,Continuing
55,24,98.05789122606568,89.18953704833984,12.570648193359375,296.35081017123304,ActiveLearning,Continuing
56,64,95.81586876001889,78.0926513671875,20.913349151611328,296.35081017123304,ActiveLearning,Continuing
57,25,39.13465426900338,80.93525695800781,14.605929374694824,296.35081017123304,ActiveLearning,Continuing
58,21,50.104313602035774,80.46725463867188,15.180642127990723,296.35081017123304,ActiveLearning,Continuing
59,67,55.10215022969636,73.53311920166016,17.92217254638672,296.35081017123304,ActiveLearning,Continuing
60,26,42.736240369816734,76.99872589111328,14.12791633605957,296.35081017123304,ActiveLearning,Continuing
61,30,42.124759091300646,66.4968032836914,22.139026641845703,296.35081017123304,ActiveLearning,Continuing
62,1,71.68894182884907,70.75589752197266,15.595203399658203,296.35081017123304,ActiveLearning,Continuing
63,14,39.58562154046682,67.23091888427734,15.552804946899414,296.35081017123304,ActiveLearning,Continuing
64,19,56.88500845389184,66.03910827636719,13.839740753173828,296.35081017123304,ActiveLearning,Continuing
65,3,79.49162278991126,66.35674285888672,8.952954292297363,296.35081017123304,ActiveLearning,Continuing
66,66,64.29918271351211,64.71148681640625,12.486410140991211,296.35081017123304,ActiveLearning,Continuing
67,13,35.102261317001975,61.01362609863281,10.858831405639648,296.35081017123304,ActiveLearning,Continuing
68,15,48.22854697312115,55.7930793762207,14.404329299926758,296.35081017123304,ActiveLearning,Continuing
69,23,53.46447392343188,56.471309661865234,7.724345684051514,296.35081017123304,ActiveLearning,Continuing
70,20,45.87195384392433,58.016929626464844,5.816181182861328,296.35081017123304,ActiveLearning,Continuing
71,16,28.08588319590436,46.38626480102539,6.990089416503906,296.35081017123304,ActiveLearning,Continuing
72,11,24.71538796928362,37.114707946777344,8.105353355407715,296.35081017123304,ActiveLearning,Continuing
