Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Elastic Modulus_mean in Dataset,Phase,Stopping Reason
0,0,81.74085575257114,,,296.35081017123304,WarmStart,WarmStart
1,4,109.60733027971378,,,296.35081017123304,WarmStart,WarmStart
2,5,95.3466236160471,,,296.35081017123304,WarmStart,WarmStart
3,7,117.40631603510326,,,296.35081017123304,WarmStart,WarmStart
4,9,233.7243724057668,,,296.35081017123304,WarmStart,WarmStart
5,10,95.58773206251,,,296.35081017123304,WarmStart,WarmStart
6,12,51.16844398555743,,,296.35081017123304,WarmStart,WarmStart
7,16,28.08588319590436,,,296.35081017123304,WarmStart,WarmStart
8,18,74.82276309333224,,,296.35081017123304,WarmStart,WarmStart
9,22,73.67122147772203,,,296.35081017123304,WarmStart,WarmStart
10,28,147.00005295683096,,,296.35081017123304,WarmStart,WarmStart
11,30,42.124759091300646,,,296.35081017123304,WarmStart,WarmStart
12,31,119.79704241922371,,,296.35081017123304,WarmStart,WarmStart
13,33,72.06868568538891,,,296.35081017123304,WarmStart,WarmStart
14,34,88.47667256854467,,,296.35081017123304,WarmStart,WarmStart
15,35,207.09310351510177,,,296.35081017123304,WarmStart,WarmStart
16,39,140.76871335709305,,,296.35081017123304,WarmStart,WarmStart
17,42,179.2410423946837,,,296.35081017123304,WarmStart,WarmStart
18,44,159.30709474405634,,,296.35081017123304,WarmStart,WarmStart
19,45,224.5706110108938,,,296.35081017123304,WarmStart,WarmStart
20,47,188.5569729101656,,,296.35081017123304,WarmStart,WarmStart
21,50,174.66437205644556,,,296.35081017123304,WarmStart,WarmStart
22,55,168.33383829683325,,,296.35081017123304,WarmStart,WarmStart
23,56,175.8319549576918,,,296.35081017123304,WarmStart,WarmStart
24,57,296.35081017123304,,,296.35081017123304,WarmStart,WarmStart
25,61,201.80400290446065,,,296.35081017123304,WarmStart,WarmStart
26,63,228.4671903908735,,,296.35081017123304,WarmStart,WarmStart
27,65,90.99870959544364,,,296.35081017123304,WarmStart,WarmStart
28,70,172.0732296612731,,,296.35081017123304,WarmStart,WarmStart
29,72,189.441220061326,,,296.35081017123304,WarmStart,WarmStart
30,53,228.310761552046,253.75299072265625,45.82461929321289,296.35081017123304,ActiveLearning,Continuing
31,58,211.5086541241532,236.12777709960938,58.4830322265625,296.35081017123304,ActiveLearning,Continuing
32,59,219.61643412334288,223.0904998779297,32.525909423828125,296.35081017123304,ActiveLearning,Continuing
33,8,242.7128680778461,211.30459594726562,32.386314392089844,296.35081017123304,ActiveLearning,Continuing
34,46,242.41091008794928,219.90626525878906,17.762845993041992,296.35081017123304,ActiveLearning,Continuing
35,49,242.91509227554656,225.1985626220703,13.434730529785156,296.35081017123304,ActiveLearning,Continuing
36,52,231.07458974395303,219.70367431640625,17.451515197753906,296.35081017123304,ActiveLearning,Continuing
37,60,272.2240045816517,207.32125854492188,20.909725189208984,296.35081017123304,ActiveLearning,Continuing
38,71,270.69323356331364,203.0371551513672,20.205463409423828,296.35081017123304,ActiveLearning,Continuing
39,51,181.925661105008,197.13201904296875,26.579730987548828,296.35081017123304,ActiveLearning,Continuing
40,43,178.97379271834268,191.91439819335938,23.203636169433594,296.35081017123304,ActiveLearning,Continuing
41,48,171.00469374345903,195.0642547607422,19.901872634887695,296.35081017123304,ActiveLearning,Continuing
42,41,220.5104016857166,177.51040649414062,32.182350158691406,296.35081017123304,ActiveLearning,Continuing
43,62,277.3861208337041,186.44757080078125,18.326583862304688,296.35081017123304,ActiveLearning,Continuing
44,40,162.77817832797786,166.86158752441406,49.26814651489258,296.35081017123304,ActiveLearning,Continuing
45,54,197.8404462303588,175.50967407226562,13.860461235046387,296.35081017123304,ActiveLearning,Continuing
46,38,182.9546167355371,148.01321411132812,36.04038619995117,296.35081017123304,ActiveLearning,Continuing
47,37,152.72295816440803,160.0276336669922,29.58634376525879,296.35081017123304,ActiveLearning,Continuing
48,69,110.69482106635698,132.63861083984375,34.97930908203125,296.35081017123304,ActiveLearning,Continuing
49,6,204.17680289774336,138.2461395263672,27.688568115234375,296.35081017123304,ActiveLearning,Continuing
50,36,120.1628705347832,107.3646469116211,36.007530212402344,296.35081017123304,ActiveLearning,Continuing
51,27,141.45379911190125,109.95237731933594,33.64443588256836,296.35081017123304,ActiveLearning,Continuing
52,68,65.48719407925006,108.30509948730469,31.172950744628906,296.35081017123304,ActiveLearning,Continuing
53,32,106.70108583654164,106.8779525756836,15.275707244873047,296.35081017123304,ActiveLearning,Continuing
54,17,106.8193434000782,88.77066802978516,27.545412063598633,296.35081017123304,ActiveLearning,Continuing
55,24,98.05789122606568,88.48831939697266,18.875492095947266,296.35081017123304,ActiveLearning,Continuing
56,2,66.30151481091211,80.68001556396484,18.80350685119629,296.35081017123304,ActiveLearning,Continuing
57,64,95.81586876001889,74.39375305175781,25.05453109741211,296.35081017123304,ActiveLearning,Continuing
58,26,42.736240369816734,82.35684204101562,15.854408264160156,296.35081017123304,ActiveLearning,Continuing
59,67,55.10215022969636,68.66116333007812,21.112241744995117,296.35081017123304,ActiveLearning,Continuing
60,21,50.104313602035774,77.74288940429688,11.312403678894043,296.35081017123304,ActiveLearning,Continuing
61,25,39.13465426900338,72.47913360595703,15.81781005859375,296.35081017123304,ActiveLearning,Continuing
62,1,71.68894182884907,73.9538803100586,17.88563346862793,296.35081017123304,ActiveLearning,Continuing
63,29,51.50598562924656,59.792686462402344,25.783472061157227,296.35081017123304,ActiveLearning,Continuing
64,66,64.29918271351211,61.02503204345703,17.10793685913086,296.35081017123304,ActiveLearning,Continuing
65,19,56.88500845389184,72.25276184082031,11.05722427368164,296.35081017123304,ActiveLearning,Continuing
66,3,79.49162278991126,68.07735443115234,11.293801307678223,296.35081017123304,ActiveLearning,Continuing
67,14,39.58562154046682,57.81357955932617,17.749588012695312,296.35081017123304,ActiveLearning,Continuing
68,13,35.102261317001975,56.227455139160156,16.67041015625,296.35081017123304,ActiveLearning,Continuing
69,15,48.22854697312115,53.86686706542969,16.740562438964844,296.35081017123304,ActiveLearning,Continuing
70,20,45.87195384392433,57.66851806640625,3.0321204662323,296.35081017123304,ActiveLearning,Continuing
71,23,53.46447392343188,48.55105209350586,10.884207725524902,296.35081017123304,ActiveLearning,Continuing
72,11,24.71538796928362,35.713539123535156,6.675100803375244,296.35081017123304,ActiveLearning,Continuing
