Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Elastic Modulus_mean in Dataset,Phase,Stopping Reason
0,4,109.60733027971378,,,296.35081017123304,WarmStart,WarmStart
1,17,106.8193434000782,,,296.35081017123304,WarmStart,WarmStart
2,18,74.82276309333224,,,296.35081017123304,WarmStart,WarmStart
3,19,56.88500845389184,,,296.35081017123304,WarmStart,WarmStart
4,40,162.77817832797786,,,296.35081017123304,WarmStart,WarmStart
5,49,242.91509227554656,,,296.35081017123304,WarmStart,WarmStart
6,54,197.8404462303588,,,296.35081017123304,WarmStart,WarmStart
7,53,228.310761552046,4981.94091796875,110.76988983154297,296.35081017123304,ActiveLearning,Continuing
8,72,189.441220061326,348.1830139160156,61.41665267944336,296.35081017123304,ActiveLearning,Continuing
9,45,224.5706110108938,237.54916381835938,9.445659637451172,296.35081017123304,ActiveLearning,Continuing
10,46,242.41091008794928,228.2333984375,12.201613426208496,296.35081017123304,ActiveLearning,Continuing
11,52,231.07458974395303,225.1552276611328,17.19420051574707,296.35081017123304,ActiveLearning,Continuing
12,43,178.97379271834268,222.5682830810547,29.525571823120117,296.35081017123304,ActiveLearning,Continuing
13,55,168.33383829683325,187.0421905517578,26.620601654052734,296.35081017123304,ActiveLearning,Continuing
14,70,172.0732296612731,167.61395263671875,27.366695404052734,296.35081017123304,ActiveLearning,Continuing
15,42,179.2410423946837,174.00732421875,28.522302627563477,296.35081017123304,ActiveLearning,Continuing
16,71,270.69323356331364,172.56625366210938,31.899110794067383,296.35081017123304,ActiveLearning,Continuing
17,47,188.5569729101656,221.4261932373047,27.480478286743164,296.35081017123304,ActiveLearning,Continuing
18,48,171.00469374345903,182.89004516601562,28.72301483154297,296.35081017123304,ActiveLearning,Continuing
19,8,242.7128680778461,174.3124237060547,40.635501861572266,296.35081017123304,ActiveLearning,Continuing
20,9,233.7243724057668,223.71060180664062,42.07754135131836,296.35081017123304,ActiveLearning,Continuing
21,69,110.69482106635698,165.63931274414062,34.49115753173828,296.35081017123304,ActiveLearning,Continuing
22,60,272.2240045816517,126.85282897949219,37.9793815612793,296.35081017123304,ActiveLearning,Continuing
23,58,211.5086541241532,231.66934204101562,47.32464599609375,296.35081017123304,ActiveLearning,Continuing
24,59,219.61643412334288,222.15365600585938,39.342864990234375,296.35081017123304,ActiveLearning,Continuing
25,61,201.80400290446065,195.0916748046875,32.663116455078125,296.35081017123304,ActiveLearning,Continuing
26,56,175.8319549576918,191.4405517578125,32.30095291137695,296.35081017123304,ActiveLearning,Continuing
27,62,277.3861208337041,174.90145874023438,31.170438766479492,296.35081017123304,ActiveLearning,Continuing
28,63,228.4671903908735,195.26808166503906,29.83036994934082,296.35081017123304,ActiveLearning,Continuing
29,44,159.30709474405634,189.68519592285156,30.505659103393555,296.35081017123304,ActiveLearning,Continuing
30,37,152.72295816440803,181.44366455078125,29.406435012817383,296.35081017123304,ActiveLearning,Continuing
31,50,174.66437205644556,185.96847534179688,26.126201629638672,296.35081017123304,ActiveLearning,Continuing
32,51,181.925661105008,178.37973022460938,25.614946365356445,296.35081017123304,ActiveLearning,Continuing
33,6,204.17680289774336,159.31614685058594,35.63275909423828,296.35081017123304,ActiveLearning,Continuing
34,7,117.40631603510326,176.33676147460938,33.29461669921875,296.35081017123304,ActiveLearning,Continuing
35,41,220.5104016857166,148.80023193359375,29.716033935546875,296.35081017123304,ActiveLearning,Continuing
36,68,65.48719407925006,161.55990600585938,32.17378616333008,296.35081017123304,ActiveLearning,Continuing
37,57,296.35081017123304,144.3326416015625,29.293601989746094,296.35081017123304,ActiveLearning,Max Elastic Modulus_mean in Dataset reached
