Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Elastic Modulus_mean in Dataset,Phase,Stopping Reason
0,12,51.16844398555743,,,296.35081017123304,WarmStart,WarmStart
1,22,73.67122147772203,,,296.35081017123304,WarmStart,WarmStart
2,23,53.46447392343188,,,296.35081017123304,WarmStart,WarmStart
3,27,141.45379911190125,,,296.35081017123304,WarmStart,WarmStart
4,28,147.00005295683096,,,296.35081017123304,WarmStart,WarmStart
5,29,51.50598562924656,,,296.35081017123304,WarmStart,WarmStart
6,30,42.124759091300646,,,296.35081017123304,WarmStart,WarmStart
7,50,174.66437205644556,,,296.35081017123304,WarmStart,WarmStart
8,51,181.925661105008,,,296.35081017123304,WarmStart,WarmStart
9,55,168.33383829683325,,,296.35081017123304,WarmStart,WarmStart
10,53,228.310761552046,659.2332153320312,16.41187858581543,296.35081017123304,ActiveLearning,Continuing
11,72,189.441220061326,279.02099609375,47.23439407348633,296.35081017123304,ActiveLearning,Continuing
12,49,242.91509227554656,203.75279235839844,8.525888442993164,296.35081017123304,ActiveLearning,Continuing
13,45,224.5706110108938,231.1625518798828,14.048303604125977,296.35081017123304,ActiveLearning,Continuing
14,46,242.41091008794928,236.87753295898438,19.5018310546875,296.35081017123304,ActiveLearning,Continuing
15,52,231.07458974395303,251.33181762695312,24.777591705322266,296.35081017123304,ActiveLearning,Continuing
16,42,179.2410423946837,232.07333374023438,39.43292236328125,296.35081017123304,ActiveLearning,Continuing
17,8,242.7128680778461,243.55401611328125,45.994415283203125,296.35081017123304,ActiveLearning,Continuing
18,6,204.17680289774336,250.21401977539062,72.45539093017578,296.35081017123304,ActiveLearning,Continuing
19,9,233.7243724057668,236.11279296875,59.88155746459961,296.35081017123304,ActiveLearning,Continuing
20,7,117.40631603510326,184.79637145996094,41.78447341918945,296.35081017123304,ActiveLearning,Continuing
21,71,270.69323356331364,203.32440185546875,37.131591796875,296.35081017123304,ActiveLearning,Continuing
22,47,188.5569729101656,189.6534423828125,28.762001037597656,296.35081017123304,ActiveLearning,Continuing
23,48,171.00469374345903,204.99595642089844,29.81415557861328,296.35081017123304,ActiveLearning,Continuing
24,70,172.0732296612731,182.34243774414062,31.81068229675293,296.35081017123304,ActiveLearning,Continuing
25,58,211.5086541241532,159.0765380859375,43.54698944091797,296.35081017123304,ActiveLearning,Continuing
26,59,219.61643412334288,180.04933166503906,33.51968002319336,296.35081017123304,ActiveLearning,Continuing
27,60,272.2240045816517,206.84710693359375,38.461368560791016,296.35081017123304,ActiveLearning,Continuing
28,54,197.8404462303588,174.5749969482422,31.21702003479004,296.35081017123304,ActiveLearning,Continuing
29,57,296.35081017123304,177.1573486328125,34.28213882446289,296.35081017123304,ActiveLearning,Max Elastic Modulus_mean in Dataset reached
