Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Elastic Modulus_mean in Dataset,Phase,Stopping Reason
0,12,51.16844398555743,,,296.35081017123304,WarmStart,WarmStart
1,22,73.67122147772203,,,296.35081017123304,WarmStart,WarmStart
2,23,53.46447392343188,,,296.35081017123304,WarmStart,WarmStart
3,27,141.45379911190125,,,296.35081017123304,WarmStart,WarmStart
4,28,147.00005295683096,,,296.35081017123304,WarmStart,WarmStart
5,29,51.50598562924656,,,296.35081017123304,WarmStart,WarmStart
6,30,42.124759091300646,,,296.35081017123304,WarmStart,WarmStart
7,50,174.66437205644556,,,296.35081017123304,WarmStart,WarmStart
8,51,181.925661105008,,,296.35081017123304,WarmStart,WarmStart
9,55,168.33383829683325,,,296.35081017123304,WarmStart,WarmStart
10,54,197.8404462303588,105.35330544474635,61.57025563721025,296.35081017123304,ActiveLearning,Continuing
11,52,231.07458974395303,217.31222376219466,47.131090061700355,296.35081017123304,ActiveLearning,Continuing
12,45,224.5706110108938,230.59573010130703,9.274365013303026,296.35081017123304,ActiveLearning,Continuing
13,49,242.91509227554656,181.79012650429894,78.7497479856143,296.35081017123304,ActiveLearning,Continuing
14,46,242.41091008794928,232.7879627697531,9.799022719447473,296.35081017123304,ActiveLearning,Continuing
15,41,220.5104016857166,184.9179239559802,26.643835718788836,296.35081017123304,ActiveLearning,Continuing
16,63,228.4671903908735,195.66857395534157,27.35279869228043,296.35081017123304,ActiveLearning,Continuing
17,42,179.2410423946837,234.33386428114852,87.7155114921427,296.35081017123304,ActiveLearning,Continuing
18,62,277.3861208337041,213.75221857740212,16.424411958747765,296.35081017123304,ActiveLearning,Continuing
19,37,152.72295816440803,225.79797269077562,16.687445047935523,296.35081017123304,ActiveLearning,Continuing
20,44,159.30709474405634,200.2084784920953,25.2554524730086,296.35081017123304,ActiveLearning,Continuing
21,43,178.97379271834268,190.17892601817283,34.11935564311774,296.35081017123304,ActiveLearning,Continuing
22,35,207.09310351510177,185.64426447497408,28.070933825885557,296.35081017123304,ActiveLearning,Continuing
23,6,204.17680289774336,178.38362327602044,35.06548159649603,296.35081017123304,ActiveLearning,Continuing
24,7,117.40631603510326,198.71778043598988,32.830653847256436,296.35081017123304,ActiveLearning,Continuing
25,38,182.9546167355371,175.6093802934317,29.69650019990418,296.35081017123304,ActiveLearning,Continuing
26,40,162.77817832797786,173.934170105131,33.99215062108629,296.35081017123304,ActiveLearning,Continuing
27,39,140.76871335709305,151.41415317039127,29.70145615790255,296.35081017123304,ActiveLearning,Continuing
28,47,188.5569729101656,148.86309201726885,32.03981792148175,296.35081017123304,ActiveLearning,Continuing
29,48,171.00469374345903,164.24907249721537,30.19255164286749,296.35081017123304,ActiveLearning,Continuing
30,8,242.7128680778461,143.00954945439867,44.12539598244712,296.35081017123304,ActiveLearning,Continuing
31,9,233.7243724057668,208.156487186797,34.885657748935145,296.35081017123304,ActiveLearning,Continuing
32,34,88.47667256854467,129.2419100102934,29.301723860849837,296.35081017123304,ActiveLearning,Continuing
33,5,95.3466236160471,123.53534490667951,35.01942904957472,296.35081017123304,ActiveLearning,Continuing
34,36,120.1628705347832,117.37389163866305,39.237178550429064,296.35081017123304,ActiveLearning,Continuing
35,18,74.82276309333224,115.91699963910946,32.60656693040759,296.35081017123304,ActiveLearning,Continuing
36,4,109.60733027971378,111.39325045688895,31.771962901368177,296.35081017123304,ActiveLearning,Continuing
37,31,119.79704241922371,110.0183416388,29.97120684340136,296.35081017123304,ActiveLearning,Continuing
38,32,106.70108583654164,109.87280644635763,28.50366416379976,296.35081017123304,ActiveLearning,Continuing
39,17,106.8193434000782,89.50293880227994,32.507792885680054,296.35081017123304,ActiveLearning,Continuing
40,0,81.74085575257114,86.29956064419366,38.54451425949218,296.35081017123304,ActiveLearning,Continuing
41,26,42.736240369816734,83.38301212791941,27.051332139170647,296.35081017123304,ActiveLearning,Continuing
42,1,71.68894182884907,83.61093331610209,31.618231107630628,296.35081017123304,ActiveLearning,Continuing
43,33,72.06868568538891,77.23180728275224,26.902472026036587,296.35081017123304,ActiveLearning,Continuing
44,21,50.104313602035774,70.63084717510992,28.24832034096461,296.35081017123304,ActiveLearning,Continuing
45,3,79.49162278991126,67.96526336903288,28.411408165861584,296.35081017123304,ActiveLearning,Continuing
46,2,66.30151481091211,71.39371800027283,27.489244728956695,296.35081017123304,ActiveLearning,Continuing
47,24,98.05789122606568,64.7487397834766,32.436965132669954,296.35081017123304,ActiveLearning,Continuing
48,25,39.13465426900338,67.16520408689871,25.610637590083975,296.35081017123304,ActiveLearning,Continuing
49,19,56.88500845389184,53.624728595531714,28.73758481539215,296.35081017123304,ActiveLearning,Continuing
50,20,45.87195384392433,54.56631210504747,27.154640573633166,296.35081017123304,ActiveLearning,Continuing
51,10,95.58773206251,49.72887503923698,30.075800376873172,296.35081017123304,ActiveLearning,Continuing
52,15,48.22854697312115,59.09724033390353,26.846746044234433,296.35081017123304,ActiveLearning,Continuing
53,14,39.58562154046682,46.45786124691749,25.11887330596725,296.35081017123304,ActiveLearning,Continuing
54,16,28.08588319590436,35.160863747429175,24.416752702092015,296.35081017123304,ActiveLearning,Continuing
55,11,24.71538796928362,33.45066724028243,23.9947052523527,296.35081017123304,ActiveLearning,Continuing
56,13,35.102261317001975,30.863778667161114,25.271492568697596,296.35081017123304,ActiveLearning,Continuing
57,70,172.0732296612731,0.46165723670330744,179.74159626216158,296.35081017123304,ActiveLearning,Continuing
58,71,270.69323356331364,149.36595737183174,81.33899090134048,296.35081017123304,ActiveLearning,Continuing
59,68,65.48719407925006,200.65588867199625,60.02022160379935,296.35081017123304,ActiveLearning,Continuing
60,72,189.441220061326,110.99776644603276,125.70569371801825,296.35081017123304,ActiveLearning,Continuing
61,69,110.69482106635698,91.61603636168621,48.07304302162393,296.35081017123304,ActiveLearning,Continuing
62,67,55.10215022969636,52.54083966363862,40.23495097114593,296.35081017123304,ActiveLearning,Continuing
63,66,64.29918271351211,42.29627694628934,34.8787410852602,296.35081017123304,ActiveLearning,Continuing
64,64,95.81586876001889,51.21614082931774,29.09304755312548,296.35081017123304,ActiveLearning,Continuing
65,65,90.99870959544364,65.2958552233251,28.346848770102692,296.35081017123304,ActiveLearning,Continuing
66,56,175.8319549576918,0.18386059401369104,198.52319233367962,296.35081017123304,ActiveLearning,Continuing
67,61,201.80400290446065,173.64094063008633,35.44111606903026,296.35081017123304,ActiveLearning,Continuing
68,53,228.310761552046,143.1826934446119,110.70789259004455,296.35081017123304,ActiveLearning,Continuing
69,57,296.35081017123304,177.2577187856,39.12466155333819,296.35081017123304,ActiveLearning,Max Elastic Modulus_mean in Dataset reached
