Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Elastic Modulus_mean in Dataset,Phase,Stopping Reason
0,49,242.91509227554656,,,296.35081017123304,WarmStart,WarmStart
1,50,174.66437205644556,,,296.35081017123304,WarmStart,WarmStart
2,51,181.925661105008,,,296.35081017123304,WarmStart,WarmStart
3,55,168.33383829683325,,,296.35081017123304,WarmStart,WarmStart
4,56,175.8319549576918,,,296.35081017123304,WarmStart,WarmStart
5,18,74.82276309333224,210.85810002183285,101.92347411201328,296.35081017123304,ActiveLearning,Continuing
6,53,228.310761552046,172.65559526829284,114.38224777592598,296.35081017123304,ActiveLearning,Continuing
7,45,224.5706110108938,241.382926647393,7.351015541717256,296.35081017123304,ActiveLearning,Continuing
8,46,242.41091008794928,231.0086752060356,11.776146822163108,296.35081017123304,ActiveLearning,Continuing
9,52,231.07458974395303,234.74726878097104,10.35892915129575,296.35081017123304,ActiveLearning,Continuing
10,8,242.7128680778461,179.88007940027137,23.918135497075514,296.35081017123304,ActiveLearning,Continuing
11,9,233.7243724057668,241.38022478776975,11.512067675104307,296.35081017123304,ActiveLearning,Continuing
12,0,81.74085575257114,187.80618550798135,55.152443894154004,296.35081017123304,ActiveLearning,Continuing
13,58,211.5086541241532,166.54080009291653,49.70375559557852,296.35081017123304,ActiveLearning,Continuing
14,57,296.35081017123304,201.64306260709444,23.38333712441747,296.35081017123304,ActiveLearning,Max Elastic Modulus_mean in Dataset reached
