Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Elastic Modulus_mean in Dataset,Phase,Stopping Reason
0,8,242.7128680778461,,,296.35081017123304,WarmStart,WarmStart
1,15,48.22854697312115,,,296.35081017123304,WarmStart,WarmStart
2,16,28.08588319590436,,,296.35081017123304,WarmStart,WarmStart
3,21,50.104313602035774,,,296.35081017123304,WarmStart,WarmStart
4,22,73.67122147772203,,,296.35081017123304,WarmStart,WarmStart
5,23,53.46447392343188,,,296.35081017123304,WarmStart,WarmStart
6,28,147.00005295683096,,,296.35081017123304,WarmStart,WarmStart
7,29,51.50598562924656,,,296.35081017123304,WarmStart,WarmStart
8,30,42.124759091300646,,,296.35081017123304,WarmStart,WarmStart
9,50,174.66437205644556,,,296.35081017123304,WarmStart,WarmStart
10,51,181.925661105008,,,296.35081017123304,WarmStart,WarmStart
11,55,168.33383829683325,,,296.35081017123304,WarmStart,WarmStart
12,56,175.8319549576918,,,296.35081017123304,WarmStart,WarmStart
13,49,242.91509227554656,226.87985062800055,42.26370254071086,296.35081017123304,ActiveLearning,Continuing
14,53,228.310761552046,167.68861021904544,101.15758646620952,296.35081017123304,ActiveLearning,Continuing
15,52,231.07458974395303,243.58507867048618,15.35955049743139,296.35081017123304,ActiveLearning,Continuing
16,9,233.7243724057668,241.36603937076097,15.780145358666438,296.35081017123304,ActiveLearning,Continuing
17,45,224.5706110108938,237.68497826339998,12.724198390004643,296.35081017123304,ActiveLearning,Continuing
18,46,242.41091008794928,233.53519559157758,12.046587363432375,296.35081017123304,ActiveLearning,Continuing
19,6,204.17680289774336,203.9320004099418,35.54314503148442,296.35081017123304,ActiveLearning,Continuing
20,70,172.0732296612731,6.498513016719414,218.79501207266156,296.35081017123304,ActiveLearning,Continuing
21,72,189.441220061326,124.42495235554422,100.25263343870905,296.35081017123304,ActiveLearning,Continuing
22,43,178.97379271834268,187.23427385017106,36.40329049243177,296.35081017123304,ActiveLearning,Continuing
23,7,117.40631603510326,205.37974827009134,13.629325572337207,296.35081017123304,ActiveLearning,Continuing
24,71,270.69323356331364,196.158893341159,42.78115485891133,296.35081017123304,ActiveLearning,Continuing
25,47,188.5569729101656,191.44604472809857,26.7985467933036,296.35081017123304,ActiveLearning,Continuing
26,59,219.61643412334288,160.32992369374915,57.89198730833724,296.35081017123304,ActiveLearning,Continuing
27,58,211.5086541241532,207.53349126417288,29.106932993305204,296.35081017123304,ActiveLearning,Continuing
28,60,272.2240045816517,201.79407358870662,26.477542686145533,296.35081017123304,ActiveLearning,Continuing
29,57,296.35081017123304,204.05043194159862,33.30348701305188,296.35081017123304,ActiveLearning,Max Elastic Modulus_mean in Dataset reached
