Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Elastic Modulus_mean in Dataset,Phase,Stopping Reason
0,17,106.8193434000782,,,296.35081017123304,WarmStart,WarmStart
1,18,74.82276309333224,,,296.35081017123304,WarmStart,WarmStart
2,19,56.88500845389184,,,296.35081017123304,WarmStart,WarmStart
3,38,182.9546167355371,,,296.35081017123304,WarmStart,WarmStart
4,50,174.66437205644556,,,296.35081017123304,WarmStart,WarmStart
5,55,168.33383829683325,,,296.35081017123304,WarmStart,WarmStart
6,61,201.80400290446065,111.12218503660765,105.57093865362995,296.35081017123304,ActiveLearning,Continuing
7,60,272.2240045816517,177.47694948227502,71.2791776932563,296.35081017123304,ActiveLearning,Continuing
8,58,211.5086541241532,235.53346847412774,46.21734185468363,296.35081017123304,ActiveLearning,Continuing
9,59,219.61643412334288,223.40026269366172,36.727873941965264,296.35081017123304,ActiveLearning,Continuing
10,63,228.4671903908735,146.23647489692056,82.00421496663701,296.35081017123304,ActiveLearning,Continuing
11,56,175.8319549576918,213.37016852156543,28.345524223359146,296.35081017123304,ActiveLearning,Continuing
12,43,178.97379271834268,166.95124549163734,110.20433099877225,296.35081017123304,ActiveLearning,Continuing
13,57,296.35081017123304,194.36746384084657,40.53989446904449,296.35081017123304,ActiveLearning,Max Elastic Modulus_mean in Dataset reached
