Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Elastic Modulus_mean in Dataset,Phase,Stopping Reason
0,12,51.16844398555743,,,296.35081017123304,WarmStart,WarmStart
1,14,39.58562154046682,,,296.35081017123304,WarmStart,WarmStart
2,15,48.22854697312115,,,296.35081017123304,WarmStart,WarmStart
3,16,28.08588319590436,,,296.35081017123304,WarmStart,WarmStart
4,18,74.82276309333224,,,296.35081017123304,WarmStart,WarmStart
5,21,50.104313602035774,,,296.35081017123304,WarmStart,WarmStart
6,30,42.124759091300646,,,296.35081017123304,WarmStart,WarmStart
7,50,174.66437205644556,,,296.35081017123304,WarmStart,WarmStart
8,51,181.925661105008,,,296.35081017123304,WarmStart,WarmStart
9,55,168.33383829683325,,,296.35081017123304,WarmStart,WarmStart
10,56,175.8319549576918,,,296.35081017123304,WarmStart,WarmStart
11,72,189.441220061326,89.82275225424206,68.28759832654343,296.35081017123304,ActiveLearning,Continuing
12,58,211.5086541241532,98.24774727180751,70.78211836861075,296.35081017123304,ActiveLearning,Continuing
13,59,219.61643412334288,106.85763869476573,74.55159733598357,296.35081017123304,ActiveLearning,Continuing
14,53,228.310761552046,202.17371797743414,59.450397943312275,296.35081017123304,ActiveLearning,Continuing
15,71,270.69323356331364,188.45846270254157,55.52702820597264,296.35081017123304,ActiveLearning,Continuing
16,60,272.2240045816517,177.8042868746841,94.16959078461663,296.35081017123304,ActiveLearning,Continuing
17,70,172.0732296612731,211.37936706211184,41.06834365241336,296.35081017123304,ActiveLearning,Continuing
18,57,296.35081017123304,180.76223818671738,96.283271597633,296.35081017123304,ActiveLearning,Max Elastic Modulus_mean in Dataset reached
