Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Elastic Modulus_mean in Dataset,Phase,Stopping Reason
0,1,71.68894182884907,,,296.35081017123304,WarmStart,WarmStart
1,4,109.60733027971378,,,296.35081017123304,WarmStart,WarmStart
2,5,95.3466236160471,,,296.35081017123304,WarmStart,WarmStart
3,8,242.7128680778461,,,296.35081017123304,WarmStart,WarmStart
4,12,51.16844398555743,,,296.35081017123304,WarmStart,WarmStart
5,17,106.8193434000782,,,296.35081017123304,WarmStart,WarmStart
6,20,45.87195384392433,,,296.35081017123304,WarmStart,WarmStart
7,50,174.66437205644556,,,296.35081017123304,WarmStart,WarmStart
8,54,197.8404462303588,,,296.35081017123304,WarmStart,WarmStart
9,55,168.33383829683325,,,296.35081017123304,WarmStart,WarmStart
10,56,175.8319549576918,,,296.35081017123304,WarmStart,WarmStart
11,58,211.5086541241532,,,296.35081017123304,WarmStart,WarmStart
12,68,65.48719407925006,,,296.35081017123304,WarmStart,WarmStart
13,60,272.2240045816517,129.53561115708627,68.5690430433116,296.35081017123304,ActiveLearning,Continuing
14,53,228.310761552046,220.6042915002363,79.93054641983042,296.35081017123304,ActiveLearning,Continuing
15,59,219.61643412334288,232.89464799533994,33.061665186199704,296.35081017123304,ActiveLearning,Continuing
16,57,296.35081017123304,211.6667240942022,34.53686103596739,296.35081017123304,ActiveLearning,Max Elastic Modulus_mean in Dataset reached
