Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Elastic Modulus_mean in Dataset,Phase,Stopping Reason
0,7,117.40631603510326,,,296.35081017123304,WarmStart,WarmStart
1,12,51.16844398555743,,,296.35081017123304,WarmStart,WarmStart
2,16,28.08588319590436,,,296.35081017123304,WarmStart,WarmStart
3,18,74.82276309333224,,,296.35081017123304,WarmStart,WarmStart
4,20,45.87195384392433,,,296.35081017123304,WarmStart,WarmStart
5,22,73.67122147772203,,,296.35081017123304,WarmStart,WarmStart
6,23,53.46447392343188,,,296.35081017123304,WarmStart,WarmStart
7,28,147.00005295683096,,,296.35081017123304,WarmStart,WarmStart
8,29,51.50598562924656,,,296.35081017123304,WarmStart,WarmStart
9,30,42.124759091300646,,,296.35081017123304,WarmStart,WarmStart
10,31,119.79704241922371,,,296.35081017123304,WarmStart,WarmStart
11,50,174.66437205644556,,,296.35081017123304,WarmStart,WarmStart
12,51,181.925661105008,,,296.35081017123304,WarmStart,WarmStart
13,55,168.33383829683325,,,296.35081017123304,WarmStart,WarmStart
14,56,175.8319549576918,,,296.35081017123304,WarmStart,WarmStart
15,71,270.69323356331364,,,296.35081017123304,WarmStart,WarmStart
16,0,81.74085575257114,0.0,129.7483491525795,296.35081017123304,ActiveLearning,Continuing
17,72,189.441220061326,106.86001199087244,69.6030614788838,296.35081017123304,ActiveLearning,Continuing
18,70,172.0732296612731,245.12878167512048,45.27845417635478,296.35081017123304,ActiveLearning,Continuing
19,49,242.91509227554656,205.85236300542897,46.10092235663623,296.35081017123304,ActiveLearning,Continuing
20,52,231.07458974395303,239.4627193354978,22.291643125512216,296.35081017123304,ActiveLearning,Continuing
21,45,224.5706110108938,236.21863095671858,16.032031211634674,296.35081017123304,ActiveLearning,Continuing
22,46,242.41091008794928,232.5193004129153,14.1356469971732,296.35081017123304,ActiveLearning,Continuing
23,41,220.5104016857166,209.40396286058672,26.85278988855136,296.35081017123304,ActiveLearning,Continuing
24,63,228.4671903908735,185.7288696566991,32.82553697357876,296.35081017123304,ActiveLearning,Continuing
25,42,179.2410423946837,155.6209439070984,105.42539066228778,296.35081017123304,ActiveLearning,Continuing
26,62,277.3861208337041,204.64974209684783,16.846719049879887,296.35081017123304,ActiveLearning,Continuing
27,68,65.48719407925006,173.03828490003673,64.45940813899131,296.35081017123304,ActiveLearning,Continuing
28,44,159.30709474405634,210.49231613479293,21.85156634327183,296.35081017123304,ActiveLearning,Continuing
29,43,178.97379271834268,183.80057678174018,39.08540024770249,296.35081017123304,ActiveLearning,Continuing
30,61,201.80400290446065,176.56641993120274,35.86542327009185,296.35081017123304,ActiveLearning,Continuing
31,37,152.72295816440803,185.51557522883513,27.264694607168927,296.35081017123304,ActiveLearning,Continuing
32,53,228.310761552046,102.21499345030472,109.1023353734101,296.35081017123304,ActiveLearning,Continuing
33,60,272.2240045816517,154.1078545472445,73.12336726263827,296.35081017123304,ActiveLearning,Continuing
34,58,211.5086541241532,242.60660496621824,39.7191001885776,296.35081017123304,ActiveLearning,Continuing
35,59,219.61643412334288,224.9376901825608,35.89170045636209,296.35081017123304,ActiveLearning,Continuing
36,57,296.35081017123304,203.78995058497958,37.97347837772388,296.35081017123304,ActiveLearning,Max Elastic Modulus_mean in Dataset reached
