Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Elastic Modulus_mean in Dataset,Phase,Stopping Reason
0,1,71.68894182884907,,,296.35081017123304,WarmStart,WarmStart
1,5,95.3466236160471,,,296.35081017123304,WarmStart,WarmStart
2,10,95.58773206251,,,296.35081017123304,WarmStart,WarmStart
3,12,51.16844398555743,,,296.35081017123304,WarmStart,WarmStart
4,17,106.8193434000782,,,296.35081017123304,WarmStart,WarmStart
5,20,45.87195384392433,,,296.35081017123304,WarmStart,WarmStart
6,27,141.45379911190125,,,296.35081017123304,WarmStart,WarmStart
7,50,174.66437205644556,,,296.35081017123304,WarmStart,WarmStart
8,54,197.8404462303588,,,296.35081017123304,WarmStart,WarmStart
9,55,168.33383829683325,,,296.35081017123304,WarmStart,WarmStart
10,56,175.8319549576918,,,296.35081017123304,WarmStart,WarmStart
11,58,211.5086541241532,,,296.35081017123304,WarmStart,WarmStart
12,65,90.99870959544364,,,296.35081017123304,WarmStart,WarmStart
13,68,65.48719407925006,,,296.35081017123304,WarmStart,WarmStart
14,69,110.69482106635698,,,296.35081017123304,WarmStart,WarmStart
15,53,228.310761552046,197.10614796136935,42.94154007225488,296.35081017123304,ActiveLearning,Continuing
16,60,272.2240045816517,211.0390595978788,25.139356534758367,296.35081017123304,ActiveLearning,Continuing
17,59,219.61643412334288,230.57446869463683,28.128931590539036,296.35081017123304,ActiveLearning,Continuing
18,52,231.07458974395303,196.2677810652831,32.29265769269531,296.35081017123304,ActiveLearning,Continuing
19,45,224.5706110108938,214.37357095069137,26.785272317430056,296.35081017123304,ActiveLearning,Continuing
20,46,242.41091008794928,218.80656094720143,23.65589896860123,296.35081017123304,ActiveLearning,Continuing
21,49,242.91509227554656,225.08337413817245,21.92531083954243,296.35081017123304,ActiveLearning,Continuing
22,41,220.5104016857166,212.08086130419542,27.73449799647749,296.35081017123304,ActiveLearning,Continuing
23,43,178.97379271834268,190.41900452009395,36.60272270415571,296.35081017123304,ActiveLearning,Continuing
24,57,296.35081017123304,195.2554234857671,23.633565297008065,296.35081017123304,ActiveLearning,Max Elastic Modulus_mean in Dataset reached
