Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Elastic Modulus_mean in Dataset,Phase,Stopping Reason
0,1,71.68894182884907,,,296.35081017123304,WarmStart,WarmStart
1,4,109.60733027971378,,,296.35081017123304,WarmStart,WarmStart
2,5,95.3466236160471,,,296.35081017123304,WarmStart,WarmStart
3,8,242.7128680778461,,,296.35081017123304,WarmStart,WarmStart
4,9,233.7243724057668,,,296.35081017123304,WarmStart,WarmStart
5,10,95.58773206251,,,296.35081017123304,WarmStart,WarmStart
6,11,24.71538796928362,,,296.35081017123304,WarmStart,WarmStart
7,12,51.16844398555743,,,296.35081017123304,WarmStart,WarmStart
8,17,106.8193434000782,,,296.35081017123304,WarmStart,WarmStart
9,19,56.88500845389184,,,296.35081017123304,WarmStart,WarmStart
10,20,45.87195384392433,,,296.35081017123304,WarmStart,WarmStart
11,21,50.104313602035774,,,296.35081017123304,WarmStart,WarmStart
12,22,73.67122147772203,,,296.35081017123304,WarmStart,WarmStart
13,24,98.05789122606568,,,296.35081017123304,WarmStart,WarmStart
14,25,39.13465426900338,,,296.35081017123304,WarmStart,WarmStart
15,27,141.45379911190125,,,296.35081017123304,WarmStart,WarmStart
16,40,162.77817832797786,,,296.35081017123304,WarmStart,WarmStart
17,50,174.66437205644556,,,296.35081017123304,WarmStart,WarmStart
18,54,197.8404462303588,,,296.35081017123304,WarmStart,WarmStart
19,55,168.33383829683325,,,296.35081017123304,WarmStart,WarmStart
20,56,175.8319549576918,,,296.35081017123304,WarmStart,WarmStart
21,65,90.99870959544364,,,296.35081017123304,WarmStart,WarmStart
22,67,55.10215022969636,,,296.35081017123304,WarmStart,WarmStart
23,68,65.48719407925006,,,296.35081017123304,WarmStart,WarmStart
24,69,110.69482106635698,,,296.35081017123304,WarmStart,WarmStart
25,70,172.0732296612731,,,296.35081017123304,WarmStart,WarmStart
26,72,189.441220061326,,,296.35081017123304,WarmStart,WarmStart
27,49,242.91509227554656,231.49818679389364,36.79447005740966,296.35081017123304,ActiveLearning,Continuing
28,53,228.310761552046,168.2882270738255,100.41816648586277,296.35081017123304,ActiveLearning,Continuing
29,46,242.41091008794928,240.2199718339999,24.725604975329418,296.35081017123304,ActiveLearning,Continuing
30,45,224.5706110108938,241.25067267439363,22.13746633697325,296.35081017123304,ActiveLearning,Continuing
31,52,231.07458974395303,236.38277926193348,21.174574833725245,296.35081017123304,ActiveLearning,Continuing
32,42,179.2410423946837,212.97064411931842,29.79767242632185,296.35081017123304,ActiveLearning,Continuing
33,41,220.5104016857166,202.89412635347827,24.320839461439206,296.35081017123304,ActiveLearning,Continuing
34,58,211.5086541241532,169.32994664925639,49.02119305101132,296.35081017123304,ActiveLearning,Continuing
35,60,272.2240045816517,202.6513052665939,25.517874204126418,296.35081017123304,ActiveLearning,Continuing
36,59,219.61643412334288,230.59358887958115,23.96960974388039,296.35081017123304,ActiveLearning,Continuing
37,57,296.35081017123304,198.54962611300758,27.278498407467932,296.35081017123304,ActiveLearning,Max Elastic Modulus_mean in Dataset reached
