Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Elastic Modulus_mean in Dataset,Phase,Stopping Reason
0,1,71.68894182884907,,,296.35081017123304,WarmStart,WarmStart
1,7,117.40631603510326,,,296.35081017123304,WarmStart,WarmStart
2,8,242.7128680778461,,,296.35081017123304,WarmStart,WarmStart
3,12,51.16844398555743,,,296.35081017123304,WarmStart,WarmStart
4,18,74.82276309333224,,,296.35081017123304,WarmStart,WarmStart
5,50,174.66437205644556,,,296.35081017123304,WarmStart,WarmStart
6,51,181.925661105008,,,296.35081017123304,WarmStart,WarmStart
7,55,168.33383829683325,,,296.35081017123304,WarmStart,WarmStart
8,56,175.8319549576918,,,296.35081017123304,WarmStart,WarmStart
9,72,189.441220061326,136.35967297564625,67.94849517773751,296.35081017123304,ActiveLearning,Continuing
10,53,228.310761552046,166.17862677004263,89.82216369681834,296.35081017123304,ActiveLearning,Continuing
11,71,270.69323356331364,216.22005766770593,53.28373225452155,296.35081017123304,ActiveLearning,Continuing
12,42,179.2410423946837,158.61656241734772,113.7119084370935,296.35081017123304,ActiveLearning,Continuing
13,68,65.48719407925006,203.50974528720354,45.29990675090149,296.35081017123304,ActiveLearning,Continuing
14,49,242.91509227554656,195.4469442227978,53.15623032042052,296.35081017123304,ActiveLearning,Continuing
15,45,224.5706110108938,220.5920700438611,43.36167568116014,296.35081017123304,ActiveLearning,Continuing
16,46,242.41091008794928,223.8136472400504,36.89577809821761,296.35081017123304,ActiveLearning,Continuing
17,9,233.7243724057668,239.0782056252332,12.87874744390254,296.35081017123304,ActiveLearning,Continuing
18,52,231.07458974395303,233.44356763012684,9.786763754807104,296.35081017123304,ActiveLearning,Continuing
19,70,172.0732296612731,195.9522345814488,41.51123223809187,296.35081017123304,ActiveLearning,Continuing
20,58,211.5086541241532,158.04112266046104,75.18766112728143,296.35081017123304,ActiveLearning,Continuing
21,57,296.35081017123304,207.53857523431813,26.676294400140844,296.35081017123304,ActiveLearning,Max Elastic Modulus_mean in Dataset reached
