Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Elastic Modulus_mean in Dataset,Phase,Stopping Reason
0,49,242.91509227554656,,,296.35081017123304,WarmStart,WarmStart
1,50,174.66437205644556,,,296.35081017123304,WarmStart,WarmStart
2,51,181.925661105008,,,296.35081017123304,WarmStart,WarmStart
3,55,168.33383829683325,,,296.35081017123304,WarmStart,WarmStart
4,56,175.8319549576918,,,296.35081017123304,WarmStart,WarmStart
5,45,224.5706110108938,222.55917176149313,68.250720219101,296.35081017123304,ActiveLearning,Continuing
6,17,106.8193434000782,231.4114075295437,68.250720219101,296.35081017123304,ActiveLearning,Continuing
7,46,242.41091008794928,223.78667621447855,64.65638214006259,296.35081017123304,ActiveLearning,Continuing
8,52,231.07458974395303,233.0386813975205,18.344481264652757,296.35081017123304,ActiveLearning,Continuing
9,53,228.310761552046,207.39106504968012,136.09574887546836,296.35081017123304,ActiveLearning,Continuing
10,35,207.09310351510177,187.24074372546568,135.59156668787108,296.35081017123304,ActiveLearning,Continuing
11,41,220.5104016857166,201.79315230508658,126.67141714934334,296.35081017123304,ActiveLearning,Continuing
12,28,147.00005295683096,189.85104150418948,113.6910582856384,296.35081017123304,ActiveLearning,Continuing
13,44,159.30709474405634,181.38076201648136,56.72674437548807,296.35081017123304,ActiveLearning,Continuing
14,57,296.35081017123304,177.3724194269874,13.591822808174754,296.35081017123304,ActiveLearning,Max Elastic Modulus_mean in Dataset reached
