Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Elastic Modulus_mean in Dataset,Phase,Stopping Reason
0,17,106.8193434000782,,,296.35081017123304,WarmStart,WarmStart
1,18,74.82276309333224,,,296.35081017123304,WarmStart,WarmStart
2,19,56.88500845389184,,,296.35081017123304,WarmStart,WarmStart
3,38,182.9546167355371,,,296.35081017123304,WarmStart,WarmStart
4,50,174.66437205644556,,,296.35081017123304,WarmStart,WarmStart
5,55,168.33383829683325,,,296.35081017123304,WarmStart,WarmStart
6,63,228.4671903908735,168.00633290922076,108.13185364220485,296.35081017123304,ActiveLearning,Continuing
7,43,178.97379271834268,203.9794152246501,153.64442729754126,296.35081017123304,ActiveLearning,Continuing
8,70,172.0732296612731,211.3571599111612,53.80281833442794,296.35081017123304,ActiveLearning,Continuing
9,40,162.77817832797786,195.85912182681753,153.64442729754126,296.35081017123304,ActiveLearning,Continuing
10,62,277.3861208337041,201.236456392542,60.13335209404025,296.35081017123304,ActiveLearning,Continuing
11,56,175.8319549576918,250.4874158049559,102.72174877725857,296.35081017123304,ActiveLearning,Continuing
12,7,117.40631603510326,203.81260385631083,114.60794250572627,296.35081017123304,ActiveLearning,Continuing
13,61,201.80400290446065,198.96805340733502,114.60794250572627,296.35081017123304,ActiveLearning,Continuing
14,45,224.5706110108938,177.96998195412831,170.56677743362593,296.35081017123304,ActiveLearning,Continuing
15,46,242.41091008794928,206.94057508275506,56.23677271406055,296.35081017123304,ActiveLearning,Continuing
16,52,231.07458974395303,228.84300954106234,67.74653803150372,296.35081017123304,ActiveLearning,Continuing
17,49,242.91509227554656,215.9835314477276,67.74653803150372,296.35081017123304,ActiveLearning,Continuing
18,53,228.310761552046,206.69744529134138,136.09574887546836,296.35081017123304,ActiveLearning,Continuing
19,41,220.5104016857166,199.82562055739942,167.58814699461703,296.35081017123304,ActiveLearning,Continuing
20,44,159.30709474405634,197.29831466988566,105.31289117243102,296.35081017123304,ActiveLearning,Continuing
21,37,152.72295816440803,171.58156213997384,202.56335774037188,296.35081017123304,ActiveLearning,Continuing
22,51,181.925661105008,178.3975889057117,83.60799753149021,296.35081017123304,ActiveLearning,Continuing
23,35,207.09310351510177,170.71635795869105,156.25182665062079,296.35081017123304,ActiveLearning,Continuing
24,39,140.76871335709305,178.27823308972364,111.06087435577024,296.35081017123304,ActiveLearning,Continuing
25,72,189.441220061326,175.67502258412406,69.16009564681715,296.35081017123304,ActiveLearning,Continuing
26,42,179.2410423946837,175.2801693567186,30.13412531726965,296.35081017123304,ActiveLearning,Continuing
27,27,141.45379911190125,167.13574596047118,168.98921691418627,296.35081017123304,ActiveLearning,Continuing
28,57,296.35081017123304,176.95166265354612,42.4969081604043,296.35081017123304,ActiveLearning,Max Elastic Modulus_mean in Dataset reached
