Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Elastic Modulus_mean in Dataset,Phase,Stopping Reason
0,12,51.16844398555743,,,296.35081017123304,WarmStart,WarmStart
1,16,28.08588319590436,,,296.35081017123304,WarmStart,WarmStart
2,18,74.82276309333224,,,296.35081017123304,WarmStart,WarmStart
3,19,56.88500845389184,,,296.35081017123304,WarmStart,WarmStart
4,20,45.87195384392433,,,296.35081017123304,WarmStart,WarmStart
5,30,42.124759091300646,,,296.35081017123304,WarmStart,WarmStart
6,49,242.91509227554656,,,296.35081017123304,WarmStart,WarmStart
7,50,174.66437205644556,,,296.35081017123304,WarmStart,WarmStart
8,51,181.925661105008,,,296.35081017123304,WarmStart,WarmStart
9,55,168.33383829683325,,,296.35081017123304,WarmStart,WarmStart
10,56,175.8319549576918,,,296.35081017123304,WarmStart,WarmStart
11,45,224.5706110108938,221.57914143468506,68.250720219101,296.35081017123304,ActiveLearning,Continuing
12,53,228.310761552046,225.49551961118314,74.5812539787133,296.35081017123304,ActiveLearning,Continuing
13,46,242.41091008794928,225.85259257115368,63.4098608533927,296.35081017123304,ActiveLearning,Continuing
14,41,220.5104016857166,222.92149495284565,168.0923291822143,296.35081017123304,ActiveLearning,Continuing
15,52,231.07458974395303,233.80627896276582,18.344481264652757,296.35081017123304,ActiveLearning,Continuing
16,35,207.09310351510177,180.03938435533618,202.98870654804867,296.35081017123304,ActiveLearning,Continuing
17,44,159.30709474405634,181.69263921344137,56.41021768750747,296.35081017123304,ActiveLearning,Continuing
18,57,296.35081017123304,176.53295625222475,13.591822808174754,296.35081017123304,ActiveLearning,Max Elastic Modulus_mean in Dataset reached
