Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Elastic Modulus_mean in Dataset,Phase,Stopping Reason
0,1,71.68894182884907,,,296.35081017123304,WarmStart,WarmStart
1,4,109.60733027971378,,,296.35081017123304,WarmStart,WarmStart
2,5,95.3466236160471,,,296.35081017123304,WarmStart,WarmStart
3,10,95.58773206251,,,296.35081017123304,WarmStart,WarmStart
4,12,51.16844398555743,,,296.35081017123304,WarmStart,WarmStart
5,17,106.8193434000782,,,296.35081017123304,WarmStart,WarmStart
6,19,56.88500845389184,,,296.35081017123304,WarmStart,WarmStart
7,20,45.87195384392433,,,296.35081017123304,WarmStart,WarmStart
8,21,50.104313602035774,,,296.35081017123304,WarmStart,WarmStart
9,30,42.124759091300646,,,296.35081017123304,WarmStart,WarmStart
10,40,162.77817832797786,,,296.35081017123304,WarmStart,WarmStart
11,41,220.5104016857166,,,296.35081017123304,WarmStart,WarmStart
12,42,179.2410423946837,,,296.35081017123304,WarmStart,WarmStart
13,49,242.91509227554656,,,296.35081017123304,WarmStart,WarmStart
14,50,174.66437205644556,,,296.35081017123304,WarmStart,WarmStart
15,51,181.925661105008,,,296.35081017123304,WarmStart,WarmStart
16,52,231.07458974395303,,,296.35081017123304,WarmStart,WarmStart
17,54,197.8404462303588,,,296.35081017123304,WarmStart,WarmStart
18,55,168.33383829683325,,,296.35081017123304,WarmStart,WarmStart
19,56,175.8319549576918,,,296.35081017123304,WarmStart,WarmStart
20,57,296.35081017123304,,,296.35081017123304,WarmStart,WarmStart
21,58,211.5086541241532,,,296.35081017123304,WarmStart,WarmStart
22,64,95.81586876001889,,,296.35081017123304,WarmStart,WarmStart
23,65,90.99870959544364,,,296.35081017123304,WarmStart,WarmStart
24,67,55.10215022969636,,,296.35081017123304,WarmStart,WarmStart
25,68,65.48719407925006,,,296.35081017123304,WarmStart,WarmStart
26,69,110.69482106635698,,,296.35081017123304,WarmStart,WarmStart
27,70,172.0732296612731,,,296.35081017123304,WarmStart,WarmStart
28,71,270.69323356331364,,,296.35081017123304,WarmStart,WarmStart
29,72,189.441220061326,,,296.35081017123304,WarmStart,WarmStart
30,53,228.310761552046,273.4807523263138,65.27622042728001,296.35081017123304,ActiveLearning,Continuing
31,59,219.61643412334288,226.2025648597695,128.0169718743998,296.35081017123304,ActiveLearning,Continuing
32,45,224.5706110108938,229.31659039605478,64.62007569481975,296.35081017123304,ActiveLearning,Continuing
33,46,242.41091008794928,226.89569665513764,18.344481264652757,296.35081017123304,ActiveLearning,Continuing
34,8,242.7128680778461,213.53509317857421,103.64227409687518,296.35081017123304,ActiveLearning,Continuing
35,9,233.7243724057668,233.9521275875299,96.02886150686808,296.35081017123304,ActiveLearning,Continuing
36,47,188.5569729101656,223.24561491153716,96.02886150686808,296.35081017123304,ActiveLearning,Continuing
37,60,272.2240045816517,206.62275543218476,124.27758050995993,296.35081017123304,ActiveLearning,Continuing
38,48,171.00469374345903,201.150881219575,60.787206972838106,296.35081017123304,ActiveLearning,Continuing
39,44,159.30709474405634,189.3105165043081,97.55963252520613,296.35081017123304,ActiveLearning,Continuing
40,43,178.97379271834268,176.986071156118,30.13412531726965,296.35081017123304,ActiveLearning,Continuing
41,61,201.80400290446065,172.73889346493522,18.987921836670438,296.35081017123304,ActiveLearning,Continuing
42,62,277.3861208337041,171.13499792920015,22.61856636095166,296.35081017123304,ActiveLearning,Continuing
43,63,228.4671903908735,217.90489839182192,118.07902608964778,296.35081017123304,ActiveLearning,Continuing
44,7,117.40631603510326,139.6601481803758,206.52651858481266,296.35081017123304,ActiveLearning,Continuing
45,38,182.9546167355371,117.99033753423969,235.2613617424035,296.35081017123304,ActiveLearning,Continuing
46,37,152.72295816440803,154.3590454496148,151.69968930242487,296.35081017123304,ActiveLearning,Continuing
47,39,140.76871335709305,158.44609479345482,72.25979566918012,296.35081017123304,ActiveLearning,Continuing
