Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Elastic Modulus_mean in Dataset,Phase,Stopping Reason
0,1,71.68894182884907,,,296.35081017123304,WarmStart,WarmStart
1,2,66.30151481091211,,,296.35081017123304,WarmStart,WarmStart
2,4,109.60733027971378,,,296.35081017123304,WarmStart,WarmStart
3,5,95.3466236160471,,,296.35081017123304,WarmStart,WarmStart
4,6,204.17680289774336,,,296.35081017123304,WarmStart,WarmStart
5,8,242.7128680778461,,,296.35081017123304,WarmStart,WarmStart
6,9,233.7243724057668,,,296.35081017123304,WarmStart,WarmStart
7,10,95.58773206251,,,296.35081017123304,WarmStart,WarmStart
8,12,51.16844398555743,,,296.35081017123304,WarmStart,WarmStart
9,17,106.8193434000782,,,296.35081017123304,WarmStart,WarmStart
10,19,56.88500845389184,,,296.35081017123304,WarmStart,WarmStart
11,20,45.87195384392433,,,296.35081017123304,WarmStart,WarmStart
12,24,98.05789122606568,,,296.35081017123304,WarmStart,WarmStart
13,31,119.79704241922371,,,296.35081017123304,WarmStart,WarmStart
14,32,106.70108583654164,,,296.35081017123304,WarmStart,WarmStart
15,40,162.77817832797786,,,296.35081017123304,WarmStart,WarmStart
16,41,220.5104016857166,,,296.35081017123304,WarmStart,WarmStart
17,42,179.2410423946837,,,296.35081017123304,WarmStart,WarmStart
18,45,224.5706110108938,,,296.35081017123304,WarmStart,WarmStart
19,50,174.66437205644556,,,296.35081017123304,WarmStart,WarmStart
20,51,181.925661105008,,,296.35081017123304,WarmStart,WarmStart
21,52,231.07458974395303,,,296.35081017123304,WarmStart,WarmStart
22,54,197.8404462303588,,,296.35081017123304,WarmStart,WarmStart
23,55,168.33383829683325,,,296.35081017123304,WarmStart,WarmStart
24,64,95.81586876001889,,,296.35081017123304,WarmStart,WarmStart
25,67,55.10215022969636,,,296.35081017123304,WarmStart,WarmStart
26,68,65.48719407925006,,,296.35081017123304,WarmStart,WarmStart
27,69,110.69482106635698,,,296.35081017123304,WarmStart,WarmStart
28,70,172.0732296612731,,,296.35081017123304,WarmStart,WarmStart
29,72,189.441220061326,,,296.35081017123304,WarmStart,WarmStart
30,53,228.310761552046,228.17865665359943,45.29238315593892,296.35081017123304,ActiveLearning,Continuing
31,46,242.41091008794928,222.85895199630076,49.14892863894502,296.35081017123304,ActiveLearning,Continuing
32,49,242.91509227554656,231.1133507749613,21.900508402232674,296.35081017123304,ActiveLearning,Continuing
33,47,188.5569729101656,213.30245924423554,68.04849602140055,296.35081017123304,ActiveLearning,Continuing
34,71,270.69323356331364,209.62411718036228,70.639638416573,296.35081017123304,ActiveLearning,Continuing
35,48,171.00469374345903,202.22709045264574,64.41785149711933,296.35081017123304,ActiveLearning,Continuing
36,61,201.80400290446065,179.1581532858992,41.3986245697655,296.35081017123304,ActiveLearning,Continuing
37,56,175.8319549576918,188.27503954605353,41.3986245697655,296.35081017123304,ActiveLearning,Continuing
38,62,277.3861208337041,179.25807785077137,33.583434925058356,296.35081017123304,ActiveLearning,Continuing
39,63,228.4671903908735,224.85903246227713,114.60794250572627,296.35081017123304,ActiveLearning,Continuing
40,38,182.9546167355371,196.12292093877775,181.5937143308838,296.35081017123304,ActiveLearning,Continuing
41,7,117.40631603510326,190.64465615001416,182.03949721765701,296.35081017123304,ActiveLearning,Continuing
42,44,159.30709474405634,188.65669904592812,102.72174877725857,296.35081017123304,ActiveLearning,Continuing
43,37,152.72295816440803,185.85502329689544,84.37976047851967,296.35081017123304,ActiveLearning,Continuing
44,43,178.97379271834268,177.72875689933417,69.16009564681715,296.35081017123304,ActiveLearning,Continuing
45,57,296.35081017123304,177.62519125123382,29.506607933525544,296.35081017123304,ActiveLearning,Max Elastic Modulus_mean in Dataset reached
