Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Elastic Modulus_mean in Dataset,Phase,Stopping Reason
0,1,71.68894182884907,,,296.35081017123304,WarmStart,WarmStart
1,4,109.60733027971378,,,296.35081017123304,WarmStart,WarmStart
2,5,95.3466236160471,,,296.35081017123304,WarmStart,WarmStart
3,6,204.17680289774336,,,296.35081017123304,WarmStart,WarmStart
4,8,242.7128680778461,,,296.35081017123304,WarmStart,WarmStart
5,9,233.7243724057668,,,296.35081017123304,WarmStart,WarmStart
6,10,95.58773206251,,,296.35081017123304,WarmStart,WarmStart
7,11,24.71538796928362,,,296.35081017123304,WarmStart,WarmStart
8,12,51.16844398555743,,,296.35081017123304,WarmStart,WarmStart
9,13,35.102261317001975,,,296.35081017123304,WarmStart,WarmStart
10,17,106.8193434000782,,,296.35081017123304,WarmStart,WarmStart
11,19,56.88500845389184,,,296.35081017123304,WarmStart,WarmStart
12,20,45.87195384392433,,,296.35081017123304,WarmStart,WarmStart
13,27,141.45379911190125,,,296.35081017123304,WarmStart,WarmStart
14,49,242.91509227554656,,,296.35081017123304,WarmStart,WarmStart
15,50,174.66437205644556,,,296.35081017123304,WarmStart,WarmStart
16,54,197.8404462303588,,,296.35081017123304,WarmStart,WarmStart
17,55,168.33383829683325,,,296.35081017123304,WarmStart,WarmStart
18,56,175.8319549576918,,,296.35081017123304,WarmStart,WarmStart
19,58,211.5086541241532,,,296.35081017123304,WarmStart,WarmStart
20,65,90.99870959544364,,,296.35081017123304,WarmStart,WarmStart
21,68,65.48719407925006,,,296.35081017123304,WarmStart,WarmStart
22,69,110.69482106635698,,,296.35081017123304,WarmStart,WarmStart
23,72,189.441220061326,,,296.35081017123304,WarmStart,WarmStart
24,53,228.310761552046,227.37339166501235,74.5812539787133,296.35081017123304,ActiveLearning,Continuing
25,47,188.5569729101656,223.44761191174968,68.04849602140055,296.35081017123304,ActiveLearning,Continuing
26,41,220.5104016857166,191.53755105766086,132.22027120918958,296.35081017123304,ActiveLearning,Continuing
27,45,224.5706110108938,224.94945434911864,68.250720219101,296.35081017123304,ActiveLearning,Continuing
28,46,242.41091008794928,224.12913269587906,68.250720219101,296.35081017123304,ActiveLearning,Continuing
29,71,270.69323356331364,217.20679560121076,68.04849602140055,296.35081017123304,ActiveLearning,Continuing
30,70,172.0732296612731,193.82839311412695,96.02886150686808,296.35081017123304,ActiveLearning,Continuing
31,52,231.07458974395303,232.1105486721851,18.344481264652757,296.35081017123304,ActiveLearning,Continuing
32,48,171.00469374345903,202.16363279085678,68.04849602140055,296.35081017123304,ActiveLearning,Continuing
33,37,152.72295816440803,164.99356163751196,113.17809330229971,296.35081017123304,ActiveLearning,Continuing
34,7,117.40631603510326,166.1198547989917,108.83017928169629,296.35081017123304,ActiveLearning,Continuing
35,59,219.61643412334288,198.08476043694412,43.17481582731995,296.35081017123304,ActiveLearning,Continuing
36,60,272.2240045816517,206.0156962610405,51.282595826509635,296.35081017123304,ActiveLearning,Continuing
37,57,296.35081017123304,215.5265970882692,97.55963252520613,296.35081017123304,ActiveLearning,Max Elastic Modulus_mean in Dataset reached
