Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Elastic Modulus_mean in Dataset,Phase,Stopping Reason
0,1,71.68894182884907,,,296.35081017123304,WarmStart,WarmStart
1,4,109.60733027971378,,,296.35081017123304,WarmStart,WarmStart
2,5,95.3466236160471,,,296.35081017123304,WarmStart,WarmStart
3,10,95.58773206251,,,296.35081017123304,WarmStart,WarmStart
4,12,51.16844398555743,,,296.35081017123304,WarmStart,WarmStart
5,17,106.8193434000782,,,296.35081017123304,WarmStart,WarmStart
6,20,45.87195384392433,,,296.35081017123304,WarmStart,WarmStart
7,49,242.91509227554656,,,296.35081017123304,WarmStart,WarmStart
8,50,174.66437205644556,,,296.35081017123304,WarmStart,WarmStart
9,51,181.925661105008,,,296.35081017123304,WarmStart,WarmStart
10,54,197.8404462303588,,,296.35081017123304,WarmStart,WarmStart
11,55,168.33383829683325,,,296.35081017123304,WarmStart,WarmStart
12,56,175.8319549576918,,,296.35081017123304,WarmStart,WarmStart
13,68,65.48719407925006,,,296.35081017123304,WarmStart,WarmStart
14,69,110.69482106635698,,,296.35081017123304,WarmStart,WarmStart
15,41,220.5104016857166,145.76001083337823,147.56846865949944,296.35081017123304,ActiveLearning,Continuing
16,53,228.310761552046,217.73412784953194,74.5812539787133,296.35081017123304,ActiveLearning,Continuing
17,52,231.07458974395303,230.50296219820987,65.37040889650459,296.35081017123304,ActiveLearning,Continuing
18,45,224.5706110108938,235.69814659552642,45.07464604518776,296.35081017123304,ActiveLearning,Continuing
19,37,152.72295816440803,119.0206517763172,136.05370726108367,296.35081017123304,ActiveLearning,Continuing
20,35,207.09310351510177,113.06787505708454,155.02320760646654,296.35081017123304,ActiveLearning,Continuing
21,42,179.2410423946837,172.84828071747089,87.14562516400181,296.35081017123304,ActiveLearning,Continuing
22,71,270.69323356331364,172.3506381596323,87.14562516400181,296.35081017123304,ActiveLearning,Continuing
23,70,172.0732296612731,198.1406184772253,159.99841249695666,296.35081017123304,ActiveLearning,Continuing
24,72,189.441220061326,167.0825016069521,159.99841249695666,296.35081017123304,ActiveLearning,Continuing
25,8,242.7128680778461,217.04536982409303,96.15841862662668,296.35081017123304,ActiveLearning,Continuing
26,9,233.7243724057668,234.01828032749884,92.39821698258686,296.35081017123304,ActiveLearning,Continuing
27,47,188.5569729101656,225.12705561028162,69.6396272834881,296.35081017123304,ActiveLearning,Continuing
28,7,117.40631603510326,154.02810109637093,112.94555421049616,296.35081017123304,ActiveLearning,Continuing
29,28,147.00005295683096,113.47813569003287,155.92465952954433,296.35081017123304,ActiveLearning,Continuing
30,48,171.00469374345903,199.51475302375485,60.787206972838106,296.35081017123304,ActiveLearning,Continuing
31,46,242.41091008794928,228.68821137758624,18.344481264652757,296.35081017123304,ActiveLearning,Continuing
32,34,88.47667256854467,136.61092183936807,111.74647989905468,296.35081017123304,ActiveLearning,Continuing
33,27,141.45379911190125,113.21323312154477,161.22114967117744,296.35081017123304,ActiveLearning,Continuing
34,18,74.82276309333224,120.7447726438144,155.92465952954433,296.35081017123304,ActiveLearning,Continuing
35,40,162.77817832797786,172.2926423778072,78.74639899496901,296.35081017123304,ActiveLearning,Continuing
36,31,119.79704241922371,117.68574050430752,101.5545141788506,296.35081017123304,ActiveLearning,Continuing
37,36,120.1628705347832,117.21141428558413,101.84714166546932,296.35081017123304,ActiveLearning,Continuing
38,58,211.5086541241532,176.77996238545975,29.506607933525544,296.35081017123304,ActiveLearning,Continuing
39,59,219.61643412334288,198.44166051491823,43.17481582731995,296.35081017123304,ActiveLearning,Continuing
40,60,272.2240045816517,207.2134708943981,51.282595826509635,296.35081017123304,ActiveLearning,Continuing
41,57,296.35081017123304,214.20023808207603,96.39204962395988,296.35081017123304,ActiveLearning,Max Elastic Modulus_mean in Dataset reached
