Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Elastic Modulus_mean in Dataset,Phase,Stopping Reason
0,8,242.7128680778461,,,296.35081017123304,WarmStart,WarmStart
1,15,48.22854697312115,,,296.35081017123304,WarmStart,WarmStart
2,16,28.08588319590436,,,296.35081017123304,WarmStart,WarmStart
3,21,50.104313602035774,,,296.35081017123304,WarmStart,WarmStart
4,22,73.67122147772203,,,296.35081017123304,WarmStart,WarmStart
5,23,53.46447392343188,,,296.35081017123304,WarmStart,WarmStart
6,28,147.00005295683096,,,296.35081017123304,WarmStart,WarmStart
7,29,51.50598562924656,,,296.35081017123304,WarmStart,WarmStart
8,30,42.124759091300646,,,296.35081017123304,WarmStart,WarmStart
9,50,174.66437205644556,,,296.35081017123304,WarmStart,WarmStart
10,51,181.925661105008,,,296.35081017123304,WarmStart,WarmStart
11,55,168.33383829683325,,,296.35081017123304,WarmStart,WarmStart
12,56,175.8319549576918,,,296.35081017123304,WarmStart,WarmStart
13,69,110.69482106635698,165.7043460042811,135.18846563255062,296.35081017123304,ActiveLearning,Continuing
14,6,204.17680289774336,144.16001392323062,192.60855447581034,296.35081017123304,ActiveLearning,Continuing
15,7,117.40631603510326,178.05534248060263,169.04164660012407,296.35081017123304,ActiveLearning,Continuing
16,9,233.7243724057668,216.08996183755647,125.30655204274285,296.35081017123304,ActiveLearning,Continuing
17,71,270.69323356331364,204.19604640074562,132.01804701148913,296.35081017123304,ActiveLearning,Continuing
18,53,228.310761552046,234.4400845659442,102.35939526648039,296.35081017123304,ActiveLearning,Continuing
19,68,65.48719407925006,78.35736306261582,242.60735036740928,296.35081017123304,ActiveLearning,Continuing
20,47,188.5569729101656,229.3779167996877,74.37902978101286,296.35081017123304,ActiveLearning,Continuing
21,37,152.72295816440803,164.62232259117866,150.81025338902077,296.35081017123304,ActiveLearning,Continuing
22,39,140.76871335709305,135.02581952824383,135.8734904861119,296.35081017123304,ActiveLearning,Continuing
23,34,88.47667256854467,98.04306756975427,162.05204380644273,296.35081017123304,ActiveLearning,Continuing
24,40,162.77817832797786,144.70070441905284,115.70013032919869,296.35081017123304,ActiveLearning,Continuing
25,48,171.00469374345903,203.18700176349608,54.15589516768051,296.35081017123304,ActiveLearning,Continuing
26,42,179.2410423946837,169.0770409098831,71.23084003865102,296.35081017123304,ActiveLearning,Continuing
27,70,172.0732296612731,169.95050827701925,71.23084003865102,296.35081017123304,ActiveLearning,Continuing
28,72,189.441220061326,164.75548915631617,68.54622132832671,296.35081017123304,ActiveLearning,Continuing
29,4,109.60733027971378,74.21472337682756,154.07248929570758,296.35081017123304,ActiveLearning,Continuing
30,36,120.1628705347832,93.56357177677592,134.6922951320735,296.35081017123304,ActiveLearning,Continuing
31,61,201.80400290446065,174.7639031803005,51.45384473333533,296.35081017123304,ActiveLearning,Continuing
32,35,207.09310351510177,122.65742079051525,98.7715059837098,296.35081017123304,ActiveLearning,Continuing
33,41,220.5104016857166,173.41443261546246,89.68678747999851,296.35081017123304,ActiveLearning,Continuing
34,52,231.07458974395303,201.02443422391178,45.846029629271044,296.35081017123304,ActiveLearning,Continuing
35,45,224.5706110108938,219.24693319789495,56.41021768750747,296.35081017123304,ActiveLearning,Continuing
36,49,242.91509227554656,221.43448145321798,51.56935832179917,296.35081017123304,ActiveLearning,Continuing
37,46,242.41091008794928,228.89890109312972,22.404690589829954,296.35081017123304,ActiveLearning,Continuing
38,27,141.45379911190125,97.79013332689287,118.9141697609266,296.35081017123304,ActiveLearning,Continuing
39,18,74.82276309333224,109.31870641570735,118.9141697609266,296.35081017123304,ActiveLearning,Continuing
40,57,296.35081017123304,180.21213943777641,33.470164607627396,296.35081017123304,ActiveLearning,Max Elastic Modulus_mean in Dataset reached
