Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Elastic Modulus_mean in Dataset,Phase,Stopping Reason
0,29,51.50598562924656,,,296.35081017123304,WarmStart,WarmStart
1,50,174.66437205644556,,,296.35081017123304,WarmStart,WarmStart
2,51,181.925661105008,,,296.35081017123304,WarmStart,WarmStart
3,54,197.8404462303588,,,296.35081017123304,WarmStart,WarmStart
4,55,168.33383829683325,,,296.35081017123304,WarmStart,WarmStart
5,56,175.8319549576918,,,296.35081017123304,WarmStart,WarmStart
6,8,242.7128680778461,151.60689602178013,146.33446060111223,296.35081017123304,ActiveLearning,Continuing
7,9,233.7243724057668,207.01298044466913,191.20688244859954,296.35081017123304,ActiveLearning,Continuing
8,0,81.74085575257114,188.4941336445201,191.20688244859954,296.35081017123304,ActiveLearning,Continuing
9,71,270.69323356331364,202.62528431428535,160.972012325275,296.35081017123304,ActiveLearning,Continuing
10,47,188.5569729101656,214.85598837630965,188.95237781074252,296.35081017123304,ActiveLearning,Continuing
11,69,110.69482106635698,162.01350301821714,219.18724793406707,296.35081017123304,ActiveLearning,Continuing
12,53,228.310761552046,227.2477761881706,102.35939526648039,296.35081017123304,ActiveLearning,Continuing
13,68,65.48719407925006,101.38860684081108,219.18724793406707,296.35081017123304,ActiveLearning,Continuing
14,1,71.68894182884907,107.19897161436876,186.71263461255987,296.35081017123304,ActiveLearning,Continuing
15,48,171.00469374345903,202.91018181315422,54.15589516768051,296.35081017123304,ActiveLearning,Continuing
16,41,220.5104016857166,120.78002630979223,130.41967547576144,296.35081017123304,ActiveLearning,Continuing
17,40,162.77817832797786,173.51667193711455,169.00441605647003,296.35081017123304,ActiveLearning,Continuing
18,39,140.76871335709305,112.9679497975132,169.00441605647003,296.35081017123304,ActiveLearning,Continuing
19,35,207.09310351510177,124.27281460794582,169.00441605647003,296.35081017123304,ActiveLearning,Continuing
20,34,88.47667256854467,144.50166719201746,155.5871178858552,296.35081017123304,ActiveLearning,Continuing
21,43,178.97379271834268,175.61793691917356,109.81558061935962,296.35081017123304,ActiveLearning,Continuing
22,70,172.0732296612731,175.9583371958037,109.81558061935962,296.35081017123304,ActiveLearning,Continuing
23,7,117.40631603510326,144.69208200135947,132.03372911717193,296.35081017123304,ActiveLearning,Continuing
24,18,74.82276309333224,116.0345784110222,155.5871178858552,296.35081017123304,ActiveLearning,Continuing
25,36,120.1628705347832,123.60585387202613,132.27034042176953,296.35081017123304,ActiveLearning,Continuing
26,28,147.00005295683096,97.63110015928034,155.5871178858552,296.35081017123304,ActiveLearning,Continuing
27,27,141.45379911190125,94.24048404195268,155.5871178858552,296.35081017123304,ActiveLearning,Continuing
28,49,242.91509227554656,198.49692523244437,45.846029629271044,296.35081017123304,ActiveLearning,Continuing
29,45,224.5706110108938,226.32373065670828,68.250720219101,296.35081017123304,ActiveLearning,Continuing
30,46,242.41091008794928,226.2516423316364,45.07464604518776,296.35081017123304,ActiveLearning,Continuing
31,52,231.07458974395303,232.92127940562594,18.344481264652757,296.35081017123304,ActiveLearning,Continuing
32,72,189.441220061326,179.6645818802752,98.62000390204054,296.35081017123304,ActiveLearning,Continuing
33,38,182.9546167355371,119.65692205009667,89.26272772784648,296.35081017123304,ActiveLearning,Continuing
34,37,152.72295816440803,147.2781375145977,94.47794416699242,296.35081017123304,ActiveLearning,Continuing
35,32,106.70108583654164,105.29664653805125,131.44863110629052,296.35081017123304,ActiveLearning,Continuing
36,6,204.17680289774336,133.21399424502079,94.47794416699242,296.35081017123304,ActiveLearning,Continuing
37,4,109.60733027971378,117.68427776557432,152.6708172684968,296.35081017123304,ActiveLearning,Continuing
38,61,201.80400290446065,171.0794365274787,51.45384473333533,296.35081017123304,ActiveLearning,Continuing
39,60,272.2240045816517,180.09525099640277,33.470164607627396,296.35081017123304,ActiveLearning,Continuing
40,58,211.5086541241532,234.67361699671645,103.89016628481843,296.35081017123304,ActiveLearning,Continuing
41,59,219.61643412334288,222.1889016925461,103.89016628481843,296.35081017123304,ActiveLearning,Continuing
42,57,296.35081017123304,211.77160902549167,97.55963252520613,296.35081017123304,ActiveLearning,Max Elastic Modulus_mean in Dataset reached
