Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Elastic Modulus_mean in Dataset,Phase,Stopping Reason
0,15,48.22854697312115,,,296.35081017123304,WarmStart,WarmStart
1,16,28.08588319590436,,,296.35081017123304,WarmStart,WarmStart
2,22,73.67122147772203,,,296.35081017123304,WarmStart,WarmStart
3,38,182.9546167355371,,,296.35081017123304,WarmStart,WarmStart
4,50,174.66437205644556,,,296.35081017123304,WarmStart,WarmStart
5,51,181.925661105008,,,296.35081017123304,WarmStart,WarmStart
6,55,168.33383829683325,,,296.35081017123304,WarmStart,WarmStart
7,56,175.8319549576918,,,296.35081017123304,WarmStart,WarmStart
8,71,270.69323356331364,,,296.35081017123304,WarmStart,WarmStart
9,72,189.441220061326,,,296.35081017123304,WarmStart,WarmStart
10,69,110.69482106635698,181.9429936003381,242.60735036740928,296.35081017123304,ActiveLearning,Continuing
11,68,65.48719407925006,149.7733887991051,242.60735036740928,296.35081017123304,ActiveLearning,Continuing
12,0,81.74085575257114,106.80013429225085,242.60735036740928,296.35081017123304,ActiveLearning,Continuing
13,70,172.0732296612731,189.4862248574523,159.99841249695666,296.35081017123304,ActiveLearning,Continuing
14,8,242.7128680778461,233.9897520013823,102.35939526648039,296.35081017123304,ActiveLearning,Continuing
15,53,228.310761552046,235.82437056799034,102.35939526648039,296.35081017123304,ActiveLearning,Continuing
16,9,233.7243724057668,235.63353341245468,96.15841862662668,296.35081017123304,ActiveLearning,Continuing
17,47,188.5569729101656,228.50597941075475,68.17805314115915,296.35081017123304,ActiveLearning,Continuing
18,40,162.77817832797786,131.73741076894123,154.86873353963273,296.35081017123304,ActiveLearning,Continuing
19,39,140.76871335709305,134.94111567365889,154.86873353963273,296.35081017123304,ActiveLearning,Continuing
20,37,152.72295816440803,163.06543643615518,109.28339525781506,296.35081017123304,ActiveLearning,Continuing
21,48,171.00469374345903,202.22287647420063,64.41785149711933,296.35081017123304,ActiveLearning,Continuing
22,35,207.09310351510177,83.60108117699176,143.98734646536874,296.35081017123304,ActiveLearning,Continuing
23,41,220.5104016857166,174.02936515592427,96.3982824487448,296.35081017123304,ActiveLearning,Continuing
24,34,88.47667256854467,129.3223950349509,179.00722031919742,296.35081017123304,ActiveLearning,Continuing
25,36,120.1628705347832,115.30648587800793,179.00722031919742,296.35081017123304,ActiveLearning,Continuing
26,27,141.45379911190125,75.11075766466847,179.00722031919742,296.35081017123304,ActiveLearning,Continuing
27,28,147.00005295683096,131.67627690515994,179.00722031919742,296.35081017123304,ActiveLearning,Continuing
28,5,95.3466236160471,106.40119952660875,154.86873353963273,296.35081017123304,ActiveLearning,Continuing
29,7,117.40631603510326,162.4635811112185,87.60799311948999,296.35081017123304,ActiveLearning,Continuing
30,49,242.91509227554656,201.36714341551297,45.846029629271044,296.35081017123304,ActiveLearning,Continuing
31,52,231.07458974395303,226.89438142069832,68.250720219101,296.35081017123304,ActiveLearning,Continuing
32,45,224.5706110108938,229.49717335537062,60.98943117053855,296.35081017123304,ActiveLearning,Continuing
33,46,242.41091008794928,226.888705915871,18.344481264652757,296.35081017123304,ActiveLearning,Continuing
34,64,95.81586876001889,92.7227028281877,149.05942928546665,296.35081017123304,ActiveLearning,Continuing
35,6,204.17680289774336,133.943221303077,94.47794416699242,296.35081017123304,ActiveLearning,Continuing
36,2,66.30151481091211,82.80024025409061,176.090919701839,296.35081017123304,ActiveLearning,Continuing
37,4,109.60733027971378,111.0712950082856,137.87528808683123,296.35081017123304,ActiveLearning,Continuing
38,43,178.97379271834268,177.3283339430635,69.2783495265428,296.35081017123304,ActiveLearning,Continuing
39,61,201.80400290446065,172.0196036701872,51.45384473333533,296.35081017123304,ActiveLearning,Continuing
40,57,296.35081017123304,180.3137783980153,33.470164607627396,296.35081017123304,ActiveLearning,Max Elastic Modulus_mean in Dataset reached
