Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Elastic Modulus_mean in Dataset,Phase,Stopping Reason
0,17,106.8193434000782,,,296.35081017123304,WarmStart,WarmStart
1,18,74.82276309333224,,,296.35081017123304,WarmStart,WarmStart
2,19,56.88500845389184,,,296.35081017123304,WarmStart,WarmStart
3,38,182.9546167355371,,,296.35081017123304,WarmStart,WarmStart
4,50,174.66437205644556,,,296.35081017123304,WarmStart,WarmStart
5,55,168.33383829683325,,,296.35081017123304,WarmStart,WarmStart
6,8,242.7128680778461,161.28900194428178,126.06960828164524,296.35081017123304,ActiveLearning,Continuing
7,68,65.48719407925006,157.37232879166723,185.82785962395428,296.35081017123304,ActiveLearning,Continuing
8,47,188.5569729101656,192.8899712730118,185.82785962395425,296.35081017123304,ActiveLearning,Continuing
9,71,270.69323356331364,189.4929005469671,177.22567399859605,296.35081017123304,ActiveLearning,Continuing
10,69,110.69482106635698,180.66764663628717,205.20603948406358,296.35081017123304,ActiveLearning,Continuing
11,6,204.17680289774336,163.63542013742182,185.82785962395428,296.35081017123304,ActiveLearning,Continuing
12,70,172.0732296612731,182.0688777655397,159.9984124969567,296.35081017123304,ActiveLearning,Continuing
13,53,228.310761552046,233.57736175335648,102.35939526648039,296.35081017123304,ActiveLearning,Continuing
14,7,117.40631603510326,182.63334697558878,147.29179444385153,296.35081017123304,ActiveLearning,Continuing
15,9,233.7243724057668,221.6117161535727,125.30655204274285,296.35081017123304,ActiveLearning,Continuing
16,34,88.47667256854467,151.8420829715986,138.6896088184933,296.35081017123304,ActiveLearning,Continuing
17,40,162.77817832797786,157.10752598986863,129.35403980441112,296.35081017123304,ActiveLearning,Continuing
18,0,81.74085575257114,97.91409043994605,179.8355291759014,296.35081017123304,ActiveLearning,Continuing
19,37,152.72295816440803,184.14061764113944,86.7704868626401,296.35081017123304,ActiveLearning,Continuing
20,48,171.00469374345903,200.32661325557513,68.04849602140055,296.35081017123304,ActiveLearning,Continuing
21,39,140.76871335709305,153.7765072346275,94.47794416699242,296.35081017123304,ActiveLearning,Continuing
22,42,179.2410423946837,167.167867950973,72.0113921215731,296.35081017123304,ActiveLearning,Continuing
23,2,66.30151481091211,89.56844814683201,147.29179444385153,296.35081017123304,ActiveLearning,Continuing
24,72,189.441220061326,159.69996610655545,72.0113921215731,296.35081017123304,ActiveLearning,Continuing
25,41,220.5104016857166,157.70510565286497,72.25979566918011,296.35081017123304,ActiveLearning,Continuing
26,49,242.91509227554656,197.74646092824474,49.50570794225757,296.35081017123304,ActiveLearning,Continuing
27,45,224.5706110108938,227.1796801583693,68.250720219101,296.35081017123304,ActiveLearning,Continuing
28,46,242.41091008794928,226.20559530565845,63.13425894873424,296.35081017123304,ActiveLearning,Continuing
29,52,231.07458974395303,233.26406607907688,18.344481264652757,296.35081017123304,ActiveLearning,Continuing
30,35,207.09310351510177,116.20889955204298,145.68763859238436,296.35081017123304,ActiveLearning,Continuing
31,36,120.1628705347832,120.52215285816516,118.61643094655712,296.35081017123304,ActiveLearning,Continuing
32,28,147.00005295683096,89.44214651246809,141.60590943585171,296.35081017123304,ActiveLearning,Continuing
33,31,119.79704241922371,96.6292756881342,147.29179444385153,296.35081017123304,ActiveLearning,Continuing
34,27,141.45379911190125,123.16287594802353,141.60590943585171,296.35081017123304,ActiveLearning,Continuing
35,4,109.60733027971378,114.94891502567138,137.87528808683123,296.35081017123304,ActiveLearning,Continuing
36,32,106.70108583654164,112.43433385879645,126.06960828164524,296.35081017123304,ActiveLearning,Continuing
37,61,201.80400290446065,172.77968460123492,51.45384473333533,296.35081017123304,ActiveLearning,Continuing
38,56,175.8319549576918,184.79276744208317,39.02582457648279,296.35081017123304,ActiveLearning,Continuing
39,57,296.35081017123304,181.25893833126844,34.608495012948026,296.35081017123304,ActiveLearning,Max Elastic Modulus_mean in Dataset reached
