Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Elastic Modulus_mean in Dataset,Phase,Stopping Reason
0,1,71.68894182884907,,,296.35081017123304,WarmStart,WarmStart
1,4,109.60733027971378,,,296.35081017123304,WarmStart,WarmStart
2,5,95.3466236160471,,,296.35081017123304,WarmStart,WarmStart
3,8,242.7128680778461,,,296.35081017123304,WarmStart,WarmStart
4,9,233.7243724057668,,,296.35081017123304,WarmStart,WarmStart
5,10,95.58773206251,,,296.35081017123304,WarmStart,WarmStart
6,11,24.71538796928362,,,296.35081017123304,WarmStart,WarmStart
7,12,51.16844398555743,,,296.35081017123304,WarmStart,WarmStart
8,17,106.8193434000782,,,296.35081017123304,WarmStart,WarmStart
9,19,56.88500845389184,,,296.35081017123304,WarmStart,WarmStart
10,20,45.87195384392433,,,296.35081017123304,WarmStart,WarmStart
11,21,50.104313602035774,,,296.35081017123304,WarmStart,WarmStart
12,22,73.67122147772203,,,296.35081017123304,WarmStart,WarmStart
13,24,98.05789122606568,,,296.35081017123304,WarmStart,WarmStart
14,25,39.13465426900338,,,296.35081017123304,WarmStart,WarmStart
15,27,141.45379911190125,,,296.35081017123304,WarmStart,WarmStart
16,40,162.77817832797786,,,296.35081017123304,WarmStart,WarmStart
17,50,174.66437205644556,,,296.35081017123304,WarmStart,WarmStart
18,54,197.8404462303588,,,296.35081017123304,WarmStart,WarmStart
19,55,168.33383829683325,,,296.35081017123304,WarmStart,WarmStart
20,56,175.8319549576918,,,296.35081017123304,WarmStart,WarmStart
21,65,90.99870959544364,,,296.35081017123304,WarmStart,WarmStart
22,67,55.10215022969636,,,296.35081017123304,WarmStart,WarmStart
23,68,65.48719407925006,,,296.35081017123304,WarmStart,WarmStart
24,69,110.69482106635698,,,296.35081017123304,WarmStart,WarmStart
25,70,172.0732296612731,,,296.35081017123304,WarmStart,WarmStart
26,72,189.441220061326,,,296.35081017123304,WarmStart,WarmStart
27,6,204.17680289774336,132.86139829344364,166.52967841295737,296.35081017123304,ActiveLearning,Continuing
28,37,152.72295816440803,155.0542834621262,154.07248929570758,296.35081017123304,ActiveLearning,Continuing
29,7,117.40631603510326,187.02099778524396,138.3777487897197,296.35081017123304,ActiveLearning,Continuing
30,47,188.5569729101656,212.00598351589917,74.37902978101286,296.35081017123304,ActiveLearning,Continuing
31,53,228.310761552046,212.59125599544885,74.37902978101286,296.35081017123304,ActiveLearning,Continuing
32,71,270.69323356331364,225.60067757532087,54.15589516768051,296.35081017123304,ActiveLearning,Continuing
33,42,179.2410423946837,177.57000449071012,87.14562516400181,296.35081017123304,ActiveLearning,Continuing
34,34,88.47667256854467,103.60945503701792,165.04214862874,296.35081017123304,ActiveLearning,Continuing
35,48,171.00469374345903,203.57230027160477,54.15589516768051,296.35081017123304,ActiveLearning,Continuing
36,38,182.9546167355371,136.5506912595824,108.83017928169626,296.35081017123304,ActiveLearning,Continuing
37,36,120.1628705347832,106.15044105324212,143.8199624665337,296.35081017123304,ActiveLearning,Continuing
38,41,220.5104016857166,157.57419637328155,72.25979566918011,296.35081017123304,ActiveLearning,Continuing
39,39,140.76871335709305,158.77479548142645,109.81558061935962,296.35081017123304,ActiveLearning,Continuing
40,52,231.07458974395303,201.0423055670218,45.846029629271044,296.35081017123304,ActiveLearning,Continuing
41,49,242.91509227554656,220.4664494579139,56.41021768750747,296.35081017123304,ActiveLearning,Continuing
42,45,224.5706110108938,235.4496961400391,23.958149671049398,296.35081017123304,ActiveLearning,Continuing
43,46,242.41091008794928,226.82419433783835,18.344481264652757,296.35081017123304,ActiveLearning,Continuing
44,61,201.80400290446065,171.46985274312,51.45384473333533,296.35081017123304,ActiveLearning,Continuing
45,35,207.09310351510177,125.91147095590095,132.03372911717193,296.35081017123304,ActiveLearning,Continuing
46,28,147.00005295683096,124.76956145355804,167.95844924609838,296.35081017123304,ActiveLearning,Continuing
47,18,74.82276309333224,106.79354143351222,122.28466498754733,296.35081017123304,ActiveLearning,Continuing
48,57,296.35081017123304,180.7865084969655,33.470164607627396,296.35081017123304,ActiveLearning,Max Elastic Modulus_mean in Dataset reached
