Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Elastic Modulus_mean in Dataset,Phase,Stopping Reason
0,1,71.68894182884907,,,296.35081017123304,WarmStart,WarmStart
1,4,109.60733027971378,,,296.35081017123304,WarmStart,WarmStart
2,5,95.3466236160471,,,296.35081017123304,WarmStart,WarmStart
3,10,95.58773206251,,,296.35081017123304,WarmStart,WarmStart
4,12,51.16844398555743,,,296.35081017123304,WarmStart,WarmStart
5,17,106.8193434000782,,,296.35081017123304,WarmStart,WarmStart
6,20,45.87195384392433,,,296.35081017123304,WarmStart,WarmStart
7,49,242.91509227554656,,,296.35081017123304,WarmStart,WarmStart
8,50,174.66437205644556,,,296.35081017123304,WarmStart,WarmStart
9,51,181.925661105008,,,296.35081017123304,WarmStart,WarmStart
10,54,197.8404462303588,,,296.35081017123304,WarmStart,WarmStart
11,55,168.33383829683325,,,296.35081017123304,WarmStart,WarmStart
12,56,175.8319549576918,,,296.35081017123304,WarmStart,WarmStart
13,68,65.48719407925006,,,296.35081017123304,WarmStart,WarmStart
14,69,110.69482106635698,,,296.35081017123304,WarmStart,WarmStart
15,45,224.5706110108938,220.4571990966797,29.208036422729492,296.35081017123304,ActiveLearning,Continuing
16,46,242.41091008794928,224.0265350341797,15.930341720581055,296.35081017123304,ActiveLearning,Continuing
17,52,231.07458974395303,233.00439453125,6.854360103607178,296.35081017123304,ActiveLearning,Continuing
18,53,228.310761552046,230.8989715576172,11.500901222229004,296.35081017123304,ActiveLearning,Continuing
19,42,179.2410423946837,183.17181396484375,9.054400444030762,296.35081017123304,ActiveLearning,Continuing
20,58,211.5086541241532,181.73812866210938,10.817357063293457,296.35081017123304,ActiveLearning,Continuing
21,59,219.61643412334288,203.09420776367188,14.07681655883789,296.35081017123304,ActiveLearning,Continuing
22,57,296.35081017123304,209.1813507080078,11.152644157409668,296.35081017123304,ActiveLearning,Max Elastic Modulus_mean in Dataset reached
