Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Elastic Modulus_mean in Dataset,Phase,Stopping Reason
0,12,51.16844398555743,,,296.35081017123304,WarmStart,WarmStart
1,14,39.58562154046682,,,296.35081017123304,WarmStart,WarmStart
2,15,48.22854697312115,,,296.35081017123304,WarmStart,WarmStart
3,16,28.08588319590436,,,296.35081017123304,WarmStart,WarmStart
4,18,74.82276309333224,,,296.35081017123304,WarmStart,WarmStart
5,21,50.104313602035774,,,296.35081017123304,WarmStart,WarmStart
6,30,42.124759091300646,,,296.35081017123304,WarmStart,WarmStart
7,50,174.66437205644556,,,296.35081017123304,WarmStart,WarmStart
8,51,181.925661105008,,,296.35081017123304,WarmStart,WarmStart
9,55,168.33383829683325,,,296.35081017123304,WarmStart,WarmStart
10,56,175.8319549576918,,,296.35081017123304,WarmStart,WarmStart
11,49,242.91509227554656,177.7339324951172,2.987379550933838,296.35081017123304,ActiveLearning,Continuing
12,53,228.310761552046,214.4001007080078,34.923519134521484,296.35081017123304,ActiveLearning,Continuing
13,45,224.5706110108938,212.52406311035156,32.567508697509766,296.35081017123304,ActiveLearning,Continuing
14,46,242.41091008794928,225.82608032226562,14.650856971740723,296.35081017123304,ActiveLearning,Continuing
15,52,231.07458974395303,228.3316192626953,15.927291870117188,296.35081017123304,ActiveLearning,Continuing
16,62,277.3861208337041,180.74732971191406,12.421246528625488,296.35081017123304,ActiveLearning,Continuing
17,63,228.4671903908735,240.35377502441406,49.03517532348633,296.35081017123304,ActiveLearning,Continuing
18,70,172.0732296612731,232.9072265625,27.233083724975586,296.35081017123304,ActiveLearning,Continuing
19,61,201.80400290446065,205.3037109375,44.363407135009766,296.35081017123304,ActiveLearning,Continuing
20,42,179.2410423946837,198.97625732421875,19.527740478515625,296.35081017123304,ActiveLearning,Continuing
21,44,159.30709474405634,200.5496368408203,18.846315383911133,296.35081017123304,ActiveLearning,Continuing
22,57,296.35081017123304,180.93124389648438,10.951177597045898,296.35081017123304,ActiveLearning,Max Elastic Modulus_mean in Dataset reached
