Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Elastic Modulus_mean in Dataset,Phase,Stopping Reason
0,12,51.16844398555743,,,296.35081017123304,WarmStart,WarmStart
1,13,35.102261317001975,,,296.35081017123304,WarmStart,WarmStart
2,16,28.08588319590436,,,296.35081017123304,WarmStart,WarmStart
3,18,74.82276309333224,,,296.35081017123304,WarmStart,WarmStart
4,20,45.87195384392433,,,296.35081017123304,WarmStart,WarmStart
5,21,50.104313602035774,,,296.35081017123304,WarmStart,WarmStart
6,22,73.67122147772203,,,296.35081017123304,WarmStart,WarmStart
7,23,53.46447392343188,,,296.35081017123304,WarmStart,WarmStart
8,29,51.50598562924656,,,296.35081017123304,WarmStart,WarmStart
9,30,42.124759091300646,,,296.35081017123304,WarmStart,WarmStart
10,31,119.79704241922371,,,296.35081017123304,WarmStart,WarmStart
11,50,174.66437205644556,,,296.35081017123304,WarmStart,WarmStart
12,51,181.925661105008,,,296.35081017123304,WarmStart,WarmStart
13,55,168.33383829683325,,,296.35081017123304,WarmStart,WarmStart
14,56,175.8319549576918,,,296.35081017123304,WarmStart,WarmStart
15,71,270.69323356331364,,,296.35081017123304,WarmStart,WarmStart
16,72,189.441220061326,,,296.35081017123304,WarmStart,WarmStart
17,70,172.0732296612731,210.1981658935547,36.875343322753906,296.35081017123304,ActiveLearning,Continuing
18,62,277.3861208337041,175.17593383789062,19.689416885375977,296.35081017123304,ActiveLearning,Continuing
19,63,228.4671903908735,233.087890625,50.09113693237305,296.35081017123304,ActiveLearning,Continuing
20,61,201.80400290446065,206.9170379638672,40.62221908569336,296.35081017123304,ActiveLearning,Continuing
21,8,242.7128680778461,203.19595336914062,33.648555755615234,296.35081017123304,ActiveLearning,Continuing
22,9,233.7243724057668,219.69947814941406,29.14040184020996,296.35081017123304,ActiveLearning,Continuing
23,53,228.310761552046,209.12246704101562,23.74775505065918,296.35081017123304,ActiveLearning,Continuing
24,47,188.5569729101656,205.997314453125,23.510887145996094,296.35081017123304,ActiveLearning,Continuing
25,48,171.00469374345903,195.39996337890625,14.826830863952637,296.35081017123304,ActiveLearning,Continuing
26,43,178.97379271834268,183.43753051757812,9.343122482299805,296.35081017123304,ActiveLearning,Continuing
27,42,179.2410423946837,182.31944274902344,9.812284469604492,296.35081017123304,ActiveLearning,Continuing
28,44,159.30709474405634,182.12136840820312,7.537742614746094,296.35081017123304,ActiveLearning,Continuing
29,57,296.35081017123304,178.03903198242188,10.822975158691406,296.35081017123304,ActiveLearning,Max Elastic Modulus_mean in Dataset reached
