Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Elastic Modulus_mean in Dataset,Phase,Stopping Reason
0,15,48.22854697312115,,,296.35081017123304,WarmStart,WarmStart
1,16,28.08588319590436,,,296.35081017123304,WarmStart,WarmStart
2,22,73.67122147772203,,,296.35081017123304,WarmStart,WarmStart
3,38,182.9546167355371,,,296.35081017123304,WarmStart,WarmStart
4,50,174.66437205644556,,,296.35081017123304,WarmStart,WarmStart
5,51,181.925661105008,,,296.35081017123304,WarmStart,WarmStart
6,55,168.33383829683325,,,296.35081017123304,WarmStart,WarmStart
7,56,175.8319549576918,,,296.35081017123304,WarmStart,WarmStart
8,71,270.69323356331364,,,296.35081017123304,WarmStart,WarmStart
9,72,189.441220061326,,,296.35081017123304,WarmStart,WarmStart
10,70,172.0732296612731,195.76333618164062,25.686744689941406,296.35081017123304,ActiveLearning,Continuing
11,44,159.30709474405634,179.19140625,4.373902797698975,296.35081017123304,ActiveLearning,Continuing
12,49,242.91509227554656,177.69102478027344,5.7183732986450195,296.35081017123304,ActiveLearning,Continuing
13,53,228.310761552046,209.64715576171875,31.211877822875977,296.35081017123304,ActiveLearning,Continuing
14,45,224.5706110108938,201.2169647216797,34.46442413330078,296.35081017123304,ActiveLearning,Continuing
15,46,242.41091008794928,213.99868774414062,24.789644241333008,296.35081017123304,ActiveLearning,Continuing
16,52,231.07458974395303,210.48553466796875,19.93021011352539,296.35081017123304,ActiveLearning,Continuing
17,57,296.35081017123304,187.09181213378906,21.1682186126709,296.35081017123304,ActiveLearning,Max Elastic Modulus_mean in Dataset reached
