Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Elastic Modulus_mean in Dataset,Phase,Stopping Reason
0,4,109.60733027971378,,,296.35081017123304,WarmStart,WarmStart
1,17,106.8193434000782,,,296.35081017123304,WarmStart,WarmStart
2,18,74.82276309333224,,,296.35081017123304,WarmStart,WarmStart
3,19,56.88500845389184,,,296.35081017123304,WarmStart,WarmStart
4,40,162.77817832797786,,,296.35081017123304,WarmStart,WarmStart
5,49,242.91509227554656,,,296.35081017123304,WarmStart,WarmStart
6,54,197.8404462303588,,,296.35081017123304,WarmStart,WarmStart
7,45,224.5706110108938,220.32028198242188,40.60131072998047,296.35081017123304,ActiveLearning,Continuing
8,50,174.66437205644556,224.81057739257812,22.090688705444336,296.35081017123304,ActiveLearning,Continuing
9,53,228.310761552046,227.35971069335938,20.73564910888672,296.35081017123304,ActiveLearning,Continuing
10,46,242.41091008794928,221.73623657226562,16.9415340423584,296.35081017123304,ActiveLearning,Continuing
11,52,231.07458974395303,221.34860229492188,19.51727867126465,296.35081017123304,ActiveLearning,Continuing
12,55,168.33383829683325,198.84262084960938,20.54779052734375,296.35081017123304,ActiveLearning,Continuing
13,41,220.5104016857166,159.98019409179688,48.00946807861328,296.35081017123304,ActiveLearning,Continuing
14,51,181.925661105008,188.18185424804688,21.37643814086914,296.35081017123304,ActiveLearning,Continuing
15,8,242.7128680778461,179.82095336914062,11.855535507202148,296.35081017123304,ActiveLearning,Continuing
16,9,233.7243724057668,226.29052734375,27.435264587402344,296.35081017123304,ActiveLearning,Continuing
17,71,270.69323356331364,211.10694885253906,18.076465606689453,296.35081017123304,ActiveLearning,Continuing
18,72,189.441220061326,216.96133422851562,26.511770248413086,296.35081017123304,ActiveLearning,Continuing
19,70,172.0732296612731,196.0186004638672,26.941091537475586,296.35081017123304,ActiveLearning,Continuing
20,47,188.5569729101656,198.81683349609375,16.07740592956543,296.35081017123304,ActiveLearning,Continuing
21,44,159.30709474405634,185.65496826171875,16.906757354736328,296.35081017123304,ActiveLearning,Continuing
22,68,65.48719407925006,155.01695251464844,44.20640182495117,296.35081017123304,ActiveLearning,Continuing
23,48,171.00469374345903,193.540283203125,22.281272888183594,296.35081017123304,ActiveLearning,Continuing
24,57,296.35081017123304,178.5979766845703,11.090617179870605,296.35081017123304,ActiveLearning,Max Elastic Modulus_mean in Dataset reached
