Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Elastic Modulus_mean in Dataset,Phase,Stopping Reason
0,12,51.16844398555743,,,296.35081017123304,WarmStart,WarmStart
1,22,73.67122147772203,,,296.35081017123304,WarmStart,WarmStart
2,23,53.46447392343188,,,296.35081017123304,WarmStart,WarmStart
3,27,141.45379911190125,,,296.35081017123304,WarmStart,WarmStart
4,28,147.00005295683096,,,296.35081017123304,WarmStart,WarmStart
5,29,51.50598562924656,,,296.35081017123304,WarmStart,WarmStart
6,30,42.124759091300646,,,296.35081017123304,WarmStart,WarmStart
7,50,174.66437205644556,,,296.35081017123304,WarmStart,WarmStart
8,51,181.925661105008,,,296.35081017123304,WarmStart,WarmStart
9,55,168.33383829683325,,,296.35081017123304,WarmStart,WarmStart
10,71,270.69323356331364,156.37347412109375,32.0234375,296.35081017123304,ActiveLearning,Continuing
11,70,172.0732296612731,235.5719757080078,42.538658142089844,296.35081017123304,ActiveLearning,Continuing
12,68,65.48719407925006,186.28871154785156,61.481361389160156,296.35081017123304,ActiveLearning,Continuing
13,72,189.441220061326,205.8012237548828,45.99433517456055,296.35081017123304,ActiveLearning,Continuing
14,8,242.7128680778461,183.70347595214844,42.9459114074707,296.35081017123304,ActiveLearning,Continuing
15,9,233.7243724057668,218.74697875976562,36.256446838378906,296.35081017123304,ActiveLearning,Continuing
16,53,228.310761552046,212.19044494628906,39.25543212890625,296.35081017123304,ActiveLearning,Continuing
17,47,188.5569729101656,206.09121704101562,26.471576690673828,296.35081017123304,ActiveLearning,Continuing
18,48,171.00469374345903,193.60153198242188,17.60279083251953,296.35081017123304,ActiveLearning,Continuing
19,42,179.2410423946837,185.91586303710938,12.870870590209961,296.35081017123304,ActiveLearning,Continuing
20,43,178.97379271834268,182.64976501464844,9.571868896484375,296.35081017123304,ActiveLearning,Continuing
21,45,224.5706110108938,180.45652770996094,6.236275672912598,296.35081017123304,ActiveLearning,Continuing
22,46,242.41091008794928,202.556396484375,22.386703491210938,296.35081017123304,ActiveLearning,Continuing
23,52,231.07458974395303,228.45657348632812,16.258235931396484,296.35081017123304,ActiveLearning,Continuing
24,49,242.91509227554656,224.82183837890625,15.3698091506958,296.35081017123304,ActiveLearning,Continuing
25,44,159.30709474405634,178.77635192871094,10.633060455322266,296.35081017123304,ActiveLearning,Continuing
26,57,296.35081017123304,174.9495391845703,8.332005500793457,296.35081017123304,ActiveLearning,Max Elastic Modulus_mean in Dataset reached
