Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Conductivity in Dataset,Stopping Reason
1,10,45.97,705.3314,155.76485,1243.67,Continuing
2,2,14.78,571.815,47.388813,1243.67,Continuing
3,13,215.37,676.07825,64.13635,1243.67,Continuing
4,17,559.01,253.02112,34.85464,1243.67,Continuing
5,6,26.19,1128.3136,115.50643,1243.67,Continuing
6,18,617.92,559.8081,55.89302,1243.67,Continuing
7,138,302.25,578.9531,54.310253,1243.67,Continuing
8,153,47.22,490.29675,48.64897,1243.67,Continuing
9,16,490.06,588.2789,65.04755,1243.67,Continuing
10,19,634.35,473.97168,55.610596,1243.67,Continuing
11,20,688.74,577.59106,66.21334,1243.67,Continuing
12,21,725.7933279,584.1404,65.877815,1243.67,Continuing
13,232,824.47,634.69525,64.301476,1243.67,Continuing
14,23,788.8326479,649.98596,63.299,1243.67,Continuing
15,25,804.11,716.6673,66.877106,1243.67,Continuing
16,26,839.28,716.7734,61.469646,1243.67,Continuing
17,27,852.33,697.8376,59.927658,1243.67,Continuing
18,220,546.79,712.62756,58.637974,1243.67,Continuing
19,112,904.29,703.2089,56.683155,1243.67,Continuing
20,226,658.86,718.33704,54.24983,1243.67,Continuing
21,110,770.35,695.7706,54.08099,1243.67,Continuing
22,222,602.48,628.48315,51.35248,1243.67,Continuing
23,114,291.41,633.3194,45.792763,1243.67,Continuing
24,22,766.85,532.77826,45.35516,1243.67,Continuing
25,24,800.58,680.948,53.70159,1243.67,Continuing
26,227,695.67,703.81476,53.557217,1243.67,Continuing
27,124,554.41,490.89246,39.870953,1243.67,Continuing
28,104,580.44,511.90594,39.184597,1243.67,Continuing
29,108,659.36,538.2776,41.28832,1243.67,Continuing
30,100,433.78,530.64795,39.833797,1243.67,Continuing
31,211,382.45,472.36322,40.29473,1243.67,Continuing
32,101,484.36,481.74512,33.946968,1243.67,Continuing
33,113,226.22,483.06152,36.332363,1243.67,Continuing
34,182,160.6199195,389.3848,26.598587,1243.67,Continuing
35,103,562.06,335.20874,24.902573,1243.67,Continuing
36,105,607.72,392.63376,27.574345,1243.67,Continuing
37,107,625.33,418.23337,28.540045,1243.67,Continuing
38,106,618.72,416.9946,27.999504,1243.67,Continuing
39,139,336.24,384.84488,26.17105,1243.67,Continuing
40,116,452.8,303.73285,20.318752,1243.67,Continuing
41,123,552.26,337.78543,22.330181,1243.67,Continuing
42,229,731.11,431.40988,26.794981,1243.67,Continuing
43,126,660.0,468.02466,31.406853,1243.67,Continuing
44,231,772.94,523.49335,33.1529,1243.67,Continuing
45,127,1089.12,548.71497,33.51028,1243.67,Continuing
46,122,543.75,449.80582,27.426569,1243.67,Continuing
47,125,608.87,404.0712,24.419323,1243.67,Continuing
48,223,636.48,433.59674,30.792273,1243.67,Continuing
49,224,637.46,553.828,35.478626,1243.67,Continuing
50,230,738.1,578.8687,35.068153,1243.67,Continuing
51,210,356.76,455.31543,29.525295,1243.67,Continuing
52,228,697.4,528.7444,31.20023,1243.67,Continuing
53,192,424.1973941,534.57794,30.21029,1243.67,Continuing
54,109,750.9,397.39044,21.472422,1243.67,Continuing
55,179,135.2652427,422.08112,23.369457,1243.67,Continuing
56,120,540.19,398.83038,21.456388,1243.67,Continuing
57,111,838.31,415.27945,23.027159,1243.67,Continuing
58,115,325.56,450.51425,25.322586,1243.67,Continuing
59,150,348.88,444.31503,24.174477,1243.67,Continuing
60,219,545.18,381.51926,20.10333,1243.67,Continuing
61,142,280.38,388.2999,20.746218,1243.67,Continuing
62,145,291.83,378.27356,20.212044,1243.67,Continuing
63,185,311.2965408,392.2406,20.387789,1243.67,Continuing
64,146,312.65,377.47186,20.030106,1243.67,Continuing
65,169,385.2,365.2127,19.751915,1243.67,Continuing
66,189,345.3800939,334.9993,19.693567,1243.67,Continuing
67,140,259.11,350.78674,18.159044,1243.67,Continuing
68,149,328.45,314.43405,17.611591,1243.67,Continuing
69,191,398.5758253,319.60773,16.427898,1243.67,Continuing
70,205,248.62,306.72812,36.291363,1243.67,Continuing
71,186,318.1919743,279.83356,14.751326,1243.67,Continuing
72,208,297.95,283.53464,15.762363,1243.67,Continuing
73,178,111.8949727,277.85532,16.276346,1243.67,Continuing
74,188,339.0080085,272.6982,13.692687,1243.67,Continuing
75,141,279.69,268.79022,13.893961,1243.67,Continuing
76,164,220.66,289.33063,19.860123,1243.67,Continuing
77,144,286.73,277.33167,13.261508,1243.67,Continuing
78,196,191.45,270.4096,13.066042,1243.67,Continuing
79,197,192.98,270.27786,11.957905,1243.67,Continuing
80,216,696.39,267.3127,19.533817,1243.67,Continuing
81,190,390.2707837,470.04968,40.590298,1243.67,Continuing
82,206,268.25,265.05066,28.582085,1243.67,Continuing
83,207,289.72,252.32503,12.501955,1243.67,Continuing
84,199,201.63,241.0776,11.633046,1243.67,Continuing
85,166,249.23,241.83112,13.046094,1243.67,Continuing
86,167,250.28,238.80386,12.790439,1243.67,Continuing
87,172,542.3,244.62491,11.857678,1243.67,Continuing
88,148,328.21,279.28796,12.931079,1243.67,Continuing
89,171,419.51,260.5642,12.702153,1243.67,Continuing
90,137,293.93,267.57465,16.922602,1243.67,Continuing
91,193,733.7295218,289.32257,13.269101,1243.67,Continuing
92,194,745.278685,524.2529,25.940311,1243.67,Continuing
93,183,162.7067112,540.5082,26.413786,1243.67,Continuing
94,136,293.6,283.97168,20.313457,1243.67,Continuing
95,202,214.93,264.36008,13.335132,1243.67,Continuing
96,204,240.44,237.19475,12.224852,1243.67,Continuing
97,214,451.64,230.78143,16.215637,1243.67,Continuing
98,215,457.13,404.516,20.083805,1243.67,Continuing
99,134,278.51,276.64035,13.979627,1243.67,Continuing
100,170,405.26,221.1002,10.671133,1243.67,Continuing
101,117,475.46,228.52344,11.036772,1243.67,Continuing
102,162,217.94,250.67897,11.399,1243.67,Continuing
103,118,529.11,244.62187,10.663542,1243.67,Continuing
104,119,535.99,275.49893,11.802302,1243.67,Continuing
105,180,151.3841761,290.4834,12.402943,1243.67,Continuing
106,181,155.3457121,285.76578,12.53053,1243.67,Continuing
107,128,1243.67,278.37576,11.887385,1243.67,Max Conductivity reached
