Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Conductivity in Dataset,Stopping Reason
1,10,45.97,684.275,147.97783,1243.67,Continuing
2,2,14.78,530.8209,45.049698,1243.67,Continuing
3,13,215.37,679.7994,61.763203,1243.67,Continuing
4,6,26.19,249.90092,53.03428,1243.67,Continuing
5,16,490.06,253.95888,38.06549,1243.67,Continuing
6,19,634.35,521.1716,61.34458,1243.67,Continuing
7,20,688.74,550.8493,61.342648,1243.67,Continuing
8,21,725.7933279,522.1142,56.008076,1243.67,Continuing
9,23,788.8326479,636.9156,65.96992,1243.67,Continuing
10,25,804.11,668.2705,64.452484,1243.67,Continuing
11,26,839.28,673.9796,63.66072,1243.67,Continuing
12,27,852.33,746.2549,64.668785,1243.67,Continuing
13,232,824.47,715.43115,60.99469,1243.67,Continuing
14,112,904.29,766.2166,64.85548,1243.67,Continuing
15,220,546.79,752.592,63.504536,1243.67,Continuing
16,226,658.86,768.65155,65.189705,1243.67,Continuing
17,110,770.35,687.33777,53.712585,1243.67,Continuing
18,114,291.41,601.1155,46.978733,1243.67,Continuing
19,211,382.45,435.7278,47.99053,1243.67,Continuing
20,223,636.48,428.4401,33.567825,1243.67,Continuing
21,224,637.46,525.4993,40.415745,1243.67,Continuing
22,230,738.1,560.24225,40.063507,1243.67,Continuing
23,228,697.4,567.7115,43.290646,1243.67,Continuing
24,192,424.1973941,531.33795,37.538048,1243.67,Continuing
25,191,398.5758253,493.78275,36.594555,1243.67,Continuing
26,185,311.2965408,435.60995,35.852287,1243.67,Continuing
27,171,419.51,409.04343,27.0037,1243.67,Continuing
28,189,345.3800939,347.5444,33.988712,1243.67,Continuing
29,182,160.6199195,351.83954,28.915407,1243.67,Continuing
30,170,405.26,339.63922,22.963476,1243.67,Continuing
31,205,248.62,254.4514,34.716034,1243.67,Continuing
32,206,268.25,234.32413,32.11286,1243.67,Continuing
33,116,452.8,260.4354,35.03813,1243.67,Continuing
34,229,731.11,338.0034,36.339245,1243.67,Continuing
35,123,552.26,480.5591,40.81827,1243.67,Continuing
36,126,660.0,499.00055,40.62056,1243.67,Continuing
37,127,1089.12,496.9231,38.905434,1243.67,Continuing
38,231,772.94,582.0826,41.396633,1243.67,Continuing
39,210,356.76,487.92505,40.85529,1243.67,Continuing
40,122,543.75,455.38638,33.043095,1243.67,Continuing
41,100,433.78,318.1207,34.845783,1243.67,Continuing
42,213,406.47,396.36533,26.851507,1243.67,Continuing
43,22,766.85,361.50888,35.7469,1243.67,Continuing
44,222,602.48,579.9657,40.890144,1243.67,Continuing
45,24,800.58,596.1013,38.220592,1243.67,Continuing
46,227,695.67,641.425,40.58557,1243.67,Continuing
47,124,554.41,586.1439,40.609634,1243.67,Continuing
48,104,580.44,559.07275,36.246975,1243.67,Continuing
49,108,659.36,579.95605,35.833633,1243.67,Continuing
50,136,293.6,526.00824,32.55107,1243.67,Continuing
51,103,562.06,522.1346,35.01379,1243.67,Continuing
52,105,607.72,539.1766,34.41574,1243.67,Continuing
53,106,618.72,489.302,29.950022,1243.67,Continuing
54,113,226.22,545.94745,32.97029,1243.67,Continuing
55,109,750.9,483.07468,26.82891,1243.67,Continuing
56,101,484.36,453.7251,29.181475,1243.67,Continuing
57,120,540.19,413.05,24.505896,1243.67,Continuing
58,125,608.87,403.22885,22.139624,1243.67,Continuing
59,111,838.31,378.50104,25.13532,1243.67,Continuing
60,202,214.93,382.26843,22.06277,1243.67,Continuing
61,207,289.72,329.84344,19.227911,1243.67,Continuing
62,162,217.94,240.25731,20.869774,1243.67,Continuing
63,208,297.95,178.92511,18.665676,1243.67,Continuing
64,36,11.15,136.56978,44.49084,1243.67,Continuing
65,152,44.1,116.86052,43.07201,1243.67,Continuing
66,3,16.34,40.398323,61.880096,1243.67,Continuing
67,146,312.65,527.5825,27.88558,1243.67,Continuing
68,196,191.45,383.66705,19.641626,1243.67,Continuing
69,197,192.98,338.40036,18.27042,1243.67,Continuing
70,129,192.74,328.54636,19.35078,1243.67,Continuing
71,199,201.63,281.10974,15.439796,1243.67,Continuing
72,166,249.23,289.74887,15.720918,1243.67,Continuing
73,153,47.22,374.6219,78.43715,1243.67,Continuing
74,179,135.2652427,335.36688,17.341135,1243.67,Continuing
75,204,240.44,281.9477,15.7549095,1243.67,Continuing
76,150,348.88,173.13666,20.97096,1243.67,Continuing
77,140,259.11,219.02747,17.272106,1243.67,Continuing
78,167,250.28,220.511,17.070883,1243.67,Continuing
79,139,336.24,190.05782,22.5154,1243.67,Continuing
80,107,625.33,216.54433,20.977491,1243.67,Continuing
81,169,385.2,252.58798,18.106815,1243.67,Continuing
82,115,325.56,269.52463,19.556135,1243.67,Continuing
83,214,451.64,240.11684,24.854616,1243.67,Continuing
84,161,214.21,362.0735,33.642982,1243.67,Continuing
85,215,457.13,353.91336,26.035225,1243.67,Continuing
86,216,696.39,310.00916,49.01273,1243.67,Continuing
87,164,220.66,419.255,34.601727,1243.67,Continuing
88,17,559.01,155.53,79.99655,1243.67,Continuing
89,18,617.92,461.9922,118.84288,1243.67,Continuing
90,102,545.78,436.88168,65.772964,1243.67,Continuing
91,138,302.25,397.95068,67.34985,1243.67,Continuing
92,155,92.38,252.20256,13.471146,1243.67,Continuing
93,142,280.38,250.22116,13.747871,1243.67,Continuing
94,145,291.83,262.22638,14.084628,1243.67,Continuing
95,219,545.18,243.41855,13.315191,1243.67,Continuing
96,176,76.51244504,187.21693,20.134926,1243.67,Continuing
