Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Conductivity (measured) (S/cm) in Dataset,Phase,Stopping Reason
0,6,26.19,,,1243.67,WarmStart,WarmStart
1,9,45.53,,,1243.67,WarmStart,WarmStart
2,11,140.7,,,1243.67,WarmStart,WarmStart
3,14,218.67,,,1243.67,WarmStart,WarmStart
4,16,490.06,,,1243.67,WarmStart,WarmStart
5,22,766.85,,,1243.67,WarmStart,WarmStart
6,23,788.8326479,,,1243.67,WarmStart,WarmStart
7,25,804.11,,,1243.67,WarmStart,WarmStart
8,29,6.19,,,1243.67,WarmStart,WarmStart
9,30,6.44,,,1243.67,WarmStart,WarmStart
10,37,11.44,,,1243.67,WarmStart,WarmStart
11,38,12.19,,,1243.67,WarmStart,WarmStart
12,40,19.06,,,1243.67,WarmStart,WarmStart
13,41,19.3,,,1243.67,WarmStart,WarmStart
14,42,49.98,,,1243.67,WarmStart,WarmStart
15,46,7.85,,,1243.67,WarmStart,WarmStart
16,49,10.58,,,1243.67,WarmStart,WarmStart
17,51,15.85,,,1243.67,WarmStart,WarmStart
18,54,17.89,,,1243.67,WarmStart,WarmStart
19,55,17.96,,,1243.67,WarmStart,WarmStart
20,56,18.43,,,1243.67,WarmStart,WarmStart
21,57,28.51,,,1243.67,WarmStart,WarmStart
22,61,6.92,,,1243.67,WarmStart,WarmStart
23,63,10.53,,,1243.67,WarmStart,WarmStart
24,66,12.36,,,1243.67,WarmStart,WarmStart
25,67,13.46,,,1243.67,WarmStart,WarmStart
26,68,13.99,,,1243.67,WarmStart,WarmStart
27,71,16.13,,,1243.67,WarmStart,WarmStart
28,72,16.51,,,1243.67,WarmStart,WarmStart
29,87,9.62,,,1243.67,WarmStart,WarmStart
30,90,11.47,,,1243.67,WarmStart,WarmStart
31,91,13.25,,,1243.67,WarmStart,WarmStart
32,101,484.36,,,1243.67,WarmStart,WarmStart
33,104,580.44,,,1243.67,WarmStart,WarmStart
34,108,659.36,,,1243.67,WarmStart,WarmStart
35,110,770.35,,,1243.67,WarmStart,WarmStart
36,112,904.29,,,1243.67,WarmStart,WarmStart
37,115,325.56,,,1243.67,WarmStart,WarmStart
38,116,452.8,,,1243.67,WarmStart,WarmStart
39,118,529.11,,,1243.67,WarmStart,WarmStart
40,119,535.99,,,1243.67,WarmStart,WarmStart
41,120,540.19,,,1243.67,WarmStart,WarmStart
42,124,554.41,,,1243.67,WarmStart,WarmStart
43,128,1243.67,,,1243.67,WarmStart,WarmStart
44,133,215.93,,,1243.67,WarmStart,WarmStart
45,134,278.51,,,1243.67,WarmStart,WarmStart
46,137,293.93,,,1243.67,WarmStart,WarmStart
47,146,312.65,,,1243.67,WarmStart,WarmStart
48,149,328.45,,,1243.67,WarmStart,WarmStart
49,152,44.1,,,1243.67,WarmStart,WarmStart
50,153,47.22,,,1243.67,WarmStart,WarmStart
51,154,63.81,,,1243.67,WarmStart,WarmStart
52,155,92.38,,,1243.67,WarmStart,WarmStart
53,156,116.5,,,1243.67,WarmStart,WarmStart
54,157,118.34,,,1243.67,WarmStart,WarmStart
55,158,142.23,,,1243.67,WarmStart,WarmStart
56,159,180.26,,,1243.67,WarmStart,WarmStart
57,161,214.21,,,1243.67,WarmStart,WarmStart
58,164,220.66,,,1243.67,WarmStart,WarmStart
59,165,233.43,,,1243.67,WarmStart,WarmStart
60,168,331.17,,,1243.67,WarmStart,WarmStart
61,173,2.740952014,,,1243.67,WarmStart,WarmStart
62,182,160.6199195,,,1243.67,WarmStart,WarmStart
63,187,322.6997586,,,1243.67,WarmStart,WarmStart
64,193,733.7295218,,,1243.67,WarmStart,WarmStart
65,195,179.12,,,1243.67,WarmStart,WarmStart
66,200,207.58,,,1243.67,WarmStart,WarmStart
67,201,213.5,,,1243.67,WarmStart,WarmStart
68,204,240.44,,,1243.67,WarmStart,WarmStart
69,207,289.72,,,1243.67,WarmStart,WarmStart
70,208,297.95,,,1243.67,WarmStart,WarmStart
71,210,356.76,,,1243.67,WarmStart,WarmStart
72,211,382.45,,,1243.67,WarmStart,WarmStart
73,215,457.13,,,1243.67,WarmStart,WarmStart
74,216,696.39,,,1243.67,WarmStart,WarmStart
75,221,561.86,,,1243.67,WarmStart,WarmStart
