Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Conductivity (measured) (S/cm) in Dataset,Phase,Stopping Reason
0,9,45.53,,,1243.67,WarmStart,WarmStart
1,10,45.97,,,1243.67,WarmStart,WarmStart
2,15,411.82,,,1243.67,WarmStart,WarmStart
3,16,490.06,,,1243.67,WarmStart,WarmStart
4,18,617.92,,,1243.67,WarmStart,WarmStart
5,19,634.35,,,1243.67,WarmStart,WarmStart
6,24,800.58,,,1243.67,WarmStart,WarmStart
7,25,804.11,,,1243.67,WarmStart,WarmStart
8,30,6.44,,,1243.67,WarmStart,WarmStart
9,38,12.19,,,1243.67,WarmStart,WarmStart
10,45,7.84,,,1243.67,WarmStart,WarmStart
11,55,17.96,,,1243.67,WarmStart,WarmStart
12,60,63.53,,,1243.67,WarmStart,WarmStart
13,68,13.99,,,1243.67,WarmStart,WarmStart
14,69,14.78,,,1243.67,WarmStart,WarmStart
15,75,26.57,,,1243.67,WarmStart,WarmStart
16,79,52.77,,,1243.67,WarmStart,WarmStart
17,84,7.08,,,1243.67,WarmStart,WarmStart
18,86,7.96,,,1243.67,WarmStart,WarmStart
19,97,86.01,,,1243.67,WarmStart,WarmStart
20,101,484.36,,,1243.67,WarmStart,WarmStart
21,104,580.44,,,1243.67,WarmStart,WarmStart
22,108,659.36,,,1243.67,WarmStart,WarmStart
23,109,750.9,,,1243.67,WarmStart,WarmStart
24,111,838.31,,,1243.67,WarmStart,WarmStart
25,112,904.29,,,1243.67,WarmStart,WarmStart
26,115,325.56,,,1243.67,WarmStart,WarmStart
27,120,540.19,,,1243.67,WarmStart,WarmStart
28,125,608.87,,,1243.67,WarmStart,WarmStart
29,126,660.0,,,1243.67,WarmStart,WarmStart
30,132,212.66,,,1243.67,WarmStart,WarmStart
31,138,302.25,,,1243.67,WarmStart,WarmStart
32,143,283.86,,,1243.67,WarmStart,WarmStart
33,144,286.73,,,1243.67,WarmStart,WarmStart
34,146,312.65,,,1243.67,WarmStart,WarmStart
35,147,326.54,,,1243.67,WarmStart,WarmStart
36,148,328.21,,,1243.67,WarmStart,WarmStart
37,154,63.81,,,1243.67,WarmStart,WarmStart
38,155,92.38,,,1243.67,WarmStart,WarmStart
39,164,220.66,,,1243.67,WarmStart,WarmStart
40,167,250.28,,,1243.67,WarmStart,WarmStart
41,170,405.26,,,1243.67,WarmStart,WarmStart
42,176,76.51244504,,,1243.67,WarmStart,WarmStart
43,182,160.6199195,,,1243.67,WarmStart,WarmStart
44,183,162.7067112,,,1243.67,WarmStart,WarmStart
45,185,311.2965408,,,1243.67,WarmStart,WarmStart
46,186,318.1919743,,,1243.67,WarmStart,WarmStart
47,195,179.12,,,1243.67,WarmStart,WarmStart
48,196,191.45,,,1243.67,WarmStart,WarmStart
49,198,195.33,,,1243.67,WarmStart,WarmStart
50,200,207.58,,,1243.67,WarmStart,WarmStart
51,201,213.5,,,1243.67,WarmStart,WarmStart
52,207,289.72,,,1243.67,WarmStart,WarmStart
53,208,297.95,,,1243.67,WarmStart,WarmStart
54,216,696.39,,,1243.67,WarmStart,WarmStart
55,217,271.56,,,1243.67,WarmStart,WarmStart
56,219,545.18,,,1243.67,WarmStart,WarmStart
57,223,636.48,,,1243.67,WarmStart,WarmStart
58,230,738.1,,,1243.67,WarmStart,WarmStart
59,231,772.94,,,1243.67,WarmStart,WarmStart
60,100,433.78,816.8806762695312,20.423494338989258,1243.67,ActiveLearning,Continuing
61,114,291.41,792.0764770507812,22.093486785888672,1243.67,ActiveLearning,Continuing
62,224,637.46,728.9382934570312,27.227439880371094,1243.67,ActiveLearning,Continuing
63,220,546.79,670.33203125,32.3870964050293,1243.67,ActiveLearning,Continuing
64,226,658.86,602.4338989257812,31.98161506652832,1243.67,ActiveLearning,Continuing
65,232,824.47,699.9572143554688,28.377742767333984,1243.67,ActiveLearning,Continuing
66,26,839.28,720.8814697265625,30.543596267700195,1243.67,ActiveLearning,Continuing
67,20,688.74,686.892822265625,29.545303344726562,1243.67,ActiveLearning,Continuing
68,21,725.7933279,621.83349609375,29.59134292602539,1243.67,ActiveLearning,Continuing
69,23,788.8326479,721.1404418945312,33.96289825439453,1243.67,ActiveLearning,Continuing
70,27,852.33,690.9195556640625,32.73354721069336,1243.67,ActiveLearning,Continuing
71,110,770.35,651.7344360351562,32.55804443359375,1243.67,ActiveLearning,Continuing
72,22,766.85,695.0447387695312,48.1583251953125,1243.67,ActiveLearning,Continuing
73,222,602.48,659.50244140625,48.440025329589844,1243.67,ActiveLearning,Continuing
74,227,695.67,689.3377075195312,55.28829574584961,1243.67,ActiveLearning,Continuing
75,150,348.88,656.1591186523438,41.0446662902832,1243.67,ActiveLearning,Continuing
76,17,559.01,628.20947265625,60.06435775756836,1243.67,ActiveLearning,Continuing
77,122,543.75,676.4636840820312,39.47538375854492,1243.67,ActiveLearning,Continuing
