Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Conductivity (measured) (S/cm) in Dataset,Phase,Stopping Reason
0,9,45.53,,,1243.67,WarmStart,WarmStart
1,10,45.97,,,1243.67,WarmStart,WarmStart
2,15,411.82,,,1243.67,WarmStart,WarmStart
3,16,490.06,,,1243.67,WarmStart,WarmStart
4,18,617.92,,,1243.67,WarmStart,WarmStart
5,19,634.35,,,1243.67,WarmStart,WarmStart
6,24,800.58,,,1243.67,WarmStart,WarmStart
7,25,804.11,,,1243.67,WarmStart,WarmStart
8,30,6.44,,,1243.67,WarmStart,WarmStart
9,45,7.84,,,1243.67,WarmStart,WarmStart
10,55,17.96,,,1243.67,WarmStart,WarmStart
11,60,63.53,,,1243.67,WarmStart,WarmStart
12,68,13.99,,,1243.67,WarmStart,WarmStart
13,69,14.78,,,1243.67,WarmStart,WarmStart
14,75,26.57,,,1243.67,WarmStart,WarmStart
15,79,52.77,,,1243.67,WarmStart,WarmStart
16,84,7.08,,,1243.67,WarmStart,WarmStart
17,86,7.96,,,1243.67,WarmStart,WarmStart
18,101,484.36,,,1243.67,WarmStart,WarmStart
19,104,580.44,,,1243.67,WarmStart,WarmStart
20,109,750.9,,,1243.67,WarmStart,WarmStart
21,111,838.31,,,1243.67,WarmStart,WarmStart
22,120,540.19,,,1243.67,WarmStart,WarmStart
23,126,660.0,,,1243.67,WarmStart,WarmStart
24,132,212.66,,,1243.67,WarmStart,WarmStart
25,138,302.25,,,1243.67,WarmStart,WarmStart
26,143,283.86,,,1243.67,WarmStart,WarmStart
27,144,286.73,,,1243.67,WarmStart,WarmStart
28,146,312.65,,,1243.67,WarmStart,WarmStart
29,147,326.54,,,1243.67,WarmStart,WarmStart
30,148,328.21,,,1243.67,WarmStart,WarmStart
31,154,63.81,,,1243.67,WarmStart,WarmStart
32,155,92.38,,,1243.67,WarmStart,WarmStart
33,164,220.66,,,1243.67,WarmStart,WarmStart
34,170,405.26,,,1243.67,WarmStart,WarmStart
35,176,76.51244504,,,1243.67,WarmStart,WarmStart
36,182,160.6199195,,,1243.67,WarmStart,WarmStart
37,185,311.2965408,,,1243.67,WarmStart,WarmStart
38,186,318.1919743,,,1243.67,WarmStart,WarmStart
39,195,179.12,,,1243.67,WarmStart,WarmStart
40,198,195.33,,,1243.67,WarmStart,WarmStart
41,200,207.58,,,1243.67,WarmStart,WarmStart
42,201,213.5,,,1243.67,WarmStart,WarmStart
43,207,289.72,,,1243.67,WarmStart,WarmStart
44,208,297.95,,,1243.67,WarmStart,WarmStart
45,216,696.39,,,1243.67,WarmStart,WarmStart
46,217,271.56,,,1243.67,WarmStart,WarmStart
47,219,545.18,,,1243.67,WarmStart,WarmStart
48,231,772.94,,,1243.67,WarmStart,WarmStart
49,100,433.78,764.4556884765625,23.698863983154297,1243.67,ActiveLearning,Continuing
50,114,291.41,748.7545166015625,19.479244232177734,1243.67,ActiveLearning,Continuing
51,224,637.46,659.64892578125,34.3360595703125,1243.67,ActiveLearning,Continuing
52,22,766.85,661.580322265625,31.181514739990234,1243.67,ActiveLearning,Continuing
53,222,602.48,689.4994506835938,36.41409683227539,1243.67,ActiveLearning,Continuing
54,227,695.67,672.7376708984375,37.060630798339844,1243.67,ActiveLearning,Continuing
55,113,226.22,627.5178833007812,37.27262496948242,1243.67,ActiveLearning,Continuing
56,220,546.79,607.4865112304688,38.95813751220703,1243.67,ActiveLearning,Continuing
57,150,348.88,668.6199340820312,37.40117645263672,1243.67,ActiveLearning,Continuing
58,17,559.01,651.8099975585938,57.54127883911133,1243.67,ActiveLearning,Continuing
59,230,738.1,650.4274291992188,57.047908782958984,1243.67,ActiveLearning,Continuing
60,171,419.51,576.5010375976562,51.501773834228516,1243.67,ActiveLearning,Continuing
61,20,688.74,623.4911499023438,44.819007873535156,1243.67,ActiveLearning,Continuing
62,223,636.48,654.3005981445312,63.5394287109375,1243.67,ActiveLearning,Continuing
63,21,725.7933279,665.957763671875,50.360496520996094,1243.67,ActiveLearning,Continuing
64,232,824.47,611.767333984375,48.30585479736328,1243.67,ActiveLearning,Continuing
65,23,788.8326479,666.457763671875,49.842918395996094,1243.67,ActiveLearning,Continuing
66,26,839.28,665.1445922851562,46.075321197509766,1243.67,ActiveLearning,Continuing
67,27,852.33,686.3746948242188,51.08049011230469,1243.67,ActiveLearning,Continuing
68,112,904.29,658.1239013671875,46.148197174072266,1243.67,ActiveLearning,Continuing
69,226,658.86,777.1553344726562,51.13098907470703,1243.67,ActiveLearning,Continuing
70,110,770.35,670.4773559570312,47.447086334228516,1243.67,ActiveLearning,Continuing
71,116,452.8,601.4947509765625,40.65134048461914,1243.67,ActiveLearning,Continuing
72,108,659.36,601.2167358398438,42.991085052490234,1243.67,ActiveLearning,Continuing
73,190,390.2707837,559.2783813476562,55.11787796020508,1243.67,ActiveLearning,Continuing
