Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Conductivity (measured) (S/cm) in Dataset,Phase,Stopping Reason
0,9,45.53,,,1243.67,WarmStart,WarmStart
1,10,45.97,,,1243.67,WarmStart,WarmStart
2,15,411.82,,,1243.67,WarmStart,WarmStart
3,18,617.92,,,1243.67,WarmStart,WarmStart
4,19,634.35,,,1243.67,WarmStart,WarmStart
5,24,800.58,,,1243.67,WarmStart,WarmStart
6,25,804.11,,,1243.67,WarmStart,WarmStart
7,30,6.44,,,1243.67,WarmStart,WarmStart
8,55,17.96,,,1243.67,WarmStart,WarmStart
9,60,63.53,,,1243.67,WarmStart,WarmStart
10,68,13.99,,,1243.67,WarmStart,WarmStart
11,75,26.57,,,1243.67,WarmStart,WarmStart
12,84,7.08,,,1243.67,WarmStart,WarmStart
13,109,750.9,,,1243.67,WarmStart,WarmStart
14,111,838.31,,,1243.67,WarmStart,WarmStart
15,126,660.0,,,1243.67,WarmStart,WarmStart
16,138,302.25,,,1243.67,WarmStart,WarmStart
17,146,312.65,,,1243.67,WarmStart,WarmStart
18,155,92.38,,,1243.67,WarmStart,WarmStart
19,164,220.66,,,1243.67,WarmStart,WarmStart
20,182,160.6199195,,,1243.67,WarmStart,WarmStart
21,185,311.2965408,,,1243.67,WarmStart,WarmStart
22,186,318.1919743,,,1243.67,WarmStart,WarmStart
23,195,179.12,,,1243.67,WarmStart,WarmStart
24,198,195.33,,,1243.67,WarmStart,WarmStart
25,200,207.58,,,1243.67,WarmStart,WarmStart
26,207,289.72,,,1243.67,WarmStart,WarmStart
27,208,297.95,,,1243.67,WarmStart,WarmStart
28,216,696.39,,,1243.67,WarmStart,WarmStart
29,231,772.94,,,1243.67,WarmStart,WarmStart
30,16,490.06,579.2252062484288,204.48104679246498,1243.67,ActiveLearning,Continuing
31,232,824.47,570.4780281746633,201.2332867151256,1243.67,ActiveLearning,Continuing
32,22,766.85,743.2116470918529,164.0979610488524,1243.67,ActiveLearning,Continuing
33,222,602.48,753.1515716854751,154.70273269197017,1243.67,ActiveLearning,Continuing
34,227,695.67,718.1188018845234,154.394974031681,1243.67,ActiveLearning,Continuing
35,20,688.74,627.3731586976601,195.82613742954095,1243.67,ActiveLearning,Continuing
36,100,433.78,705.4367196749414,144.49361518452403,1243.67,ActiveLearning,Continuing
37,112,904.29,675.3061996506232,155.58048065035217,1243.67,ActiveLearning,Continuing
38,220,546.79,702.7856638330622,156.9341091794098,1243.67,ActiveLearning,Continuing
39,226,658.86,685.5805814022787,156.79953817763308,1243.67,ActiveLearning,Continuing
40,21,725.7933279,677.8209068959459,154.3062549893179,1243.67,ActiveLearning,Continuing
41,23,788.8326479,683.3138957882342,150.72089406815812,1243.67,ActiveLearning,Continuing
42,26,839.28,695.911884851538,145.46682093937983,1243.67,ActiveLearning,Continuing
43,27,852.33,706.4548032084754,147.40273171351768,1243.67,ActiveLearning,Continuing
44,110,770.35,690.8499410379486,146.22838680233627,1243.67,ActiveLearning,Continuing
45,114,291.41,687.7842015324001,146.53160055135803,1243.67,ActiveLearning,Continuing
46,229,731.11,646.7133859252474,159.77311401439994,1243.67,ActiveLearning,Continuing
47,116,452.8,653.4865869774337,157.5878674471271,1243.67,ActiveLearning,Continuing
48,123,552.26,638.6072521016864,158.77309280916103,1243.67,ActiveLearning,Continuing
49,127,1089.12,632.8819614471869,156.91593020649927,1243.67,ActiveLearning,Continuing
50,113,226.22,633.0584821471373,174.2154893311864,1243.67,ActiveLearning,Continuing
51,122,543.75,600.7717013054582,195.34046625613786,1243.67,ActiveLearning,Continuing
52,106,618.72,578.999837605083,180.84672377234207,1243.67,ActiveLearning,Continuing
53,101,484.36,575.7042298282565,178.77195696780836,1243.67,ActiveLearning,Continuing
54,104,580.44,563.209578055232,177.42244993436515,1243.67,ActiveLearning,Continuing
55,108,659.36,564.5589887416977,174.94403408791032,1243.67,ActiveLearning,Continuing
56,103,562.06,557.2772661152703,172.37171841818468,1243.67,ActiveLearning,Continuing
57,105,607.72,557.5685153671202,170.1814389636109,1243.67,ActiveLearning,Continuing
58,120,540.19,541.3667969600883,168.12703908696184,1243.67,ActiveLearning,Continuing
59,139,336.24,537.0792800101257,170.03647063863193,1243.67,ActiveLearning,Continuing
60,124,554.41,504.17606651410097,171.67839015907208,1243.67,ActiveLearning,Continuing
61,115,325.56,502.3261176608335,168.00646134331183,1243.67,ActiveLearning,Continuing
62,107,625.33,486.379163352175,165.73610495316734,1243.67,ActiveLearning,Continuing
63,17,559.01,460.53485690003475,172.75984282359818,1243.67,ActiveLearning,Continuing
64,169,385.2,435.1918557257816,164.71854531672219,1243.67,ActiveLearning,Continuing
65,150,348.88,424.728085277095,164.05681997201577,1243.67,ActiveLearning,Continuing
66,190,390.2707837,411.3665069479522,209.79536281580437,1243.67,ActiveLearning,Continuing
