Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Conductivity (measured) (S/cm) in Dataset,Phase,Stopping Reason
0,9,45.53,,,1243.67,WarmStart,WarmStart
1,10,45.97,,,1243.67,WarmStart,WarmStart
2,15,411.82,,,1243.67,WarmStart,WarmStart
3,18,617.92,,,1243.67,WarmStart,WarmStart
4,19,634.35,,,1243.67,WarmStart,WarmStart
5,24,800.58,,,1243.67,WarmStart,WarmStart
6,25,804.11,,,1243.67,WarmStart,WarmStart
7,30,6.44,,,1243.67,WarmStart,WarmStart
8,55,17.96,,,1243.67,WarmStart,WarmStart
9,60,63.53,,,1243.67,WarmStart,WarmStart
10,68,13.99,,,1243.67,WarmStart,WarmStart
11,75,26.57,,,1243.67,WarmStart,WarmStart
12,84,7.08,,,1243.67,WarmStart,WarmStart
13,109,750.9,,,1243.67,WarmStart,WarmStart
14,111,838.31,,,1243.67,WarmStart,WarmStart
15,126,660.0,,,1243.67,WarmStart,WarmStart
16,138,302.25,,,1243.67,WarmStart,WarmStart
17,146,312.65,,,1243.67,WarmStart,WarmStart
18,155,92.38,,,1243.67,WarmStart,WarmStart
19,164,220.66,,,1243.67,WarmStart,WarmStart
20,182,160.6199195,,,1243.67,WarmStart,WarmStart
21,185,311.2965408,,,1243.67,WarmStart,WarmStart
22,186,318.1919743,,,1243.67,WarmStart,WarmStart
23,195,179.12,,,1243.67,WarmStart,WarmStart
24,198,195.33,,,1243.67,WarmStart,WarmStart
25,200,207.58,,,1243.67,WarmStart,WarmStart
26,207,289.72,,,1243.67,WarmStart,WarmStart
27,208,297.95,,,1243.67,WarmStart,WarmStart
28,216,696.39,,,1243.67,WarmStart,WarmStart
29,231,772.94,,,1243.67,WarmStart,WarmStart
30,22,766.85,764.1124474999992,220.39,1243.67,ActiveLearning,Continuing
31,222,602.48,773.8096325,109.64333333333343,1243.67,ActiveLearning,Continuing
32,100,433.78,689.0156293953095,617.65,1243.67,ActiveLearning,Continuing
33,112,904.29,708.814551465416,404.53,1243.67,ActiveLearning,Continuing
34,220,546.79,826.9260887499975,269.93999999999994,1243.67,ActiveLearning,Continuing
35,226,658.86,708.9319296797025,357.5,1243.67,ActiveLearning,Continuing
36,16,490.06,718.4543553571416,169.76,1243.67,ActiveLearning,Continuing
37,227,695.67,710.6307012599212,198.10000000000002,1243.67,ActiveLearning,Continuing
38,114,291.41,682.8684869330834,460.2900000000001,1243.67,ActiveLearning,Continuing
39,20,688.74,641.7138480952374,314.05,1243.67,ActiveLearning,Continuing
40,21,725.7933279,651.7302156547618,227.49666666666667,1243.67,ActiveLearning,Continuing
41,23,788.8326479,666.5409480899986,174.37623429999985,1243.67,ActiveLearning,Continuing
42,26,839.28,686.8972824665137,150.95171351999977,1243.67,ActiveLearning,Continuing
43,27,852.33,708.3043901382084,138.24208174897615,1243.67,ActiveLearning,Continuing
44,232,824.47,725.8495629724999,133.60155409488993,1243.67,ActiveLearning,Continuing
45,116,452.8,561.6775865641426,481.53000000000003,1243.67,ActiveLearning,Continuing
46,120,540.19,531.9341565370057,590.2800804999999,1243.67,ActiveLearning,Continuing
47,122,543.75,557.2478951350342,461.17999999999995,1243.67,ActiveLearning,Continuing
48,103,562.06,517.4966174427612,547.0326999999993,1243.67,ActiveLearning,Continuing
49,101,484.36,554.326570966046,438.25,1243.67,ActiveLearning,Continuing
50,224,637.46,540.955623820549,590.2800804999999,1243.67,ActiveLearning,Continuing
51,230,738.1,593.9772236383028,461.17999999999995,1243.67,ActiveLearning,Continuing
52,105,607.72,571.9060693405103,317.12,1243.67,ActiveLearning,Continuing
53,110,770.35,553.8916400725174,349.35702976190447,1243.67,ActiveLearning,Continuing
54,139,336.24,538.4699818838359,677.6900804999999,1243.67,ActiveLearning,Continuing
55,113,226.22,549.0966047179625,434.11,1243.67,ActiveLearning,Continuing
56,223,636.48,537.3170779066686,562.77,1243.67,ActiveLearning,Continuing
57,228,697.4,520.6576488011676,562.77,1243.67,ActiveLearning,Continuing
58,104,580.44,532.4975146456668,524.68,1243.67,ActiveLearning,Continuing
59,108,659.36,571.3818437358228,251.0407499999999,1243.67,ActiveLearning,Continuing
60,107,625.33,518.7521215645626,524.68,1243.67,ActiveLearning,Continuing
61,123,552.26,535.1696810615074,316.6005833333329,1243.67,ActiveLearning,Continuing
62,106,618.72,513.2355224707048,524.68,1243.67,ActiveLearning,Continuing
63,125,608.87,500.5996541078324,658.52,1243.67,ActiveLearning,Continuing
64,127,1089.12,537.9961258748193,263.854865079365,1243.67,ActiveLearning,Continuing
65,229,731.11,631.6851624977796,346.0018857142856,1243.67,ActiveLearning,Continuing
66,169,385.2,481.31116816199784,677.6900804999999,1243.67,ActiveLearning,Continuing
67,17,559.01,509.47243458333656,410.3399999999999,1243.67,ActiveLearning,Continuing
68,124,554.41,470.5609633261182,555.5699999999999,1243.67,ActiveLearning,Continuing
