Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Conductivity (measured) (S/cm) in Dataset,Phase,Stopping Reason
0,9,45.53,,,1243.67,WarmStart,WarmStart
1,10,45.97,,,1243.67,WarmStart,WarmStart
2,15,411.82,,,1243.67,WarmStart,WarmStart
3,16,490.06,,,1243.67,WarmStart,WarmStart
4,18,617.92,,,1243.67,WarmStart,WarmStart
5,19,634.35,,,1243.67,WarmStart,WarmStart
6,24,800.58,,,1243.67,WarmStart,WarmStart
7,25,804.11,,,1243.67,WarmStart,WarmStart
8,30,6.44,,,1243.67,WarmStart,WarmStart
9,45,7.84,,,1243.67,WarmStart,WarmStart
10,55,17.96,,,1243.67,WarmStart,WarmStart
11,60,63.53,,,1243.67,WarmStart,WarmStart
12,68,13.99,,,1243.67,WarmStart,WarmStart
13,69,14.78,,,1243.67,WarmStart,WarmStart
14,75,26.57,,,1243.67,WarmStart,WarmStart
15,79,52.77,,,1243.67,WarmStart,WarmStart
16,84,7.08,,,1243.67,WarmStart,WarmStart
17,86,7.96,,,1243.67,WarmStart,WarmStart
18,97,86.01,,,1243.67,WarmStart,WarmStart
19,101,484.36,,,1243.67,WarmStart,WarmStart
20,104,580.44,,,1243.67,WarmStart,WarmStart
21,109,750.9,,,1243.67,WarmStart,WarmStart
22,111,838.31,,,1243.67,WarmStart,WarmStart
23,115,325.56,,,1243.67,WarmStart,WarmStart
24,120,540.19,,,1243.67,WarmStart,WarmStart
25,126,660.0,,,1243.67,WarmStart,WarmStart
26,132,212.66,,,1243.67,WarmStart,WarmStart
27,138,302.25,,,1243.67,WarmStart,WarmStart
28,143,283.86,,,1243.67,WarmStart,WarmStart
29,144,286.73,,,1243.67,WarmStart,WarmStart
30,146,312.65,,,1243.67,WarmStart,WarmStart
31,147,326.54,,,1243.67,WarmStart,WarmStart
32,148,328.21,,,1243.67,WarmStart,WarmStart
33,154,63.81,,,1243.67,WarmStart,WarmStart
34,155,92.38,,,1243.67,WarmStart,WarmStart
35,164,220.66,,,1243.67,WarmStart,WarmStart
36,170,405.26,,,1243.67,WarmStart,WarmStart
37,176,76.51244504,,,1243.67,WarmStart,WarmStart
38,182,160.6199195,,,1243.67,WarmStart,WarmStart
39,185,311.2965408,,,1243.67,WarmStart,WarmStart
40,186,318.1919743,,,1243.67,WarmStart,WarmStart
41,195,179.12,,,1243.67,WarmStart,WarmStart
42,196,191.45,,,1243.67,WarmStart,WarmStart
43,198,195.33,,,1243.67,WarmStart,WarmStart
44,200,207.58,,,1243.67,WarmStart,WarmStart
45,201,213.5,,,1243.67,WarmStart,WarmStart
46,207,289.72,,,1243.67,WarmStart,WarmStart
47,208,297.95,,,1243.67,WarmStart,WarmStart
48,216,696.39,,,1243.67,WarmStart,WarmStart
49,217,271.56,,,1243.67,WarmStart,WarmStart
50,219,545.18,,,1243.67,WarmStart,WarmStart
51,223,636.48,,,1243.67,WarmStart,WarmStart
52,230,738.1,,,1243.67,WarmStart,WarmStart
53,231,772.94,,,1243.67,WarmStart,WarmStart
54,22,766.85,722.4379270833307,316.22,1243.67,ActiveLearning,Continuing
55,222,602.48,754.3832162499994,260.4916666666667,1243.67,ActiveLearning,Continuing
56,100,433.78,702.8638105654758,353.94999999999993,1243.67,ActiveLearning,Continuing
57,227,695.67,714.6635944642861,198.10000000000002,1243.67,ActiveLearning,Continuing
58,114,291.41,697.631053511905,288.58000000000004,1243.67,ActiveLearning,Continuing
59,224,637.46,676.7037695040192,432.70802569999995,1243.67,ActiveLearning,Continuing
60,112,904.29,650.8002163591267,404.53,1243.67,ActiveLearning,Continuing
61,220,546.79,819.6689664682527,343.28741666666656,1243.67,ActiveLearning,Continuing
62,226,658.86,723.3220941071429,357.5,1243.67,ActiveLearning,Continuing
63,20,688.74,658.3143441071423,314.05,1243.67,ActiveLearning,Continuing
64,21,725.7933279,665.6163084226196,208.3860249999998,1243.67,ActiveLearning,Continuing
65,23,788.8326479,674.5592361359601,158.23263322466664,1243.67,ActiveLearning,Continuing
66,26,839.28,693.6231370349514,150.20634678345232,1243.67,ActiveLearning,Continuing
67,27,852.33,714.175512343852,133.27667483483322,1243.67,ActiveLearning,Continuing
68,232,824.47,729.9930061031694,137.94442411966668,1243.67,ActiveLearning,Continuing
69,122,543.75,589.8235847250187,459.48999999999995,1243.67,ActiveLearning,Continuing
70,116,452.8,561.7778946329367,481.53000000000003,1243.67,ActiveLearning,Continuing
71,103,562.06,564.1666494000344,331.83000000000004,1243.67,ActiveLearning,Continuing
72,105,607.72,569.0515750963674,317.12,1243.67,ActiveLearning,Continuing
73,228,697.4,539.7806328296563,559.45,1243.67,ActiveLearning,Continuing
74,110,770.35,557.7356893237304,427.9975,1243.67,ActiveLearning,Continuing
75,108,659.36,559.1721875812393,331.1288756999998,1243.67,ActiveLearning,Continuing
